sample,therapy,TRA_ratio_VDJdb
BW_1,before,0.0411321393793132
BW_2,before,0.0896500739280433
BW_5,before,0.1194491213301062
BW_8,before,0.0561120543293718
BW_11,before,0.1013415350375568
BW_12,before,0.0936860885078978
BW_13,before,0.1918964754460994
BW_15,before,0.191203692669479
BW_4,after,0.1775405118885355
BW_6,after,0.1680419894465027
BW_7,after,0.1129560150075836
BW_9,after,0.1461487088156723
BW_10,after,0.153871305257651
BW_14,after,0.0690963439871234
BW_16,after,0.1406305296685148
BW_17,after,0.0873258579680598
