feature
TRA__TRAV1-1;TRAJ47
TRA__TRAV12-1;TRAJ25
TRA__TRAV12-2;TRAJ13
TRA__TRAV12-2;TRAJ45
TRA__TRAV12-3;TRAJ38
TRA__TRAV12-3;TRAJ48
TRA__TRAV16;TRAJ21
TRA__TRAV19;TRAJ45
TRA__TRAV20;TRAJ48
TRA__TRAV22;TRAJ27
TRA__TRAV22;TRAJ29
TRA__TRAV24;TRAJ36
TRA__TRAV24;TRAJ50
TRA__TRAV24;TRAJ57
TRA__TRAV25;TRAJ53
TRA__TRAV26-1;TRAJ43
TRA__TRAV26-2;TRAJ20
TRA__TRAV27;TRAJ28
TRA__TRAV27;TRAJ29
TRA__TRAV29DV5;TRAJ42
TRA__TRAV29DV5;TRAJ56
TRA__TRAV2;TRAJ4
TRA__TRAV30;TRAJ30
TRA__TRAV34;TRAJ28
TRA__TRAV34;TRAJ43
TRA__TRAV34;TRAJ52
TRA__TRAV38-1;TRAJ41
TRA__TRAV39;TRAJ31
TRA__TRAV3;TRAJ17
TRA__TRAV41;TRAJ30
TRA__TRAV41;TRAJ36
TRA__TRAV41;TRAJ39
TRA__TRAV41;TRAJ45
TRA__TRAV8-1;TRAJ3
TRA__TRAV8-2;TRAJ13
TRA__TRAV8-3;TRAJ16
TRA__TRAV8-6;TRAJ24
TRA__TRAV8-6;TRAJ43
TRA__TRAV8-6;TRAJ53
TRB__TRBV10-2;TRBJ1-3
TRB__TRBV12-4;TRBJ1-1
TRB__TRBV14;TRBJ2-6
TRB__TRBV16;TRBJ2-2
TRB__TRBV18;TRBJ2-4
TRB__TRBV20-1;TRBJ2-1
TRB__TRBV25-1;TRBJ2-3
TRB__TRBV28;TRBJ1-2
TRB__TRBV4-2;TRBJ2-3
TRB__TRBV5-4;TRBJ2-6
TRB__TRBV5-4;TRBJ2-7
TRB__TRBV5-6;TRBJ1-3
TRB__TRBV6-4;TRBJ1-5
TRB__TRBV6-6;TRBJ1-4
TRB__TRBV6-9;TRBJ2-7
