feature
TRA__TRAV1-2;TRAJ49
TRA__TRAV10;TRAJ3
TRA__TRAV10;TRAJ7
TRA__TRAV12-2;TRAJ42
TRA__TRAV12-2;TRAJ5
TRA__TRAV12-3;TRAJ3
TRA__TRAV12-3;TRAJ45
TRA__TRAV13-1;TRAJ3
TRA__TRAV13-1;TRAJ47
TRA__TRAV14DV4;TRAJ26
TRA__TRAV14DV4;TRAJ27
TRA__TRAV16;TRAJ10
TRA__TRAV16;TRAJ50
TRA__TRAV16;TRAJ56
TRA__TRAV19;TRAJ44
TRA__TRAV23DV6;TRAJ40
TRA__TRAV25;TRAJ48
TRA__TRAV26-1;TRAJ36
TRA__TRAV26-1;TRAJ52
TRA__TRAV26-2;TRAJ41
TRA__TRAV26-2;TRAJ54
TRA__TRAV29DV5;TRAJ58
TRA__TRAV2;TRAJ47
TRA__TRAV34;TRAJ10
TRA__TRAV35;TRAJ15
TRA__TRAV35;TRAJ22
TRA__TRAV35;TRAJ24
TRA__TRAV35;TRAJ29
TRA__TRAV35;TRAJ31
TRA__TRAV35;TRAJ54
TRA__TRAV36DV7;TRAJ23
TRA__TRAV36DV7;TRAJ29
TRA__TRAV36DV7;TRAJ4
TRA__TRAV36DV7;TRAJ7
TRA__TRAV38-1;TRAJ32
TRA__TRAV38-2DV8;TRAJ41
TRA__TRAV38-2DV8;TRAJ54
TRA__TRAV38-2DV8;TRAJ9
TRA__TRAV39;TRAJ47
TRA__TRAV3;TRAJ11
TRA__TRAV3;TRAJ48
TRA__TRAV4;TRAJ11
TRA__TRAV5;TRAJ36
TRA__TRAV8-1;TRAJ23
TRA__TRAV8-2;TRAJ18
TRA__TRAV8-2;TRAJ45
TRA__TRAV8-4;TRAJ39
TRA__TRAV8-4;TRAJ44
TRB__TRBV10-1;TRBJ1-1
TRB__TRBV15;TRBJ1-6
TRB__TRBV20-1;TRBJ2-1
TRB__TRBV5-8;TRBJ1-2
TRB__TRBV6-6;TRBJ1-6
TRB__TRBV6-7;TRBJ1-4
TRB__TRBV7-3;TRBJ1-5
TRB__TRBV7-3;TRBJ1-6
TRB__TRBV7-6;TRBJ1-6
TRB__TRBV9;TRBJ1-5
TRB__TRBV9;TRBJ2-3
