feature
TRA__TRAV1-2;TRAJ34
TRA__TRAV10;TRAJ4
TRA__TRAV12-1;TRAJ15
TRA__TRAV12-2;TRAJ52
TRA__TRAV12-3;TRAJ10
TRA__TRAV12-3;TRAJ18
TRA__TRAV12-3;TRAJ24
TRA__TRAV13-1;TRAJ29
TRA__TRAV13-2;TRAJ3
TRA__TRAV17;TRAJ30
TRA__TRAV20;TRAJ32
TRA__TRAV22;TRAJ58
TRA__TRAV23DV6;TRAJ30
TRA__TRAV25;TRAJ52
TRA__TRAV26-1;TRAJ4
TRA__TRAV26-1;TRAJ44
TRA__TRAV26-2;TRAJ13
TRA__TRAV27;TRAJ38
TRA__TRAV27;TRAJ6
TRA__TRAV29DV5;TRAJ15
TRA__TRAV29DV5;TRAJ42
TRA__TRAV2;TRAJ42
TRA__TRAV30;TRAJ45
TRA__TRAV36DV7;TRAJ27
TRA__TRAV38-1;TRAJ12
TRA__TRAV38-1;TRAJ8
TRA__TRAV40;TRAJ42
TRA__TRAV41;TRAJ17
TRA__TRAV5;TRAJ5
TRA__TRAV5;TRAJ8
TRA__TRAV6;TRAJ15
TRA__TRAV6;TRAJ49
TRA__TRAV8-1;TRAJ7
TRA__TRAV8-3;TRAJ13
TRA__TRAV8-3;TRAJ7
TRA__TRAV8-6;TRAJ3
TRA__TRAV9-2;TRAJ43
TRB__TRBV11-3;TRBJ2-5
TRB__TRBV20-1;TRBJ1-4
TRB__TRBV25-1;TRBJ2-7
TRB__TRBV3-1;TRBJ1-5
TRB__TRBV5-4;TRBJ2-3
TRB__TRBV5-5;TRBJ1-4
TRB__TRBV5-5;TRBJ2-6
TRB__TRBV5-6;TRBJ1-1
TRB__TRBV5-8;TRBJ2-2
TRB__TRBV7-3;TRBJ1-5
TRB__TRBV7-7;TRBJ1-4
