,IGKJ1,IGKJ2,IGKJ3,IGKJ4,IGKJ5
BW_15__IGK.csv,0.3522908565161033,0.26036992721108787,0.09976069398743644,0.18779290058829395,0.09978562169707847
iRNormal_JH__IGK.csv,0.29375620655412116,0.28284818768619663,0.15367428003972194,0.17137847567030784,0.09834285004965243
iRNormal_KW_R__IGK.csv,0.3455591513843941,0.24685364976627114,0.11506652283351312,0.16684645810859403,0.1256742179072276
iRNormal_XH__IGK.csv,0.3246203563359739,0.2840392369948809,0.08240626876769526,0.19379700860811622,0.11513712929333371
HL_W_LS0121__IGK.csv,0.3089020260575102,0.2679791080755323,0.10882167250186535,0.2092062216610228,0.10509097170406934
HL_W_XQF1225__IGK.csv,0.336637411805197,0.2864911374978489,0.09778007227671658,0.17556358630184132,0.10352779211839615
BW_CT0806__IGK.csv,0.309737621796634,0.2736033476893002,0.11852836067075964,0.20388527444332447,0.09424539539998167
DDY__IGK.csv,0.3522603188469098,0.29733566280847346,0.10657348766106137,0.17121642279973792,0.07261410788381743
GH03_HJ625__IGK.csv,0.4217518400584643,0.27410346087592,0.0687477162394947,0.15498251291955942,0.08041446990656156
GH03_W_HNY1228__IGK.csv,0.3197448878953251,0.25300808731672036,0.09330001972516273,0.18962456440265632,0.14432244066013544
GH03_W_LXZ1225__IGK.csv,0.33726442033123927,0.24645916619074815,0.1297829811536265,0.17649914334665906,0.10999428897772702
GH03_W_ZXM1225__IGK.csv,0.2953890489913545,0.2933569792359418,0.1140914800857164,0.19548511047070125,0.10167738121628611
BW_1__IGK.csv,0.31316410861865407,0.27553128689492323,0.12411452184179457,0.18432703659976388,0.10286304604486422
BW_2__IGK.csv,0.44640093786635404,0.21995310668229778,0.1025556858147714,0.1449941383352872,0.08609613130128957
BW_4__IGK.csv,0.31545164351652144,0.2573548442757312,0.11981709947372962,0.21244068673971184,0.09493572599430593
BW_5__IGK.csv,0.34633094494732825,0.27497136182924914,0.11003795961456392,0.18058893555850047,0.08807079805035825
BW_17__IGK.csv,0.3044296312224492,0.2468014192022363,0.12186861627781959,0.2236318675411246,0.10326846575637029
BW_9__IGK.csv,0.32922465208747514,0.2407554671968191,0.07887673956262425,0.2826043737574553,0.06853876739562624
BW_CT0530__IGK.csv,0.32930052269924237,0.2615551770717096,0.11561050096904915,0.20059317554472308,0.09294062371527574
BW_6__IGK.csv,0.33912016943856116,0.26072011388493455,0.09089962154091871,0.21388146244922052,0.09537863268636505
BW_7__IGK.csv,0.3546790860136807,0.2683015572696842,0.06083539513898996,0.21095910347838742,0.10522485809925775
BW_8__IGK.csv,0.3448692152917505,0.3153420523138833,0.07238430583501006,0.18948692152917504,0.07791750503018109
BW_11__IGK.csv,0.27234762979683974,0.30794300225733634,0.11032731376975169,0.21180869074492098,0.09757336343115124
BW_12__IGK.csv,0.31965718949802746,0.2584410284315059,0.12996871173989932,0.20723711059719765,0.08469595973336962
BW_13__IGK.csv,0.32584012130187945,0.255738918861737,0.10375894777671991,0.18956944885221622,0.12509256320744738
BW_14__IGK.csv,0.2257335697534748,0.24769776354172623,0.19684836698507122,0.270691528913802,0.05902877080592576
BW_16__IGK.csv,0.337119248937525,0.2515585434837334,0.10682501369741304,0.21415349987413188,0.09034369400719669
BF__IGK.csv,0.32917660003667704,0.24885384192187787,0.10049514028974876,0.2198789657069503,0.10159545204474602
BW_10__IGK.csv,0.3718700213424715,0.21919620043887336,0.15096041121832446,0.17591006102143264,0.08206330597889801
iRNormal_097__IGK.csv,0.30254441115658887,0.26237393982868473,0.1481497109582683,0.1636777923119119,0.12325414574454618
iRNormal_088_R__IGK.csv,0.32863380025468436,0.26346188830271056,0.11438057122066582,0.18864835364744406,0.10487538657449517
SS03F_W_1_HJ__IGK.csv,0.2760229804197444,0.22611091569937858,0.1639817094618361,0.25471919334036813,0.07916520107867277
WDM__IGK.csv,0.26885655627956795,0.20809902109553988,0.23440149959832188,0.20914040881906631,0.07950251420750394
WGF__IGK.csv,0.31922087096936974,0.2551092496341525,0.11389211283241661,0.21355401927637888,0.0982237472876823
WJW__IGK.csv,0.33416666666666667,0.2602083333333333,0.08166666666666667,0.22104166666666666,0.10291666666666667
JGR__IGK.csv,0.30830851094594985,0.2798519332542873,0.10763758350443911,0.2025796003354637,0.10162237195986003
LFJ__IGK.csv,0.32167267095383995,0.2649742432914717,0.11319484192451433,0.21133968553247365,0.08881855829770041
