,TRGJ1,TRGJP,TRGJP1,TRGJP2
iRNormal_097__TRG.csv,0.9498814764646123,0.020656959024720624,0.018286488316965797,0.011175076193701321
iRNormal_JH__TRG.csv,0.7368367657502283,0.18626356903723243,0.032261337120827835,0.04463832809171148
iRNormal_KW_R__TRG.csv,0.6493371996685998,0.22452361226180614,0.07870753935376967,0.04743164871582436
iRNormal_XH__TRG.csv,0.9237251973543845,0.018135267761894603,0.010081075314700235,0.048058459569020696
HL_W_LS0121__TRG.csv,0.7861271676300579,0.12789017341040462,0.02991329479768786,0.05606936416184971
GH03_W_ZXM1225__TRG.csv,0.7352854403304322,0.14390028027732704,0.05856320991296651,0.06225106947927423
BW_CT0530__TRG.csv,0.7562086092715232,0.15004139072847683,0.03994205298013245,0.05380794701986755
BW_CT0806__TRG.csv,0.7476916900843035,0.16459253311922922,0.03914090726615817,0.048574869530309116
DDY__TRG.csv,0.691358024691358,0.19753086419753085,0.06172839506172839,0.04938271604938271
GH03_HJ625__TRG.csv,0.730817610062893,0.1840670859538784,0.03815513626834382,0.0469601677148847
GH03_W_HNY1228__TRG.csv,0.7532340737124725,0.1276543812545765,0.03539175006102026,0.08371979497193067
GH03_W_LXZ1225__TRG.csv,0.6799123904881101,0.1368898623279099,0.034574468085106384,0.1486232790988736
BW_17__TRG.csv,0.5907603464870067,0.26756496631376325,0.01886429258902791,0.12281039461020211
BW_1__TRG.csv,0.6195204650036329,0.1661419229837733,0.02785178009203197,0.18648583192056187
BW_2__TRG.csv,0.895007342143906,0.037444933920704845,0.016397454723445913,0.05115026921194322
BW_4__TRG.csv,0.8068764967499145,0.06688333903523777,0.03250085528566541,0.09373930892918235
BW_16__TRG.csv,0.5181538461538462,0.16993406593406593,0.05221978021978022,0.25969230769230767
BW_8__TRG.csv,0.8519184652278178,0.02038369304556355,0.06354916067146282,0.06414868105515588
BW_9__TRG.csv,0.8642745709828393,0.06006240249609984,0.029641185647425898,0.046021840873634944
BW_5__TRG.csv,0.7501641497045305,0.06024294156270519,0.11638214051214708,0.0732107682206172
BW_6__TRG.csv,0.8438120450033091,0.071475843812045,0.025810721376571807,0.05890138980807412
BW_7__TRG.csv,0.6580645161290323,0.12043010752688173,0.011469534050179211,0.21003584229390682
BW_10__TRG.csv,0.8197640688454845,0.04815316186424289,0.03577644556178689,0.09630632372848578
BW_11__TRG.csv,0.7345445369669442,0.09992429977289932,0.04188745899571032,0.12364370426444612
BW_12__TRG.csv,0.5586781160551653,0.03408795212073901,0.032526671870934165,0.3747072599531616
BW_13__TRG.csv,0.8602554470323065,0.02667167543200601,0.013523666416228399,0.09954921111945905
BW_14__TRG.csv,0.8284023668639053,0.05029585798816568,0.047337278106508875,0.07396449704142012
BW_15__TRG.csv,0.8721663164878912,0.017582660621475173,0.007298462899480261,0.10295255999115338
BF__TRG.csv,0.5968586387434555,0.19790575916230366,0.13507853403141362,0.07015706806282722
iRNormal_088_R__TRG.csv,0.7913195117225343,0.1023057546987018,0.01956985080410773,0.08680488277465608
WJW__TRG.csv,0.6588906168999482,0.10679108346293416,0.14048729911871435,0.09383100051840332
LFJ__TRG.csv,0.6231605886116443,0.22888675623800384,0.09069097888675624,0.05726167626359565
SS03F_W_1_HJ__TRG.csv,0.7052845528455285,0.21646341463414634,0.03048780487804878,0.047764227642276426
WDM__TRG.csv,0.7474623731186559,0.17430871543577178,0.019950997549877492,0.05827791389569478
WGF__TRG.csv,0.5727140783744558,0.31915820029027575,0.06284470246734397,0.045283018867924525
HL_W_XQF1225__TRG.csv,0.7248823056608107,0.1590308875875531,0.04076242967045585,0.0753243770811804
JGR__TRG.csv,0.709508881922675,0.14158829676071055,0.06896551724137931,0.07993730407523511
