,IGKV1-12,IGKV1-13,IGKV1-16,IGKV1-17,IGKV1-27,IGKV1-33,IGKV1-35,IGKV1-37,IGKV1-39,IGKV1-5,IGKV1-6,IGKV1-8,IGKV1-9,IGKV1D-12,IGKV1D-13,IGKV1D-16,IGKV1D-17,IGKV1D-33,IGKV1D-37,IGKV1D-39,IGKV1D-42,IGKV1D-43,IGKV1D-8,IGKV2-10,IGKV2-18,IGKV2-19,IGKV2-24,IGKV2-26,IGKV2-28,IGKV2-29,IGKV2-30,IGKV2-4,IGKV2-40,IGKV2D-18,IGKV2D-24,IGKV2D-28,IGKV2D-29,IGKV2D-30,IGKV3-11,IGKV3-15,IGKV3-20,IGKV3-31,IGKV3-7,IGKV3D-11,IGKV3D-15,IGKV3D-20,IGKV3D-7,IGKV4-1,IGKV5-2,IGKV6-21,IGKV6D-21,IGKV6D-41,IGKV7-3
BW_15__IGK.csv,0.015542426961810749,0.004848439525376409,0.010818625984644531,0.024703360255259748,0.011840662079968093,0.025014956625785224,,0.0006356565958719713,0.06130970186459268,0.06958570146574933,0.044795094226742445,0.0048733672350184465,0.026398444510918335,0.0028666866088343803,0.017549107587994814,0.0013087047562069997,7.478312892611427e-05,0.009622095921826702,0.0003863794994515904,0.026211486688603052,,0.00034898793498853325,0.0011840662079968093,,7.478312892611427e-05,,0.015592282381094825,0.00018695782231528568,0.05604995513012265,0.0005982650314089142,0.026199022833782032,,0.0027295842058031707,,9.971083856815236e-05,0.0232326253863795,0.01855867982849736,0.006331638249077675,0.10020939276099312,0.09730531458769569,0.21333133911656196,,0.0004113072090936285,0.0027420480606241897,0.005272210589291056,0.004835975670555389,0.004673945557882142,0.058380695981653206,0.0014582710140592283,0.0009098614019343903,0.0008101505633662379,,8.724698374713331e-05
iRNormal_JH__IGK.csv,0.021148833167825225,0.0004344587884806355,0.01064424031777557,0.02153674280039722,0.007199602780536246,0.02926390268123138,,0.0009154667328699107,0.2362990317775571,0.05778301886792453,0.014911246276067528,0.016804245283018868,0.028472567030784508,0.004546300893743793,0.0013964746772591858,0.002451588877855015,0.0016757696127110229,0.019147219463753723,0.0016757696127110229,0.10209781529294935,1.551638530287984e-05,0.0024671052631578946,0.0050117924528301884,,9.309831181727905e-05,,0.0020016137040714996,0.000387909632571996,0.025757199602780535,0.0005120407149950347,0.0174714498510427,,0.0012257944389275075,,7.758192651439921e-05,0.009433962264150943,0.0038170307845084408,0.0013344091360476663,0.07630958291956307,0.05193334160873883,0.14687810327706058,,0.0001861966236345581,0.0015050893743793446,0.0013964746772591858,0.002870531281032771,0.0010551142005958292,0.06628599801390268,0.001551638530287984,0.0017068023833167825,9.309831181727905e-05,1.551638530287984e-05,0.00020171300893743793
iRNormal_KW_R__IGK.csv,0.010338007910823444,0.0003595828838547285,0.02067601582164689,0.00889967637540453,0.006921970514203524,0.03757641136281913,,0.0008090614886731392,0.06373606616325063,0.09052499101042791,0.009439050701186624,0.018967997123336928,0.01770945702984538,0.002876663070837828,0.006472491909385114,0.0022473930240920533,0.0003595828838547285,0.020316432937792162,0.0006292700467457749,0.03290183387270766,,0.011236965120460267,0.006382596188421431,,8.989572096368213e-05,,0.002696871628910464,0.00017979144192736425,0.029935275080906147,0.030294857964760877,0.01483279395900755,,0.003685724559510967,,0.0010787486515641855,0.007281553398058253,0.00674217907227616,0.006292700467457749,0.12126932758000719,0.11686443725278677,0.2147608773822366,,8.989572096368213e-05,0.005573534699748292,0.002786767349874146,0.003236245954692557,0.0009888529306005035,0.052049622437971954,0.007281553398058253,0.001977705861201007,,,0.0006292700467457749
iRNormal_XH__IGK.csv,0.029213258214888325,0.002573855349329368,0.019017931192266996,0.04085280407241113,0.005219206680584551,0.04046672577001172,,0.0006720622301026682,0.07346927102696828,0.08894100151571482,0.007421282923899677,0.013884519689993423,0.018603254497097262,0.0022020762433151257,0.030585981067863987,0.006091457660079504,0.0016587067806789258,0.012397403265936455,0.0006863614264878314,0.051906082878142246,2.8598392770326306e-05,0.009980839076843882,0.006792118282952498,1.4299196385163153e-05,4.289758915548946e-05,1.4299196385163153e-05,0.001958989904767352,0.0003288815168587525,0.027940629736608803,0.009952240684073556,0.014942660222495496,,0.0008007549975691367,,0.00010009437469614208,0.009079989704578602,0.005490891411902651,0.006077158463694341,0.06803557640060628,0.0724540280836217,0.21776246174964967,1.4299196385163153e-05,0.00042897589155489464,0.007936053993765551,0.003531901507135299,0.008322132296164955,0.0008150541939542997,0.07767323476420625,0.0018731947264563733,0.0013441244602053364,0.00020018874939228416,,0.00020018874939228416
HL_W_LS0121__IGK.csv,0.017888232030457824,0.0002487133865197345,0.010541621228644129,0.013794027052363734,0.01189997895502114,0.026956704738946603,,0.0004208995771872429,0.07340871262124778,0.06969714362241482,0.021848514415810517,0.008475386940634029,0.01746733245327058,0.004438577359429107,0.008858022919895158,0.001702730107712028,5.739539688916949e-05,0.013583577263770113,0.0006122175668178078,0.03525990548891312,,0.0007270083605961468,0.0021044978859362145,,9.565899481528248e-05,,0.009565899481528249,0.0005739539688916948,0.06638734240180605,0.022977290554630853,0.03797662094166714,,0.002774110849643192,,0.00013392259274139549,0.032619717232011326,0.011651265568501407,0.013009623294878418,0.0942432416920163,0.0882167250186535,0.19401557328435592,,0.0004782949740764124,0.0015879393139336892,0.0031376150299412655,0.0034437238133501694,0.003041956035125983,0.07011804319960206,0.0015496757160075763,0.0016453347108228587,0.000497426773039469,1.9131798963056495e-05,0.0002487133865197345
HL_W_XQF1225__IGK.csv,0.013113061435209086,0.0010325245224574084,0.021510927551196008,0.015212527964205816,0.008707623472724144,0.02285320943039064,3.441748408191361e-05,0.0006539321975563586,0.05813113061435209,0.08676647737050422,0.009774565479263466,0.015763207709516433,0.01858544140423335,0.004026845637583893,0.011598692135604887,0.0019962140767509893,3.441748408191361e-05,0.015143692996041989,0.0009636895542935812,0.032834279814145585,,0.006160729650662536,0.002650146274307348,,0.00017208742040956807,,0.0037515057649285836,0.0008604371020478403,0.04945792462570986,0.021855102392015144,0.04278093271381862,,0.002065049044914817,,0.0005506797453106178,0.023644811564274653,0.011701944587850628,0.009533643090690071,0.11316468766133196,0.11898124247117536,0.16647737050421615,,0.0011013594906212356,0.011736362071932542,0.002305971433488212,0.002374806401652039,0.0022371364653243847,0.0606780244364137,0.003269660987781793,0.00285665117879883,0.0004818447771467906,,0.00041300980898296334
BW_CT0806__IGK.csv,0.013286905525520021,0.0007177983444821161,0.013592351629554964,0.015104309844527933,0.012981459421485078,0.023061180854638198,,0.0005956199028681389,0.053727969699746476,0.06774794587495037,0.009774275329118178,0.009193927731451786,0.01624973273465897,0.006032560554690125,0.008476129386969669,0.002321390390665567,7.636152600873576e-05,0.013882525428388161,0.0006261645132716332,0.02735269861632915,,0.0009621552277100705,0.0019701273710253826,3.05446104034943e-05,0.00019853996762271298,,0.013867253123186414,0.0007788875652891047,0.07683496746998993,0.02552002199211949,0.04123522404471731,,0.0026573811051040044,,0.00022908457802620728,0.026589083356241792,0.01511958214972968,0.013485445493142735,0.09423012309477993,0.11194599712880662,0.18132807966034392,,0.0008857937017013348,0.0022603011698585783,0.004963499190567824,0.004138794709673478,0.002703198020709246,0.0793548978282782,0.002031216591832371,0.0011606951953327836,0.0003512630196401845,4.5816915605241456e-05,0.00032071840923669016
DDY__IGK.csv,0.009390696658659096,,0.008735531775496833,0.019873334789255296,0.008953920069884254,0.039965057872898016,,,0.06333260537235204,0.08440707578073815,0.022166411880323214,0.012666521074470409,0.019545752347674163,,0.006005678095654073,0.0007643590303559729,,0.024896265560165973,0.0009827473247433938,0.03308582659969426,,0.01594234549028172,0.0010919414719371041,,0.0006551648831622625,,0.014413627429569776,,0.10722865254422363,0.004258571740554706,0.07632670888840358,,0.004695348329329548,,0.0007643590303559729,0.027407730945621316,0.015396374754313168,0.01867219917012448,0.06857392443765015,0.06770037126010046,0.14096964402708015,,,0.004149377593360996,0.0031666302686176023,0.001856300502293077,0.006005678095654073,0.062022275606027515,0.003712601004586154,,0.00021838829438742082,,
GH03_HJ625__IGK.csv,0.022054601451166677,0.000469802161089941,0.05139113639922744,0.026439421621339457,0.004593621130657201,0.047136816829357414,,0.00015660072036331366,0.11841624471472569,0.1990395155817717,0.01626037479772407,0.005715926293260949,0.022159001931408885,0.005715926293260949,0.023986010335647543,0.00148770684345148,0.00013050060030276139,0.009030641540951088,7.830036018165683e-05,0.038993579370465103,,0.0035757164482956624,0.02197630109098502,,,,0.0037845174087800804,0.00018270084042386594,0.043221798820274576,0.00018270084042386594,0.023124706373649318,,0.0015399070835725845,,,0.02654382210158167,0.0024012110455708096,0.0033408153677506915,0.04995562979589706,0.048624523672808895,0.11546693114788328,,0.00013050060030276139,0.0002349010805449705,0.0019053087644203164,0.0003132014407266273,0.0018009082841781072,0.05300934384298168,0.000939604322179882,0.003732317168658976,0.00010440048024220911,,0.000652503001513807
GH03_W_HNY1228__IGK.csv,0.017818397001775264,0.0017095141034913538,0.01558287855874811,0.03419028206982708,0.01315010848839503,0.01965941219015057,6.575054244197515e-05,0.00046025379709382604,0.06778880925767637,0.07390360970478006,0.0049970412255901115,0.005786047734893813,0.016634887237819713,0.007627062923269117,0.0063778026168715895,0.003221776579656782,0.0001315010848839503,0.009928331908738246,0.0006575054244197515,0.036097047800644357,,0.00046025379709382604,0.0014465119337234533,,,,0.003945032546518509,0.0008547570517456769,0.0568742192123085,0.024196199618646854,0.0454993753698468,,0.002104017358143205,,0.0007890065093037017,0.024196199618646854,0.013610362285488856,0.009336577026760471,0.09330001972516273,0.0894207377210862,0.21092774015385626,,0.0006575054244197515,0.003945032546518509,0.007955815635478992,0.0019725162732592543,0.004076533631402459,0.06410677888092577,0.0014465119337234533,0.0024327700703530805,0.00046025379709382604,,0.00019725162732592543
