,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-1,TRBV12-2,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV23-1,TRBV24-1,TRBV25-1,TRBV26,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV3-2,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-3,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-1,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-5,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
iRNormal_097__TRB.csv,0.0012048192771084338,0.006325301204819277,0.02552710843373494,0.0006400602409638554,0.007718373493975903,0.00338855421686747,,0.00011295180722891567,0.07650602409638554,,0.007003012048192771,0.003990963855421687,0.014984939759036144,0.007680722891566265,0.0009036144578313253,0.02375753012048193,0.07149849397590362,0.13614457831325302,0.06810993975903615,,0.019879518072289156,0.0009036144578313253,3.765060240963856e-05,0.03275602409638554,0.05338855421686747,0.13716114457831324,0.06012801204819277,,0.009337349397590362,0.023305722891566266,0.014721385542168675,,0.019503012048192773,0.00018825301204819278,0.012387048192771085,0.0033509036144578315,0.004480421686746988,,0.0010918674698795182,0.01302710843373494,0.008283132530120483,0.010052710843373494,0.020143072289156627,0.01799698795180723,0.00022590361445783133,3.765060240963856e-05,0.00015060240963855423,,0.018561746987951808,0.0036144578313253013,0.00011295180722891567,,0.010429216867469879,0.0010918674698795182,0.007040662650602409,0.026430722891566266,0.014683734939759037
iRNormal_JH__TRB.csv,0.0013372509134742154,0.006535578408106377,0.022507251290164614,0.0010547331148529023,0.024805062718951294,0.010547331148529024,,7.533807963235017e-05,0.054055072136211246,,0.0032395374241910575,0.0030323577052020945,0.01126304290503635,0.004068256300146909,0.0004896975176102761,0.0175349380344295,0.11110483293780841,0.03058726033073417,0.11667985083060232,,0.01310882585602893,0.0009040569555882021,,0.027084039627829886,0.08358759935209252,0.11272460164990394,0.04145477831770068,1.8834519908087542e-05,0.007383131803970317,0.03166082796549516,0.012920480656948055,5.650355972426263e-05,0.04179379967604626,5.650355972426263e-05,0.010076468150826835,0.0030700267450182693,0.00896523147624967,0.00011300711944852526,0.0014314235130146534,0.02015293630165367,0.005895204731231401,0.0071382830451651785,0.02567145063472332,0.03932647756808679,0.0002636832787132256,9.417259954043771e-05,0.00016951067917278788,,0.022413078690624175,0.005311334614080687,0.00018834519908087543,3.7669039816175084e-05,0.005009982295551286,0.0009040569555882021,0.007401966323878404,0.028647304780201152,0.016047010961690585
iRNormal_KW_R__TRB.csv,0.0020382305954938576,0.0051782074588222335,0.024018068638792488,0.0007161350740924365,0.009419930589985127,0.0012670082080096954,5.508731339172588e-05,,0.06974053875392497,,0.006059604473089847,0.005068032832038782,0.01525918580950807,0.004462072384729797,0.0011017462678345176,0.028094529829780203,0.11370021484052223,0.030022585798490608,0.07486365889935548,,0.013882002974714923,0.0023687544758442132,,0.035035531317137665,0.12416680438495015,0.08384289098220679,0.05249820966231477,5.508731339172588e-05,0.010797113424778274,0.02633173580124497,0.018068638792486092,,0.03316256266181898,,0.01685671789786812,0.004241723131162893,0.0068308268605740095,,0.0015424447749683248,0.01955599625406269,0.006335041040048477,0.010521676857819644,0.025395251473585633,0.018013551479094364,0.00016526194017517766,0.00011017462678345177,0.0002754365669586294,5.508731339172588e-05,0.02473420371288492,0.006004517159698122,0.00011017462678345177,,0.006500302980223654,0.0013220955214014213,0.007161350740924365,0.03773480967333223,0.01525918580950807
iRNormal_XH__TRB.csv,0.0049232800815283695,0.005325180496347013,0.02978369145531011,0.0009760438645595602,0.008956637815958316,0.0007894472433937619,,,0.06035683015401398,,0.0029137780074351576,0.0028707172487045887,0.012286669824455641,0.006645710430751123,0.0012057012444559273,0.02823350414100963,0.07725100116264048,0.025133129512408675,0.08497323056165583,,0.014942083279507384,0.001277469175673542,,0.02194663336634658,0.08672436808336563,0.08372446855846934,0.045658757840646484,4.3060758730568835e-05,0.00911452726463707,0.023181041783289554,0.017281717837201626,0.055404842899998565,0.03388881712095767,8.612151746113767e-05,0.01735348576841924,0.004406550976761544,0.007707875812771821,2.8707172487045888e-05,0.0016363088317616157,0.014741133072098064,0.03459214284689029,0.003100374628600956,0.02628141641189051,0.016363088317616157,0.00020095020740932122,0.00014353586243522943,7.176793121761472e-05,,0.04951987254015416,0.009028405747175932,0.0002296573798963671,1.4353586243522944e-05,0.004105125665647562,0.0008899223470984225,0.007679168640284775,0.03018559187012875,0.025822101652097775
HL_W_LS0121__TRB.csv,0.0008313962366594839,0.005191984661587797,0.016254644790199706,0.0014422179615521658,0.020801873186623004,0.0008483635067953917,1.6967270135907833e-05,5.09018104077235e-05,0.016729728354005123,0.01652612111237423,0.002375417819027097,0.005972479087839558,0.009637409437195649,0.009756180328147004,0.000610821724892682,0.023380898247280995,0.06164209240375316,0.03702258343655089,0.14281351273393625,,0.012589714440843613,0.004954442879685088,,0.03690381254559954,0.13080068547771348,0.07435057773554812,0.04425064051444763,,0.011724383663912314,0.02646894141201622,0.012029794526358654,,0.040619644705363354,6.786908054363133e-05,0.012114630877038193,0.005412559173354599,0.009433802195564755,3.3934540271815666e-05,0.0010010689380185623,0.026519843222423945,0.010587576564806488,0.0038346030507151706,0.02954001730661554,0.01769686275175187,0.0002714763221745253,8.483635067953917e-05,0.000305410862446341,,0.027605748511122047,0.006176086329470452,0.0004581162936695115,1.6967270135907833e-05,0.00532772282267506,0.00044114902353360367,0.012555779900571797,0.04175645180446918,0.022159254797495632
BW_CT0806__TRB.csv,0.0011677459470116319,0.004959128891854593,0.015787318582326088,0.002396154021140751,0.024310347442333066,0.0013194012648053504,,,0.01686407133866149,0.013830964982787122,0.002320326362243892,0.005323101654559517,0.009190312258299338,0.011404479898087627,0.00047013148516052714,0.020170157266564553,0.06983727384400734,0.03158980269643155,0.10585541182001547,,0.011374148834528882,0.005110784209648311,,0.03356132182774989,0.10361091311666844,0.06918515597749435,0.03366748055020549,,0.016666919425529655,0.02434067850589181,0.009948588847267929,,0.07141448914906201,0.0001061587224556029,0.01725837516492516,0.007946738652390846,0.017152216442469555,3.033106355874369e-05,0.0022748297669057766,0.028556696340557183,0.012723881162892976,0.004018865921533539,0.03366748055020549,0.018365458984819304,0.00033364169914618054,0.0001364897860143466,0.00016682084957309027,,0.03077086398034547,0.010464216927766572,0.0005156280804986427,6.066212711748738e-05,0.006096543775307481,0.0006066212711748738,0.017303871760263274,0.047756259573241935,0.028010737196499796
DDY__TRB.csv,0.001470227885322225,0.004655721636853712,0.044596912521440824,,0.0039206076941926,0.0017152658662092624,,,0.022053418279833373,0.013967164910561138,0.004655721636853712,0.005390835579514825,0.017152658662092625,0.0026954177897574125,0.001470227885322225,0.02058319039451115,0.07939230580740014,0.029159519725557463,0.1254594462141632,,0.007106101445724087,0.0036755697133055622,,0.04655721636853712,0.10708159764763539,0.08135260965449645,0.062239647145307525,,0.0078412153883852,0.024748836069590788,0.0098015192354815,0.008331291350159274,0.038716000980151925,,0.005390835579514825,0.003430531732418525,0.011026709139916687,,0.0022053418279833373,0.04680225434942416,0.010046557216368537,0.003430531732418525,0.029894633668218575,0.02058319039451115,,0.0017152658662092624,,,0.02523891203136486,,,,0.0007351139426611125,0.0022053418279833373,0.014212202891448174,0.02646410193580005,0.020828228375398185
GH03_HJ625__TRB.csv,0.001363264564209761,0.0067254385167681546,0.02735617558847587,0.00018176860856130146,0.011360538035081342,0.005453058256839044,,,0.03671725892938289,0.01854039807325275,0.0031809506498227755,0.0029082977369808234,0.015722984640552575,0.005180405343997092,0.000999727347087158,0.02226665454875943,0.0728892120330819,0.04044351540488957,0.1445969281105153,,0.020176315550304462,0.00245387621557757,,0.03680814323366355,0.11133327274379715,0.09551940379896393,0.06570935199491047,,0.0059983640825229485,0.024720530764336997,0.015541216031991274,,0.023266381895846587,,0.010088157775152231,0.0038171407797873307,0.008815777515223121,,0.000999727347087158,0.026810869762791966,0.007997818776697264,0.00745251295101336,0.01963100972462056,0.02735617558847587,0.0002726529128419522,,,,0.01872216668181405,0.0035444878669453786,0.0005453058256839044,,0.0052712896482777424,0.0012723802599291102,0.008270471689539217,0.019721894028901208,0.011996728165045897
GH03_W_HNY1228__TRB.csv,0.0018578937828529999,0.007023744788834512,0.023178357803153887,0.0006570599963748415,0.01561083922421606,0.0006117455138662316,,6.797172376291462e-05,0.027823092260286387,0.02202283849918434,0.006683886170019938,0.006117455138662317,0.008133949610295451,0.006298713068696756,0.0005664310313576218,0.02360884538698568,0.07116639477977162,0.0376563349646547,0.10494834148994019,,0.014387348196483596,0.0046447344571325,,0.04610748595251042,0.07309226028638753,0.06024560449519666,0.05963385898133043,,0.014002175095160413,0.029159869494290374,0.021297806779046583,0.01617727025557368,0.044408192858437556,6.797172376291462e-05,0.01375294544136306,0.004622077215878194,0.014138118542686243,,0.0004758020663404024,0.03636487221315932,0.01640384266811673,0.006933115823817292,0.03708990393329708,0.022430668841761828,0.00018125793003443902,6.797172376291462e-05,4.5314482508609755e-05,,0.030247417074497008,0.0043955048033351455,0.00011328620627152438,,0.004780677904658329,0.000747688961392061,0.0037837592894689144,0.03273971361247054,0.02342758745695124
GH03_W_LXZ1225__TRB.csv,0.0007828129077150561,0.004336534996707215,0.022863107145963544,0.0010810273487493632,0.013519054660221921,0.0014165185949129586,,2.485120341952559e-05,0.038569067707103714,0.017172181562892182,0.0025596739522111356,0.005405136743746816,0.014016078728612434,0.015184085289330136,0.0006709824923271909,0.02075075485530387,0.07067682252513079,0.02778364542302961,0.12605772934554355,,0.014600082008971284,0.003330061258216429,,0.038780302936169686,0.08844543297009158,0.0700679680413524,0.03285329092061283,,0.012201940878987065,0.02819369027945178,0.02395656009642267,0.015432597323525392,0.0354005392711142,9.940481367810237e-05,0.014413697983324843,0.0031064004274406988,0.010126865393456677,3.727680512928839e-05,0.0011680065607177028,0.02760968699909293,0.019669727506554505,0.0033549124616359545,0.03638216180618546,0.018253208911641547,0.0002609376359050187,0.00011183041538786516,0.0002733632376147815,,0.034555598354850336,0.006026416829234956,0.00048459846668074904,,0.005492115955715155,0.0007206848991662421,0.015668683756010885,0.03972464866611165,0.016327240646628313
