,IGHJ1,IGHJ2,IGHJ2P,IGHJ3,IGHJ3P,IGHJ4,IGHJ5,IGHJ6
iRNormal_JH__IGH.csv,0.010679206310839615,0.018435913775297193,0.0004614471862708475,0.1282163967566855,,0.5345096574303984,0.11639455931793712,0.19130281922257136
iRNormal_KW_R__IGH.csv,0.018957883982290837,0.01918492450902486,,0.08877284595300261,,0.5842887955500057,0.13270518787603588,0.15609036212964014
iRNormal_XH__IGH.csv,0.018736809594893704,0.03106501261131415,0.000566222267977557,0.1369485767231173,,0.5001286868790858,0.13985690019045657,0.1726977917331549
HL_W_XQF1225__IGH.csv,0.01477763182585851,0.02974291611934697,0.0003283918183524113,0.08746950647401014,,0.545294614374179,0.1557280915744042,0.16665884781384877
HL_W_LS0121__IGH.csv,0.012978362667527854,0.021051994186985307,0.00042386565477151624,0.08200791215888907,6.055223639593089e-05,0.5761141611496852,0.12576699499434846,0.18159615695139675
BW_CT0806__IGH.csv,0.016795345603571297,0.018283386390525326,0.00047568516960005855,0.08242770195274861,,0.5161550001829558,0.14103455425860198,0.2248283264419969
DDY__IGH.csv,0.026041666666666668,0.019965277777777776,0.00043402777777777775,0.09852430555555555,,0.5078125,0.11284722222222222,0.234375
GH03_HJ625__IGH.csv,0.14030186979049336,0.018337463392656003,0.000991214237440865,0.13093038972741608,,0.5218292408200045,0.09105654426672674,0.09655327776526244
GH03_W_HNY1228__IGH.csv,0.019762099565737302,0.02221662785574926,0.0001888098684624583,0.10195732896972748,,0.5182201523066272,0.14506891560198878,0.19258606583170748
GH03_W_LXZ1225__IGH.csv,0.018359134036365774,0.023940310783420966,0.0004112446024145933,0.08248391739858414,,0.5310636547895309,0.16041476955614958,0.18332696883353405
GH03_W_ZXM1225__IGH.csv,0.015889287544848796,0.026968418562472892,0.0004337026377005875,0.08402002917635926,,0.5134250680124591,0.14722233174309032,0.21204116232306905
BW_1__IGH.csv,0.01658313679245283,0.01960495283018868,0.00029481132075471697,0.06574292452830188,,0.6406987028301887,0.11814563679245282,0.13892983490566038
BW_2__IGH.csv,0.024344927457034347,0.05258340391813984,0.0006694171971911801,0.0956856744719801,,0.5299461733927157,0.15542774392742972,0.14134265963550915
BW_4__IGH.csv,0.03356081032713737,0.04033739769500585,0.00032212651220501565,0.14179531842802262,,0.527679018826505,0.11452194039466464,0.14178338781645947
BW_5__IGH.csv,0.018793852322084866,0.015928833945873706,0.0008185766789174741,0.06414968259271633,,0.5436518543267624,0.15813564984964917,0.19852155028399598
BW_17__IGH.csv,0.01368015955504368,0.03165819264586084,0.0003089974437484199,0.10640748335627405,,0.5128514845922638,0.15834714458271298,0.1767465378240962
BF__IGH.csv,0.009708737864077669,0.0006472491909385113,,0.14498381877022654,,0.510032362459547,0.08025889967637541,0.2543689320388349
BW_9__IGH.csv,0.013499205929062997,0.023292747485442033,0.0005293806246691371,0.06868713605082054,,0.5731868713605082,0.14703546850185284,0.17376919004764427
BW_CT0530__IGH.csv,0.01890634089586969,0.01750489185044159,0.0006081760008461579,0.08900523560209424,,0.5101803374054683,0.15066899360093078,0.21312602464434924
BW_6__IGH.csv,0.015679707718069723,0.025117978383315573,0.0006089206880803775,0.07459278428984625,,0.6077789617902268,0.14591261988126047,0.1303090272492008
BW_7__IGH.csv,0.03344298245614035,0.017763157894736842,0.0004385964912280702,0.04649122807017544,,0.6836622807017544,0.11962719298245614,0.09857456140350877
BW_8__IGH.csv,0.0076220608326741926,0.023729057309268713,0.0003595311713525563,0.04206514704824908,,0.4742216150140217,0.1430934061983174,0.30890918242611637
BW_15__IGH.csv,0.04580775507032404,0.025526458932317975,0.0007187815681094103,0.10627282617141968,,0.58660346569275,0.11867666485352397,0.1163940477115549
BW_11__IGH.csv,0.019463138310013072,0.045517737462045495,0.0008230680379856274,0.08927175769983607,,0.5375879264910327,0.12889660467142985,0.17843976732765715
BW_12__IGH.csv,0.022418628367468343,0.029540239653267613,0.0007648508540834538,0.10645024220277045,,0.5711906178295233,0.12332795104954535,0.14630747004334155
BW_13__IGH.csv,0.039575253228903866,0.03141921150732387,0.001378167714726814,0.1171141318673043,,0.5845765711488496,0.11558534473020296,0.11035131980268856
BW_14__IGH.csv,0.009274100059475206,0.021108658178849004,0.00046370500297376036,0.08542252598260099,,0.5471013397042368,0.23891896251045858,0.09771070856140564
BW_16__IGH.csv,0.02034820793518261,0.030161528074135923,0.0006906433291070085,0.08637164857593468,,0.5353619692612178,0.1398707363082537,0.18719526651616827
BW_10__IGH.csv,0.01248761350077858,0.03149709802018241,0.00038423426156241784,0.12945661186272725,,0.5658860644300188,0.11624097555056725,0.14404740237416327
iRNormal_097__IGH.csv,0.01558038485412787,0.013097454996896338,,0.08926132836747362,,0.6034761018001241,0.11185599006828058,0.16672873991309745
iRNormal_088_R__IGH.csv,0.018432009749162183,0.019853762567279373,0.00035543820452929825,0.11252158017670356,,0.5534172844521174,0.1272976541078501,0.16812227074235808
SS03F_W_1_HJ__IGH.csv,0.009213060224089636,0.018097864145658265,0.00030637254901960784,0.21260066526610644,,0.60375087535014,0.0703781512605042,0.0856530112044818
WDM__IGH.csv,0.018630678077682684,0.026333113890717578,0.00026333113890717575,0.1315997366688611,,0.5786701777485188,0.12376563528637262,0.12073732718894009
WGF__IGH.csv,0.014628437682855471,0.01839932384110266,6.501527859046876e-05,0.13107080163838503,,0.5352707886353293,0.13906768090501267,0.1614979520187244
WJW__IGH.csv,0.0010121457489878543,0.009109311740890687,,0.11538461538461539,,0.5921052631578947,0.09008097165991903,0.19230769230769232
JGR__IGH.csv,0.024001013235387246,0.020581343803432336,0.00037996327021721236,0.09359761889683997,,0.5428408587169907,0.11557216135773542,0.20302704071939712
LFJ__IGH.csv,0.012146188049018545,0.027816939594404077,0.0002711202689513068,0.12346817048042512,,0.5891443444311897,0.10486932003036548,0.1422839171456458
