,TRAJ1,TRAJ10,TRAJ11,TRAJ12,TRAJ13,TRAJ14,TRAJ15,TRAJ16,TRAJ17,TRAJ18,TRAJ19,TRAJ2,TRAJ20,TRAJ21,TRAJ22,TRAJ23,TRAJ24,TRAJ25,TRAJ26,TRAJ27,TRAJ28,TRAJ29,TRAJ3,TRAJ30,TRAJ31,TRAJ32,TRAJ33,TRAJ34,TRAJ35,TRAJ36,TRAJ37,TRAJ38,TRAJ39,TRAJ4,TRAJ40,TRAJ41,TRAJ42,TRAJ43,TRAJ44,TRAJ45,TRAJ46,TRAJ47,TRAJ48,TRAJ49,TRAJ5,TRAJ50,TRAJ51,TRAJ52,TRAJ53,TRAJ54,TRAJ56,TRAJ57,TRAJ58,TRAJ59,TRAJ6,TRAJ60,TRAJ61,TRAJ7,TRAJ8,TRAJ9
BW_15__TRA.csv,,0.013919012322139332,0.0097321861270666,0.00628421161347729,0.016501020886463123,,0.015547663878097417,0.011845460828943919,0.01142439481691573,0.004091490494236162,,,0.018018447458111875,0.00901716837079232,0.02661454981687601,0.038086612484210025,0.0037975387499900692,7.150177562742808e-05,0.01096360559620564,0.009740130768802981,0.016945920823700455,0.020314448919925957,0.06400997847002089,0.014673753287095519,0.0026058424895329347,0.010876214537105449,0.02759968539218724,0.02037006141208062,0.004115324419445305,0.007412350740043378,0.016469242319517602,0.004210660120281876,0.018097893875475685,0.01096360559620564,0.05442079589420915,0.014014348022975904,0.046412597023937206,0.025549967824200968,0.012091744722771726,0.0334389970684272,0.0003575088781371404,0.013108658865028482,0.0319851276306695,0.03299409713118987,0.08322806683032628,0.004051767285554258,,0.04708789157152958,0.014554583661049805,0.013736285562202572,0.004878010026137872,0.006609941924668907,0.007936697094644517,,0.0382216713937285,,4.766785041828539e-05,0.0049574564435016805,0.01212352328971725,0.05387261561439887
LFJ__TRA.csv,,0.016836184789207002,0.009613597789863601,0.010716188258030947,0.022237639217532426,2.4777313891401034e-05,0.019586466631152516,0.008238456868890843,0.008065015671651037,0.007123477743777797,,,0.043075360200200696,0.01629108388359618,0.036769533814839134,0.022175695932803923,0.005488175026945328,6.194328472850259e-05,0.015993756116899367,0.01897942244081319,0.018236103024071162,0.018632540046333575,0.01632824985443328,0.021766870253595808,0.002378622133574499,0.012450600230429019,0.08467647022386303,0.027552373047237948,0.007259752970180502,0.0239720511899305,0.028134639923685874,0.008003072386922534,0.0215438744285732,0.013094810391605446,0.024554318066378422,0.006764206692352482,0.03181407103655893,0.02128371263271349,0.0191776409519444,0.020230676792328945,0.0009043719570361377,0.017938775257374348,0.0335360943520113,0.03963131356929595,0.014767279079275017,0.008325177467510747,,0.03219811940187564,0.032929050161671976,0.018236103024071162,0.018632540046333575,0.012264770376243512,0.013565579355542066,,0.021234158004930684,4.955462778280207e-05,4.955462778280207e-05,0.008052627014705336,0.015238048043211636,0.023315452371808373
iRNormal_JH__TRA.csv,,0.02365810226405495,0.013134464245069555,0.015022292439315027,0.017492535714763887,6.694426220728622e-06,0.013823990145804602,0.01029602752748062,0.012652465557177094,0.006245899663939803,6.694426220728622e-06,,0.02864544979849777,0.010865053756242552,0.014098461620854477,0.012685937688280738,0.004204099666617574,5.355540976582897e-05,0.017311786206804215,0.02472921045937153,0.05567084845157921,0.018135200631953834,0.011956245230221318,0.015223125225936884,0.0014794681947810254,0.012371299655906493,0.04240249568209509,0.01986236259690182,0.004337988191032147,0.014687571128278596,0.07888042415884534,0.008669281955843565,0.017151119977506728,0.00835464392346932,0.025612874720507706,0.010021556052430746,0.030707333074482188,0.014787987521589524,0.015403874733896558,0.030586833402509072,0.0004886931141131894,0.006085233434642317,0.021335136365462117,0.03943686486631231,0.026449677998098782,0.00509445835397448,,0.02242632783944088,0.025525847179638232,0.02248657767542744,0.008763003922933766,0.0972767074134076,0.009914445232899088,6.694426220728622e-06,0.020183695055496793,6.694426220728622e-06,4.6860983545100346e-05,0.007558007203202614,0.012531965885203979,0.013147853097511012
iRNormal_KW_R__TRA.csv,,0.020386952350495684,0.011752478413815158,0.01694915254237288,0.025690224922716127,0.00010659844366272253,0.016176313825818144,0.01018015136979,0.011379383860995629,0.008314678605692356,,,0.03421810041573393,0.01766869203709626,0.018041786589915787,0.014150943396226415,0.003917492804605053,2.664961091568063e-05,0.015456774331094766,0.018814625306470524,0.016416160324059268,0.019507515190278223,0.01814838503357851,0.02694275663575312,0.0019187719859290054,0.01654940837863767,0.06896919304978147,0.029501119283658457,0.005756315957787016,0.01654940837863767,0.03488434068862595,0.008741072380343247,0.02313186227481079,0.009887005649717515,0.026463063639270867,0.0063959066197633516,0.05071420957254024,0.021372987954375866,0.02076004690331521,0.0202270546850016,0.0006928898838076964,0.007914934441957148,0.03981451870802686,0.026489713250186547,0.012445368297622855,0.01436414028355186,,0.04437160217460825,0.03941477454429165,0.009780407206054791,0.013005010126852148,0.014257541839889138,0.012951710905020787,,0.02361155527129304,,0.00010659844366272253,0.01574992005116725,0.015936467327577017,0.023025263831148064
iRNormal_XH__TRA.csv,,0.016984563956346475,0.018508504571821845,0.011888375446530987,0.023285157146134435,8.193229115458984e-06,0.017328679579195753,0.007890079638187003,0.01419886605709042,0.007750794743224199,,8.193229115458984e-06,0.023662045685445547,0.018098843116048896,0.02090912070265133,0.018066070199587062,0.004219512994461377,4.915937469275391e-05,0.02067971028741848,0.03174056959328811,0.02920066856749582,0.02040933372660833,0.026365811293547013,0.024301117556451347,0.004629174450234326,0.013379543145544522,0.01524759938386917,0.0275866024317504,0.005440304132664765,0.010216956706977354,0.027799626388752337,0.007963818700226133,0.02857798315472094,0.011675351489529053,0.023203224854979845,0.009749942647396192,0.03847540392619539,0.03506702061416445,0.019590010815062432,0.020974666535575,0.0008848687444695703,0.010266116081670109,0.02042572018483925,0.03335463572903353,0.012519254088421328,0.006030216628977813,,0.02735719201651755,0.029094156588994856,0.016665028020843575,0.010520106184249336,0.010626618162750304,0.014329957722937764,,0.07626257660669222,2.4579687346376955e-05,9.012552027004883e-05,0.008422639530691837,0.04453020024251958,0.023465408186674534
HL_W_LS0121__TRA.csv,1.1374493835024341e-05,0.039105509804813685,0.011977342008280632,0.006324218572273534,0.02171390873106147,2.2748987670048682e-05,0.05137858865280495,0.014729969516356523,0.014149870330770281,0.011795350106920241,,,0.02963055644023841,0.015867418899858956,0.02368169616452068,0.01553755857864325,0.006642704399654215,6.824696301014604e-05,0.01778970835797807,0.014263615269120525,0.015446562627963055,0.02363619818918058,0.015184949269757496,0.028652349970426316,0.002900495927931207,0.010851267118613221,0.028754720414941533,0.03461258473997907,0.007950771190682014,0.014240866281450475,0.030483643477865235,0.008633240820783475,0.0570544610764821,0.00932708494471996,0.026843805450657447,0.008701487783793621,0.037478957186405204,0.017220983666226854,0.020053232631147912,0.024841894535693163,0.0006142226670913145,0.012352700304836435,0.02852723053824105,0.026138586832885936,0.03402111106055781,0.007973520178352064,,0.02685517994449247,0.02339733381864507,0.015844669912188906,0.008348878474907867,0.01768733791346285,0.011863597069930388,,0.020053232631147912,2.2748987670048682e-05,4.5497975340097364e-05,0.006824696301014605,0.0203262204831885,0.021543291323536103
BW_CT0806__TRA.csv,,0.03822977036789529,0.01278934451728866,0.012386076897374152,0.020578170547637428,,0.0436566003387448,0.013538270097129887,0.016902674240416634,0.013549792029127443,,,0.029542233641737047,0.015773524904656014,0.019598806327845053,0.0253943381226164,0.010865181873696582,4.60877279902294e-05,0.018953578135981843,0.016533972416494798,0.01556613012869998,0.02125796453549331,0.016188314456568077,0.02144231544745423,0.003687018239218352,0.013261743729188511,0.04031524005945317,0.031282045373368206,0.008825799910128931,0.014022191241027295,0.027548939406159625,0.007973176942309687,0.0507886762452328,0.02170731988339805,0.025866737334516252,0.007904045350324343,0.029645931029715064,0.021384705787466443,0.016856586512426403,0.0253136845986335,0.0007489255798412278,0.01186758995748407,0.020797087255591016,0.03358643177287968,0.041283082347247986,0.006302496802663871,,0.02269820603518798,0.018123999032157712,0.017582468228272516,0.007189685566475787,0.011406712677581777,0.009908861517899322,,0.0206127363436301,1.152193199755735e-05,5.760965998778675e-05,0.0074892557984122775,0.019633372123837724,0.021522968971437132
DDY__TRA.csv,,0.017693981145757796,0.02668600435097897,0.0040609137055837565,0.024075416968817983,,0.021464829586657,0.012907904278462654,0.01508339376359681,0.0069615663524292964,,,0.0378535170413343,0.02189992748368383,0.022044960116026104,0.02857142857142857,0.0040609137055837565,,0.016243654822335026,0.012327773749093546,0.014358230601885425,0.03074691805656273,0.014358230601885425,0.013923132704858593,0.001305293691080493,0.011747643219724439,0.0448150833937636,0.03205221174764322,0.0017403915881073241,0.01116751269035533,0.03683828861493836,0.006816533720087019,0.02189992748368383,0.009137055837563452,0.03074691805656273,0.02030456852791878,0.05322697606961566,0.026831036983321246,0.019724437998549674,0.024075416968817983,0.0010152284263959391,0.008846990572878898,0.03727338651196519,0.03248730964467005,0.01305293691080493,0.011022480058013052,,0.03103698332124728,0.03843364757070341,0.02030456852791878,0.010442349528643945,0.01754894851341552,0.01783901377810007,,0.02102973168963017,,,0.010297316896301667,0.008556925308194343,0.023060188542422044
GH03_HJ625__TRA.csv,,0.026954824125766347,0.01500154125423845,0.005240264410727129,0.020652806795218685,,0.01712504709387951,0.009932527314450115,0.011542281741274788,0.004795013186286262,,6.850018837551804e-05,0.033291091550501764,0.016782546152001917,0.020995307737096278,0.009590026372572525,0.002055005651265541,0.00013700037675103607,0.011987532965715655,0.014864540877487413,0.054902900982977704,0.01602904407987122,0.013186286262287222,0.02263931225810871,0.002123505839641059,0.011302531081960476,0.052847895331712164,0.024934068568688565,0.004212761585094359,0.018049799636949002,0.08220022605062163,0.010240778162139946,0.013426036921601535,0.003767510360653492,0.022365311504606637,0.007432270438743707,0.040243860670616846,0.0167140459636264,0.020002055005651265,0.020344555947528854,0.00034250094187759017,0.005137514128163852,0.03709285200534301,0.03281159023187314,0.030688084392232078,0.004212761585094359,,0.027400075350207213,0.03952460869267391,0.02438606706168442,0.013460287015789293,0.037401102853032844,0.012638284755283077,,0.022159810939480083,,0.00010275028256327705,0.005617015446792478,0.01363153748672809,0.015412542384491558
GH03_W_HNY1228__TRA.csv,,0.032143687514531505,0.01606603115554522,0.013508486398511974,0.032190188328295746,,0.01971634503603813,0.02230876540339456,0.016217158800279005,0.009346663566612417,,,0.038560799813996745,0.01654266449662869,0.02658684026970472,0.013182980702162287,0.00372006510113927,2.3250406882120437e-05,0.019972099511741455,0.017821436875145313,0.014554754708207393,0.022064636131132295,0.03821204371076494,0.03225993954894211,0.002290165077888863,0.011055568472448268,0.06932108811904208,0.021343873517786563,0.00638223668914206,0.013136479888398047,0.029690769588467798,0.009381539176935596,0.022506393861892585,0.019588467798186467,0.023029528016740294,0.007219251336898396,0.029609393164380375,0.030469658219018834,0.016868170192978378,0.014008370146477564,0.0006161357823761916,0.00959079283887468,0.022413392234364102,0.021029993024877937,0.017426179958149268,0.0065914903510811435,,0.018774703557312252,0.027609858172518018,0.014543129504766333,0.009625668449197862,0.010823064403627063,0.010358056265984655,,0.02827249476865845,5.812601720530109e-05,5.812601720530109e-05,0.006335735875377819,0.02597070448732853,0.03900255754475703
