,IGLV1-36,IGLV1-40,IGLV1-41,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV1-62,IGLV10-54,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-28,IGLV2-33,IGLV2-34,IGLV2-5,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-13,IGLV3-16,IGLV3-19,IGLV3-2,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-26,IGLV3-27,IGLV3-32,IGLV3-6,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-35,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,IGLVI-70
BW_15__IGL.csv,0.007509922245009369,0.07399265237469939,0.0003393481564542544,0.07298936217300854,0.04191687445593638,0.00028033108576655796,0.18888413473597238,,0.0008705017926435221,0.06248432359059858,0.15694114522625668,0.006786963129085088,0.03228233766616994,,,,0.0007377133835962052,0.06938932086105906,0.04017587087064933,0.018324800448529736,8.852560603154462e-05,,0.0018737919943343612,0.0477448101863464,,0.040825058648213994,0.00013278840904731694,0.04528084748513508,,0.006462369240302758,,0.00023606828275078565,0.002700030983962111,0.00020655974740693746,0.0061672838868642756,0.019741210145034452,0.0010770615400504597,0.0020508432063974505,5.901707068769641e-05,0.00044262803015772314,0.028844593298611623,0.0002508225504227098,0.0052230107558611325,0.00765746492172861,0.006432860704958909,0.0024934712365551736,0.00010327987370346873
BW_17__IGL.csv,0.0016982963122708647,0.05596290705197326,0.0006469700237222342,0.05531593702825102,0.04472180288979944,5.391416864351952e-05,0.1293400905758033,,0.01889691610955359,0.07103191718783697,0.22336640069010136,0.0027765796851412553,0.021916109553590683,,,,0.0019139529868449428,0.037012076773776145,0.044856588311408235,0.007251455682553375,0.00021565667457407807,2.695708432175976e-05,0.0028035367694630147,0.10742398102221264,,0.027819711020056072,5.391416864351952e-05,0.02792753935734311,,0.0013208971317662283,,8.087125296527928e-05,0.0012939400474444684,0.0005121846021134354,0.0033965926245417295,0.023290920854000433,0.0012130687944791891,0.004070519732585724,8.087125296527928e-05,0.0008356696139745526,0.054453310329954714,,0.004690532671986198,0.006227086478326504,0.013748113004097477,0.0016982963122708647,5.391416864351952e-05
BW_16__IGL.csv,0.004931708377217179,0.08260193590450875,0.00033435311031980875,0.08271895949312068,0.04517110520420616,0.00033435311031980875,0.10828025477707007,,0.003661166558001906,0.059163782871090156,0.10065700386177842,0.004380025745189494,0.023438153033418594,,,,0.0014377183743751777,0.1211528495243827,0.04354949261915509,0.02104752829463196,5.0152966547971315e-05,,0.0021231422505307855,0.052125649898858185,,0.04664225888961332,0.00043465904341575135,0.049584566260427634,,0.004045672634869686,1.6717655515990436e-05,0.00010030593309594263,0.003744754835581858,0.00035107076583579917,0.042245515488907835,0.023772506143738402,0.0011702358861193306,0.014193289533075882,0.0006519885651236271,0.003510707658357992,0.02174966982630356,3.343531103198087e-05,0.006720497517428156,0.005801026464048682,0.01491214872026347,0.0030091779928782788,0.00015045889964391393
LFJ__IGL.csv,0.0009698985070490838,0.059163808929994115,0.0005888669507083723,0.04014687034535315,0.03754892791575739,3.463923239461013e-05,0.1264678374727216,,0.041567078873532164,0.11902040250788043,0.11839689632477744,0.013613218331081783,0.0389691364439364,,,,0.0012816515986005751,0.08351518930340504,0.048009976098929645,0.01527590148602307,0.00013855692957844053,,0.0026325816619903702,0.0372718140566005,,0.04063181959887769,3.463923239461013e-05,0.060064428972253975,,0.0036371194014340642,,0.0002078353943676608,0.002286189338044269,0.0006235061831029824,0.0016280439225466764,0.027087879732585127,0.004468460978904708,0.005611555647926842,,0.0014548477605736258,0.0311060306903599,,0.0030136132183310816,0.0019397970140981676,0.02241158335931276,0.009144757352177076,3.463923239461013e-05
iRNormal_JH__IGL.csv,0.0010214504596527069,0.1303030303030303,0.0005447735784814437,0.02049710589036432,0.01504937010554988,0.0002723867892407218,0.3218249914879128,,0.020326864147088865,0.02689819543752128,0.10684371807967313,0.0035069799114742935,0.027374872318692543,,,,0.0024514811031664963,0.04899557371467484,0.017432754511406197,0.012427647259107933,0.00020429009193054137,,0.0006128702757916241,0.09908069458631256,,0.02376574736125298,3.404834865509023e-05,0.026149131767109295,,0.0024514811031664963,,0.00010214504596527068,0.004937010554988083,0.00030643513789581204,0.010554988083077971,0.017568947906026557,0.005822267620020429,0.001327885597548519,0.00030643513789581204,0.0001361933946203609,0.04787197820905686,,0.000749063670411985,0.0014300306435137897,3.404834865509023e-05,0.0006809669731018045,0.00010214504596527068
iRNormal_KW_R__IGL.csv,0.002202158114952654,0.07046905967848492,0.002422373926447919,0.07399251266240917,0.03699625633120458,,0.2294648755780665,,0.016956617485135432,0.032591940101299274,0.1290464655362255,0.0015415106804668576,0.030609997797841886,,,0.00022021581149526536,0.0041841004184100415,0.03919841444615724,0.022902444395507596,0.017397049108125964,0.001101079057476327,,0.0033032371724289805,0.06958819643250386,,0.06694560669456066,,0.0451442413565294,,0.006826690156353226,,0.0013212948689715921,0.005064963664391103,0.0017617264919621229,0.004404316229905308,0.011231006386258534,0.013212948689715922,0.006386258533362696,0.00022021581149526536,0.0026425897379431843,0.02136093371504074,,0.004404316229905308,0.007707553402334287,0.014974675181678044,0.002202158114952654,
iRNormal_XH__IGL.csv,0.0011675113434340754,0.07405736726192055,0.00164512962029347,0.032424974129010006,0.016371693156791465,0.00018574044100087562,0.17382651842810518,2.6534348714410806e-05,0.01809642582322817,0.0240666542839706,0.11287711943110357,0.008172579404038528,0.08358319845039404,2.6534348714410806e-05,,2.6534348714410806e-05,0.002441160081725794,0.05880011675113434,0.0348661342107358,0.013320243054634223,0.00018574044100087562,5.306869742882161e-05,0.002839175312441956,0.037678775174463344,,0.020219173720381033,0.000955236553718789,0.04473691193249662,,0.0006368243691458593,2.6534348714410806e-05,5.306869742882161e-05,0.005970228460742431,0.00021227478971528644,0.006155968901743307,0.011568976039483111,5.306869742882161e-05,0.0034229309841589937,7.960304614323241e-05,0.0017512670151511131,0.06320481863772653,,0.07296945896462971,0.009923846419189641,0.060710589858571924,0.0005572213230026269,5.306869742882161e-05
HL_W_LS0121__IGL.csv,0.003353216185716589,0.08231500886667742,0.00035466709656617766,0.06132516524262454,0.028147670482024826,6.448492664839594e-05,0.1479929066580687,,0.0857971949056908,0.026471062389166532,0.095437691439626,0.00428824762211833,0.03185555376430759,,,,0.0012574560696437208,0.11471868450749638,0.023311300983395133,0.028179912945349026,0.00022569724326938577,,0.0018055779461550862,0.03272610027406094,,0.05471546026116395,3.224246332419797e-05,0.04372078026761245,,0.004159277768821538,,0.00016121231662098983,0.004062550378848944,0.0001934547799451878,0.0056746735450588425,0.007705948734483314,0.003353216185716589,0.0684185071739481,6.448492664839594e-05,0.001031758826374335,0.02256972432693858,6.448492664839594e-05,0.00428824762211833,0.00222472996936966,0.0027406093825568275,0.005158794131871675,3.224246332419797e-05
HL_W_XQF1225__IGL.csv,0.00441017316017316,0.12180735930735931,0.0005140692640692641,0.07694805194805195,0.05048701298701299,0.00016233766233766234,0.1318452380952381,,0.022483766233766234,0.03668831168831169,0.11041666666666666,0.008522727272727272,0.04512987012987013,,,,0.0013528138528138528,0.04878246753246753,0.02610930735930736,0.013176406926406927,2.7056277056277056e-05,,0.002029220779220779,0.046807359307359304,,0.04567099567099567,0.00013528138528138528,0.058522727272727275,,0.0042207792207792205,,0.00010822510822510823,0.010903679653679653,0.001948051948051948,0.01231060606060606,0.022186147186147188,0.0020562770562770564,0.010308441558441558,0.00016233766233766234,0.0021645021645021645,0.04345238095238095,0.0001893939393939394,0.002976190476190476,0.007413419913419914,0.020183982683982683,0.007251082251082251,0.00013528138528138528
BW_CT0806__IGL.csv,0.0016571381224625072,0.07939763029248488,0.0007871406081696909,0.0743847874720358,0.04033059905543127,0.0002071422653078134,0.09441544452730136,,0.04836771894937443,0.0334120473941503,0.1256524981357196,0.008989974314359103,0.04337559035545613,,2.071422653078134e-05,2.071422653078134e-05,0.001760709255116414,0.06759052116993951,0.046275582069765515,0.017524235645041013,0.00016571381224625073,2.071422653078134e-05,0.0035007042837020465,0.03987488607175408,,0.06839837600464,6.214267959234402e-05,0.06560195542298451,,0.005219985085756898,,0.00018642803877703205,0.012324964785814898,0.005675698069434088,0.008844974728643632,0.03167205236556467,0.003873560361256111,0.005447841577595492,0.0001035711326539067,0.0005592841163310962,0.025395641726737923,4.142845306156268e-05,0.008472118651089568,0.010149971000082856,0.004412130251056426,0.015597812577678349,0.00022785649183859475
