sample,Category,IGHJ1,IGHJ2,IGHJ2P,IGHJ3,IGHJ3P,IGHJ4,IGHJ5,IGHJ6
BW_13__IGH.csv,cancer,0.0382257980973428,0.0323037345258032,0.0021581864327768,0.1181477580759336,,0.5720402631260899,0.1193218114953642,0.1178024482466893
BW_12__IGH.csv,cancer,0.0235586240310077,0.0281613372093023,0.0012112403100775,0.1041969476744186,,0.5613796027131783,0.1282097868217054,0.1532824612403101
BW_11__IGH.csv,cancer,0.020671834625323,0.0417108663130694,0.0014279885760913,0.0948048415612675,,0.5289269685842514,0.1300285597715218,0.1824289405684754
BW_1__IGH.csv,cancer,0.0182534001431639,0.0206692913385826,0.0003579098067287,0.0738188976377952,,0.6182891911238368,0.1279527559055118,0.1406585540443808
BW_2__IGH.csv,cancer,0.0222163865546218,0.0445903361344537,0.0012342436974789,0.0970063025210084,,0.545640756302521,0.145719537815126,0.1435924369747899
BW_5__IGH.csv,cancer,0.0213579750903977,0.0183848935315387,0.0013820811570912,0.0718039373242266,,0.531860184813178,0.153539574126155,0.2016713539574126
BW_15__IGH.csv,cancer,0.0389477495631366,0.0268572598038444,0.0011019977645188,0.1074290392153776,,0.5819177909667669,0.120983611718959,0.1227625509673966
BW_8__IGH.csv,cancer,0.0094455852156057,0.0184804928131416,0.0004106776180698,0.0470225872689938,,0.4928131416837782,0.1449691991786447,0.2868583162217659
iRNormal_XH__IGH.csv,healthy,0.0184485062110918,0.0323488444810824,0.0006253730919014,0.1323801131356775,,0.5035390431791694,0.1424429347053639,0.1702151851957133
WDM__IGH.csv,healthy,0.0201058201058201,0.0300705467372134,0.000352733686067,0.1313051146384479,,0.5701058201058201,0.1158730158730158,0.1321869488536155
BF__IGH.csv,healthy,0.0082417582417582,0.0009157509157509,,0.1309523809523809,,0.5137362637362637,0.0769230769230769,0.2692307692307692
GH03_W_ZXM1225__IGH.csv,healthy,0.0155508340490936,0.0229193978572397,0.0004972650422675,0.0813254373672076,,0.5189186745626327,0.1498576013742597,0.2109307897472989
GH03_W_LXZ1225__IGH.csv,healthy,0.0171304056319141,0.0220583305397251,0.0004693261816962,0.0810928595373784,,0.5349983238350654,0.1598726114649681,0.1843781428092524
HL_W_LS0121__IGH.csv,healthy,0.0146450384185985,0.0209824653575884,0.0006238917711959,0.0851776449727457,6.567281802062127e-05,0.5427858409404348,0.135417350758521,0.2003020949628948
HL_W_XQF1225__IGH.csv,healthy,0.0165543219666931,0.0276566217287866,0.0004625958234205,0.0849524187153053,,0.5469534760771875,0.1481958762886598,0.1752246893999471
WJW__IGH.csv,healthy,0.0015174506828528,0.0106221547799696,,0.1077389984825493,,0.6130500758725341,0.0895295902883156,0.1775417298937784
LFJ__IGH.csv,healthy,0.0142729039007622,0.0254072634882678,0.0003736362277686,0.1277088626513226,,0.5789119713047377,0.1060379614407412,0.1472874009863996
