sample,Category,IGHV1-14,IGHV1-17,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-67,IGHV1-68,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1-8,IGHV2-10,IGHV2-26,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-19,IGHV3-20,IGHV3-21,IGHV3-22,IGHV3-23,IGHV3-25,IGHV3-30,IGHV3-33,IGHV3-35,IGHV3-37,IGHV3-38,IGHV3-41,IGHV3-42,IGHV3-43,IGHV3-47,IGHV3-48,IGHV3-49,IGHV3-50,IGHV3-52,IGHV3-53,IGHV3-54,IGHV3-57,IGHV3-6,IGHV3-60,IGHV3-62,IGHV3-64,IGHV3-65,IGHV3-66,IGHV3-7,IGHV3-71,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3-75,IGHV3-76,IGHV3-9,IGHV4-28,IGHV4-30-2,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-55,IGHV4-59,IGHV4-61,IGHV4-80,IGHV5-10-1,IGHV5-51,IGHV5-78,IGHV6-1,IGHV7-27,IGHV7-34-1,IGHV7-4-1,IGHV7-56,IGHV7-81
BW_13__IGH.csv,cancer,3.012388447490304e-05,0.0001958052490868,0.0636592988665888,0.0025228753247731,0.0049779719094777,0.0345596264638325,2.259291335617728e-05,0.0294611590164551,0.0009263094476032,1.506194223745152e-05,2.259291335617728e-05,0.0331287419512746,0.0035470873969198,0.0011673005234024,0.0198742327823172,1.506194223745152e-05,0.0035320254546823,0.029272884738487,0.006807997891328,0.0079677674436118,0.0035395564258011,0.0247994878939639,,3.012388447490304e-05,0.0009940881876718,0.0187973039123394,7.53097111872576e-06,0.0811913996309824,,0.0372029973265052,0.0269533456339194,,,0.0001882742779681,0.0001129645667808,,0.0035546183680385,7.53097111872576e-06,0.0078397409345935,0.005188839100802,,2.259291335617728e-05,0.0205896750385962,,,7.53097111872576e-06,7.53097111872576e-06,,0.0044432729600481,5.271679783108032e-05,0.0021915125955491,0.083179576006326,0.000436796324886,0.014278721241104,0.0116730052340249,0.0506759046579056,,,0.0292879466807244,0.0004292653537673,0.0024174417291109,0.0412546597883797,0.0348909891930564,0.0847836728546146,0.0021990435666679,8.284068230598336e-05,0.0686222088338291,0.0280152125616598,1.506194223745152e-05,,0.0214783296306058,,0.009142598938133,,7.53097111872576e-06,0.0375946078246789,,0.0001054335956621
BW_12__IGH.csv,cancer,0.000118976799524,0.0001869635421092,0.0386334664740375,0.069074530466559,0.0086853063652587,0.018594374097051,1.699668564629897e-05,0.0383615195036967,0.0020735956488484,1.699668564629897e-05,,0.0184584006118806,,0.0130024645194187,0.0312569049035438,3.399337129259794e-05,0.0032123735871505,0.0259029489249596,0.011370782697374,0.0177105464434435,0.0021925724483725,0.0280105379451007,,1.699668564629897e-05,0.0044701283249766,0.0216197841420922,1.699668564629897e-05,0.0768930058638565,,0.0603552307300076,0.0219767145406645,,,0.0006458740545593,8.498342823149486e-05,,0.0008328375966686,,0.0162828248491544,0.0030084133593949,,1.699668564629897e-05,0.0283504716580266,,,5.0990056938896914e-05,,1.699668564629897e-05,0.0001019801138777,,0.0012747514234724,0.0646553921985212,8.498342823149486e-05,0.0068156709441658,0.0072065947140307,0.0257329820684966,,,0.0341803348347072,0.0038072575847709,0.0075465284269567,0.0430186113707826,0.0273986572618339,0.0541344437834622,0.0313078949604827,0.0147361264553412,0.0383105294467578,0.0149230899974504,,,0.0288603722274156,,0.0117447097815925,,,0.0226055919095776,,
BW_11__IGH.csv,cancer,1.3833076268666007e-05,0.0002420788347016,0.0658731091913875,0.0466797158686134,0.0162953638444885,0.0165789419079962,4.149922880599802e-05,0.0468664623982404,0.0079747684688859,4.841576694033102e-05,0.0001037480720149,0.0022340418173895,6.916538134333004e-06,0.0443557590554775,0.0043435859483611,,0.0027389491011958,0.02068736555979,0.0252107814996437,0.0092128287949315,0.0019504637538819,0.0158734550182942,,9.683153388066205e-05,0.0037349305925398,0.0227623270000899,,0.0986505834099916,,0.0595721429510101,0.0114676202267241,2.074961440299901e-05,,0.0013072257073889,6.916538134333003e-05,,0.0009060664955976,,0.0098284006888871,0.0041845055712714,,4.841576694033102e-05,0.0220291739578506,,,6.916538134333004e-06,4.149922880599802e-05,6.224884320899703e-05,0.0085419245959012,,0.0006155718939556,0.0173743437934445,0.0002213292202986,0.0056992274226903,0.0034098533002261,0.019483887924416,6.916538134333004e-06,,0.0252661138047184,0.005526313969332,0.0206804490216556,0.0376398005270402,0.033192466506664,0.0521991132998111,0.0382415393447271,6.224884320899703e-05,0.0468941285507777,0.0335106272608434,4.149922880599802e-05,0.0189720641024754,0.0399360911876387,2.074961440299901e-05,0.012442852103665,,,0.0178861676153851,6.916538134333004e-06,6.916538134333004e-06
BW_1__IGH.csv,cancer,0.0001474056603773,0.0003685141509433,0.0588885613207547,0.0087706367924528,0.0106132075471698,0.0760613207547169,0.0008107311320754,0.0417895047169811,0.0050854952830188,,,0.0215212264150943,,0.0383991745283018,0.0455483490566037,0.0001474056603773,0.0099498820754716,0.0347877358490566,0.0171727594339622,0.0120872641509433,0.0032429245283018,0.0254274764150943,7.370283018867924e-05,0.000221108490566,0.002063679245283,0.0211527122641509,7.370283018867924e-05,0.0585200471698113,,0.0365566037735849,0.0202682783018867,7.370283018867924e-05,,0.000221108490566,7.370283018867924e-05,,0.0030955188679245,7.370283018867924e-05,0.0125294811320754,0.0089917452830188,,,0.025501179245283,,,,,,0.0013266509433962,,,0.0207104952830188,,0.0013266509433962,0.0022110849056603,0.0201208726415094,,,0.0276385613207547,0.0044221698113207,0.000221108490566,0.0438531839622641,0.0293337264150943,0.0836527122641509,0.000221108490566,0.0114976415094339,0.0532134433962264,0.008254716981132,,,0.0622788915094339,,0.0089917452830188,,,0.0204156839622641,,
BW_2__IGH.csv,cancer,1.3661575452881229e-05,0.0001502773299816,0.0503292439684144,0.037487363042706,0.0055875843602284,0.0236072023825787,0.0002322467826989,0.0558485204513784,0.0024864067324243,,,0.0404655864914341,0.005628569086587,0.0015437580261755,0.0199868848875652,6.830787726440613e-05,0.0016393890543457,0.0857946938440941,0.0036203174950135,0.005396322303888,0.0028279461187464,0.0195633760485259,2.732315090576245e-05,4.098472635864368e-05,0.0044673351730921,0.021394027159212,,0.0393043525779392,,0.04542473838083,0.016667122052515,2.732315090576245e-05,,0.0006147708953796,4.098472635864368e-05,,0.0029372387223694,,0.0075275280745375,0.0028416076941992,,5.464630181152491e-05,0.0174321702778764,,,,1.3661575452881229e-05,,0.0045083198994508,2.732315090576245e-05,0.0033470859859559,0.0074182354709145,0.000109292603623,0.0026230224869531,0.0018716358370447,0.0130331429820486,,,0.0180742643241618,0.0015984043279871,0.0055602612093226,0.1240471051121615,0.0187300199459001,0.0456706467389819,0.0147408399136588,0.0003142162354162,0.1321894040820787,0.0190169130304106,0.000218585207246,,0.034153938632203,,0.0154922265635673,,,0.0161479821853056,1.3661575452881229e-05,
BW_5__IGH.csv,cancer,6.682258603407952e-05,0.0001169395255596,0.058870698296024,0.061409956565319,0.0025141997995322,0.0001503508185766,0.0001837621115937,0.0503007016371533,0.0024473772134981,8.35282325425994e-06,,0.0372619445372535,,0.0168142332108252,0.0278149014366856,0.0002171734046107,0.005304042766455,0.0897260273972602,0.0106582024724356,0.0120698296024056,0.0007768125626461,0.0091463414634146,,8.35282325425994e-06,0.0041680588038757,0.0118526561977948,2.505846976277982e-05,0.0535833611760775,8.35282325425994e-06,0.035349148012028,8.35282325425994e-06,,,0.0001169395255596,1.670564650851988e-05,,0.0052539258269295,,0.010090210491146,0.0027146675576344,,1.670564650851988e-05,0.0072836618777146,,,1.670564650851988e-05,,,0.0019211493484797,1.670564650851988e-05,0.0025309054460407,0.010992315402606,,0.0009104577347143,0.0028566655529568,0.0066906114266622,,,0.0382475776812562,0.0003424657534246,,,0.0413548279318409,0.107584363514868,0.0586702305379218,1.670564650851988e-05,0.0872368860674908,0.0130136986301369,7.517540928833946e-05,8.35282325425994e-06,0.0838122285332442,,0.0051035750083528,,,0.0222435683260942,,
BW_15__IGH.csv,cancer,1.9426528867821895e-05,0.000213691817546,0.0728689097831999,0.0011655917320693,0.0058765249825161,0.0269737353329707,0.0003302509907529,0.0303636646204056,0.0022631906131012,9.713264433910947e-06,,0.0228455979485585,0.0051577434144067,0.0008936203279198,0.0143076385111508,4.856632216955474e-05,0.003487061931774,0.0404848861605408,0.0051674566788406,0.0104126194731525,0.003049965032248,0.033918719403217,3.88530577356438e-05,0.0001165591732069,0.0011655917320693,0.0205726940710233,9.713264433910947e-06,0.0669438184785142,,0.0630196596472142,0.0250505089750563,6.799285103737665e-05,,0.0006702152459398,3.88530577356438e-05,,0.0053811484963866,9.713264433910947e-06,0.0125592509130468,0.005993084155723,,9.713264433910947e-06,0.0201938767581008,,,3.88530577356438e-05,3.88530577356438e-05,9.713264433910947e-06,0.0043903955241277,8.741937990519854e-05,0.003807599658093,0.0420778615277022,0.0009033335923537,0.0027391405703628,0.006643872872795,0.0339575724609526,,,0.0357156733234905,0.0024963089595151,0.0041767037065817,0.0505284015852047,0.0226124796021446,0.0672546429403994,0.0009421866500893,0.0001165591732069,0.0895271582873572,0.0304413707358769,,9.713264433910947e-06,0.0275565311990053,,0.0131323335146476,9.713264433910947e-06,,0.0590372212293107,,4.856632216955474e-05
BW_8__IGH.csv,cancer,,7.190623427051126e-05,0.0352340547925505,0.0030919680736319,0.0017976558567627,0.0332206802329761,,0.0444380527791759,0.0007909685769756,,,0.0056086862730998,,0.0785216078233982,0.0030919680736319,,0.0033076867764435,0.0399798662544042,0.0140936219170202,0.0096354353922485,0.0028762493708204,0.0128712159344215,,0.000143812468541,0.000143812468541,0.0176889336305457,,0.0665851729344934,,0.0268210253829007,0.0127274034658804,,,0.0022290932623858,7.190623427051126e-05,,0.0472423959157258,,0.0087725605810023,0.0201337455957431,,,0.0324297116560005,,,,,,0.0086287481124613,7.190623427051126e-05,0.0041705615876896,0.0144531530883727,0.000143812468541,0.0018695620910332,0.0031638743079024,0.0397641475515927,,,0.013374559574315,0.003667217947796,0.0006471561084346,0.0214280578126123,0.0209966204069892,0.0587473933990077,0.000575249874164,0.0137340907456676,0.089451355432516,0.0358812109009851,7.190623427051126e-05,0.0529229884230962,0.0705400158193715,,0.0087006543467318,,,0.013374559574315,,
iRNormal_XH__IGH.csv,healthy,7.721212745148504e-05,0.0005919596437947,0.0700056622226797,0.04887527667679,0.003345858856231,0.024682143408658,0.0005662222679775,0.0632367323827662,0.0045297781438204,0.0003860606372574,0.0001801616307201,0.0463787512225253,0.0060740206928501,0.02548000205899,0.0003603232614402,,0.0028311113398877,0.0160343851340917,0.003834868996757,0.0168065064086065,0.0078756370000514,0.0297266690688217,,,0.0103206877026818,0.0259947495753333,5.147475163432337e-05,0.0940186338600916,,0.0779070365985484,0.006537293457559,5.147475163432337e-05,,0.0001286868790858,5.147475163432337e-05,,0.0056879600555927,0.0002573737581716,0.0182477994543676,0.0050445256601636,7.721212745148504e-05,5.147475163432337e-05,0.0154939002419313,,5.147475163432337e-05,,0.0001544242549029,,0.0110413342255623,5.147475163432337e-05,0.0116075564935399,0.0180933751994646,0.0002831111339887,0.0035002831111339,0.003037010346425,0.0126627889020435,,2.5737375817161683e-05,5.147475163432337e-05,0.0032171719771452,0.0031399598496937,0.0131260616667524,0.0287229114119524,0.081664693467854,0.0136665465589128,0.0008235960261491,0.0796314407782982,0.0001544242549029,2.5737375817161683e-05,0.0186081227158078,0.0462500643434395,2.5737375817161683e-05,0.0162145467648118,,,0.0023421011993617,,2.5737375817161683e-05
WDM__IGH.csv,healthy,,0.0002633311389071,0.0791310072416063,0.0068466096115865,0.0100724160631994,0.0576695194206714,0.0014483212639894,0.036405529953917,0.0044107965766951,,6.583278472679394e-05,0.0206056616194865,,0.0304147465437788,0.0251481237656352,6.583278472679394e-05,0.0034233048057932,0.0187623436471362,0.0220539828834759,0.0120473996050032,0.0040816326530612,0.025213956550362,,6.583278472679394e-05,0.0026333113890717,0.0182356813693219,6.583278472679394e-05,0.0369321922317314,,0.0231073074391046,0.0192890059249506,,,0.0005924950625411,0.0001974983541803,,0.0011191573403554,,0.0123765635286372,0.0033574720210664,,6.583278472679394e-05,0.0202106649111257,,,6.583278472679394e-05,,,0.0067149440421329,6.583278472679394e-05,0.0001316655694535,0.0154048716260697,6.583278472679394e-05,0.0023041474654377,0.0021066491112574,0.0129032258064516,,,0.0159973666886109,0.0009216589861751,6.583278472679394e-05,0.027781435154707,0.0173140223831468,0.1805793285055958,0.0017116524028966,0.0003949967083607,0.0842659644502962,0.0068466096115865,,0.0216589861751152,0.0352205398288347,,0.0154707044107965,,,0.055562870309414,,6.583278472679394e-05
