,TRAJ1,TRAJ10,TRAJ11,TRAJ12,TRAJ13,TRAJ14,TRAJ15,TRAJ16,TRAJ17,TRAJ18,TRAJ19,TRAJ2,TRAJ20,TRAJ21,TRAJ22,TRAJ23,TRAJ24,TRAJ25,TRAJ26,TRAJ27,TRAJ28,TRAJ29,TRAJ3,TRAJ30,TRAJ31,TRAJ32,TRAJ33,TRAJ34,TRAJ35,TRAJ36,TRAJ37,TRAJ38,TRAJ39,TRAJ4,TRAJ40,TRAJ41,TRAJ42,TRAJ43,TRAJ44,TRAJ45,TRAJ46,TRAJ47,TRAJ48,TRAJ49,TRAJ5,TRAJ50,TRAJ51,TRAJ52,TRAJ53,TRAJ54,TRAJ56,TRAJ57,TRAJ58,TRAJ59,TRAJ6,TRAJ60,TRAJ61,TRAJ7,TRAJ8,TRAJ9
BW_15__TRA.csv,,0.019355466217092464,0.012514589547399818,0.008980676954999352,0.02055505122552198,,0.019128517701984177,0.01324406691739074,0.01587018544935806,0.006014135650369602,,,0.024753598755025287,0.0132116457009467,0.02553170794968227,0.030848787446504992,0.005527817403708987,9.726364933212294e-05,0.015448709635585527,0.01483270652314875,0.020911684606406432,0.02144663467773311,0.03997535987550253,0.018593567630657504,0.003339385293736221,0.01293606536117235,0.028319932563869797,0.02284074698482687,0.006403190247698093,0.011687848528076774,0.024623913889249123,0.00726235248346518,0.023375697056153548,0.015416288419141486,0.03768966411619764,0.013163013876280638,0.03713850343664894,0.026536765659447542,0.016032291531578265,0.026666450525223706,0.0006160031124367786,0.012303851640513551,0.03020036311762417,0.03598755025288549,0.04637855012320062,0.005722344702373233,,0.03806250810530411,0.022727272727272728,0.018658410063545586,0.008202567760342368,0.010439631694981195,0.010407210478537154,,0.03636039424199196,,9.726364933212294e-05,0.007132667617689016,0.01616197639735443,0.040267150823498896
LFJ__TRA.csv,,0.01906435463015152,0.010941281787739133,0.010211863001889858,0.02347402274460396,3.3155399356785255e-05,0.019594841019860084,0.009615065813467723,0.009101157123437552,0.0073107655581711485,,,0.037382712774775374,0.019163820828221875,0.025960677696362854,0.024004509134312523,0.006216637379397235,8.288849839196313e-05,0.017439740061669044,0.01994297271310633,0.018964888432081165,0.020490036802493287,0.01765525015748815,0.02304300255296575,0.002917675143397102,0.014356287921488015,0.04205762408408209,0.027916846258413182,0.007758363449487749,0.018649912138191706,0.029756970922714763,0.0092172010211863,0.02425317462948841,0.012914028049467856,0.027485826066774976,0.0077915188488445345,0.03544312191240343,0.023838732137528598,0.022330161466794868,0.0220317628725838,0.0008123072842412387,0.015815125493186564,0.0353105003149763,0.03691853718378038,0.015947747090613706,0.00991346440767879,,0.037581645170916084,0.0373164019760618,0.021551009581910415,0.015583037697689069,0.013991578528563376,0.015699081595437817,,0.02335797884685521,6.631079871357051e-05,6.631079871357051e-05,0.008951957826332018,0.01614667948675442,0.026557474884784986
iRNormal_JH__TRA.csv,,0.025846371102605077,0.014623360214054778,0.014762718792968895,0.02048571110037534,9.290571927607864e-06,0.016723029469694155,0.011641086625292653,0.015505964547177524,0.007590397264855625,9.290571927607864e-06,,0.03212679772566799,0.01309041584599948,0.017549890371251254,0.015626741982236427,0.005100523988256717,7.432457542086291e-05,0.01917574045858263,0.02309636181203315,0.03215466944145082,0.021554126872050244,0.014688394217548032,0.02082946226169683,0.0019417295328700436,0.015245828533204504,0.0370972537069382,0.023226429819019657,0.005472146865361032,0.016119142294399643,0.06166152588353339,0.009513545653870453,0.021238247426511574,0.010442602846631238,0.02796462150209967,0.010554089709762533,0.03424504812516258,0.01774499238173102,0.018432494704374,0.03170872198892564,0.0006596306068601583,0.007859823850756252,0.025688431379835744,0.04083206362183656,0.024768664759002565,0.006317588910773347,,0.02696123973391802,0.02973912074027277,0.019361551897134788,0.010052398825671709,0.05013192612137203,0.012040581218179792,9.290571927607864e-06,0.022473893492883423,9.290571927607864e-06,6.503400349325504e-05,0.008686684752313352,0.014344643056226541,0.015125051098145601
iRNormal_KW_R__TRA.csv,,0.02115987460815047,0.012800417972831766,0.014106583072100314,0.026972309299895508,9.796238244514106e-05,0.017502612330198536,0.010873824451410658,0.01221264367816092,0.008359456635318705,,,0.036246081504702196,0.01877612330198537,0.019527168234064786,0.015608672936259144,0.004310344827586207,3.265412748171369e-05,0.01665360501567398,0.020408829676071057,0.01743730407523511,0.021453761755485894,0.019102664576802507,0.027560083594566354,0.00212251828631139,0.018351619644723094,0.04708725182863114,0.03062957157784744,0.006530825496342737,0.01733934169278997,0.0352991118077325,0.009175809822361547,0.02462121212121212,0.01009012539184953,0.0288662486938349,0.007085945663531871,0.04346264367816092,0.021714994775339603,0.022433385579937303,0.02240073145245559,0.0007510449320794148,0.008816614420062695,0.036507314524555905,0.02929075235109718,0.01309430512016719,0.010775862068965518,,0.03915229885057471,0.04143808777429467,0.010906478578892372,0.013584117032392894,0.014759665621734587,0.0140739289446186,,0.023086468129571578,,0.00013061650992685477,0.013518808777429467,0.016784221525600836,0.024915099268547545
iRNormal_XH__TRA.csv,,0.019169946405507926,0.01799025739593821,0.01188841769126725,0.02443786801720719,1.0169732841118263e-05,0.01910892800846122,0.009030722762913019,0.01597665029339679,0.00850189665517487,,1.0169732841118263e-05,0.026858264433393335,0.017898729800368145,0.022647995037170375,0.020237768353825344,0.004881471763736767,6.101839704670958e-05,0.020898800988498032,0.025637896492459143,0.026451475119748605,0.02127508110361941,0.02356327099287102,0.027620994396477205,0.0036712735556436935,0.015122392734742859,0.016668192126592835,0.02746844840386043,0.0061831975673999045,0.011796890095697185,0.029736298827429803,0.00889851623597848,0.02766167332784168,0.012783354181285657,0.026034516073262754,0.009407002878034395,0.0383093836124925,0.030214276270962362,0.021325929767825,0.023614119657076608,0.0010169732841118263,0.011735871698650476,0.0237768353825345,0.03544151895129715,0.013546084144369527,0.006864569667754828,,0.031027854898251824,0.032939764672382056,0.016790228920686254,0.011857908492743896,0.012173170210818561,0.015732576705209955,,0.048174024468377215,3.050919852335479e-05,0.0001118670612523009,0.008918855701660717,0.03131260741780313,0.025495520232683488
HL_W_LS0121__TRA.csv,1.7630776283079744e-05,0.028508965249739945,0.014122251802746875,0.007087572065798057,0.025106225427105555,3.526155256615949e-05,0.030624658403709516,0.013311236093725207,0.017048960665738112,0.00892117279923835,,,0.035455491105273365,0.01837126888696909,0.025423579400200992,0.018336007334402934,0.005871048502265555,8.815388141539872e-05,0.01717237609971967,0.017859976374759782,0.01863573053121529,0.024506779033480842,0.01854757664979989,0.026463795200902696,0.0033851090463513107,0.012835205134082053,0.02477124067772704,0.030430719864595637,0.008304095629330559,0.01734868386255047,0.033269274846171475,0.011054496729491,0.033516105714134596,0.011407112255152594,0.027733211093284436,0.010014280928789294,0.03714804562844902,0.019005976833159965,0.022867116839154426,0.02401311729755461,0.0008462772615878277,0.013399389975140605,0.034221336765457785,0.02879105767026922,0.01916465381970768,0.007263879828628855,,0.032775613110245246,0.029372873287610853,0.018336007334402934,0.010472681112149367,0.01577954477335637,0.013399389975140605,,0.02491228688799168,3.526155256615949e-05,7.052310513231898e-05,0.007951480103668964,0.018441791992101414,0.026146441227807262
BW_CT0806__TRA.csv,,0.029193899782135078,0.014462879168761522,0.011949053125523714,0.023713759007876655,,0.02931121166415284,0.012937824702530585,0.020529579353108764,0.01028992793698676,,,0.03335009217362159,0.016842634489693312,0.02091503267973856,0.026730350259762024,0.010474275180157533,5.0276520864756156e-05,0.02042902631137925,0.01974191385956092,0.01804927099044746,0.022724987430869783,0.018501759678230267,0.021199932964638846,0.004273504273504274,0.015032679738562092,0.027199597787833082,0.026495726495726495,0.009116809116809116,0.01613876319758673,0.031104407574995812,0.009904474610356963,0.03294788000670354,0.023395341042399865,0.028339198927434223,0.009100050276520865,0.03202614379084967,0.02178649237472767,0.01925590749120161,0.026646556058320763,0.000938495056142115,0.013340036869448634,0.024937154348919056,0.03658454834925423,0.022741746271158037,0.006770571476453829,,0.02646220881514999,0.022674710910005027,0.019389978213507627,0.009167085637673872,0.013876319758672699,0.011412770236299647,,0.024350594938830232,1.6758840288252053e-05,8.379420144126027e-05,0.008999497234791352,0.019373219373219373,0.024719289425171778
DDY__TRA.csv,,0.01779112754158965,0.027264325323475048,0.005083179297597043,0.025878003696857672,,0.021487985212569317,0.012707948243992606,0.016404805914972273,0.0073937153419593345,,,0.03650646950092421,0.022874306839186693,0.02310536044362292,0.027495378927911276,0.004158964879852125,,0.012245841035120148,0.012939001848428836,0.015249537892791128,0.031423290203327174,0.014787430683918669,0.016173752310536044,0.0011552680221811461,0.01155268022181146,0.04390018484288355,0.032809611829944546,0.0013863216266173752,0.010859519408502773,0.03535120147874307,0.0073937153419593345,0.021025878003696857,0.010859519408502773,0.03373382624768946,0.015480591497227357,0.048983364140480594,0.02310536044362292,0.021256931608133085,0.024491682070240297,0.0009242144177449168,0.00878003696857671,0.03766173752310536,0.031423290203327174,0.013170055452865065,0.011090573012939002,,0.02841959334565619,0.039510166358595195,0.020101663585951942,0.010166358595194085,0.018253234750462106,0.018253234750462106,,0.021487985212569317,,,0.01155268022181146,0.009704251386321626,0.025184842883548983
GH03_HJ625__TRA.csv,,0.024857839155158407,0.015759545085296506,0.005578120769022475,0.024424587056593554,,0.02074194421879231,0.009964798266991606,0.013105875981586785,0.005144868670457623,,0.0001083130246412131,0.03693474140265367,0.019875440021662603,0.024316274031952342,0.012564310858380721,0.002653669103709721,0.00016246953696181965,0.01397238017871649,0.015001353912808015,0.031085838072028162,0.01949634443541836,0.016084484159220147,0.02529109125372326,0.0023828865421066884,0.013105875981586785,0.04646628757108042,0.029027890603845113,0.005253181695098835,0.019712970484700786,0.056214459788789604,0.011589493636609802,0.016517736257785,0.004657460059572164,0.02388302193338749,0.00785269428648795,0.04354183590576767,0.020200379095586245,0.02323314378554021,0.018792309775250475,0.0003790955862442459,0.006065529379907934,0.04099647982669916,0.031789872732196044,0.02247495261305172,0.005199025182778229,,0.03184402924451665,0.0413214189006228,0.021933387489845652,0.015326292986731655,0.025995125913891144,0.01494719740048741,,0.021770917952883835,,0.00016246953696181965,0.006877877064717032,0.016246953696181964,0.01711345789331167
GH03_W_HNY1228__TRA.csv,,0.030107526881720432,0.016514203177660086,0.010704541807093565,0.03248274755255978,,0.023046060022468305,0.015101909805809662,0.017204301075268817,0.008874979939014604,,,0.04052319049911732,0.019098058096613704,0.025341036751725245,0.01500561707591077,0.004606002246830364,3.209757663296421e-05,0.016257422564596374,0.019547424169475205,0.01661049590755898,0.024506499759268174,0.031824747231584016,0.02842240410848981,0.002696196437168994,0.012197079120526401,0.039929385331407476,0.024362060664419836,0.007623174450329001,0.015422885572139304,0.03278767453057294,0.010768736960359493,0.02416947520462205,0.01691542288557214,0.026015085861017494,0.008297223559621248,0.0339913336543091,0.02416947520462205,0.018937570213448884,0.016674691060824906,0.0007061466859252126,0.00929224843524314,0.02566201251805489,0.02445835339431873,0.020253570855400416,0.006275076231744503,,0.018648692023752206,0.0300433317284545,0.016931471673888622,0.011169956668271546,0.011844005777563794,0.01142673728133526,,0.03220991815117959,6.419515326592842e-05,8.024394158241052e-05,0.007045418070935644,0.02415342641630557,0.03896645803241855
