,TRAV14DV4,TRAV23DV6,TRAV29DV5,TRAV36DV7,TRAV38-2DV8,TRDV1,TRDV2,TRDV3
iRNormal_097__TRD.csv,0.0004203446826397646,0.0004203446826397646,0.010508617065994116,0.0004203446826397646,0.0016813787305590584,0.9092055485498108,0.06347204707860446,0.013871374527112233
iRNormal_JH__TRD.csv,0.001951219512195122,0.002926829268292683,0.03414634146341464,0.000975609756097561,0.00975609756097561,0.23609756097560974,0.6946341463414634,0.01951219512195122
iRNormal_KW_R__TRD.csv,0.001841620626151013,0.0027624309392265192,0.011970534069981584,0.0009208103130755065,0.011049723756906077,0.36187845303867405,0.2826887661141805,0.3268876611418048
iRNormal_XH__TRD.csv,0.00036258158085569254,0.0010877447425670776,0.008339376359680928,0.00036258158085569254,0.0038071065989847717,0.15899202320522118,0.08846990572878898,0.7385786802030457
HL_W_LS0121__TRD.csv,0.0018050541516245488,0.0018050541516245488,0.018050541516245487,0.004512635379061372,0.018050541516245487,0.16696750902527077,0.648014440433213,0.1407942238267148
BW_CT0530__TRD.csv,,,0.007320644216691069,0.01171303074670571,0.01171303074670571,0.2020497803806735,0.6588579795021962,0.10834553440702782
BW_CT0806__TRD.csv,0.0023584905660377358,0.0023584905660377358,0.014150943396226415,0.00589622641509434,0.030660377358490566,0.16627358490566038,0.6191037735849056,0.15919811320754718
DDY__TRD.csv,,,0.02702702702702703,,,0.2,0.6864864864864865,0.08648648648648649
GH03_HJ625__TRD.csv,,,0.050724637681159424,,,0.358695652173913,0.572463768115942,0.018115942028985508
GH03_W_HNY1228__TRD.csv,,0.0023446658851113715,0.012895662368112544,0.0011723329425556857,0.012895662368112544,0.5556858147713951,0.35873388042203985,0.05627198124267292
GH03_W_LXZ1225__TRD.csv,,0.004911591355599214,0.010805500982318271,0.0009823182711198428,0.0137524557956778,0.41355599214145383,0.5049115913555993,0.05108055009823183
GH03_W_ZXM1225__TRD.csv,0.004222972972972973,0.003800675675675676,0.015625,0.0021114864864864866,0.011824324324324325,0.30278716216216217,0.6106418918918919,0.048986486486486486
BW_17__TRD.csv,,0.0007911392405063291,0.00949367088607595,0.0011867088607594937,0.020174050632911392,0.37776898734177217,0.5680379746835443,0.02254746835443038
BW_1__TRD.csv,0.00044543429844097997,0.00044543429844097997,0.004454342984409799,0.0008908685968819599,0.0031180400890868597,0.07171492204899778,0.3648106904231626,0.5541202672605791
BW_2__TRD.csv,,0.0028208744710860366,0.005641748942172073,,0.004231311706629055,0.8251057827926658,0.12834978843441466,0.03385049365303244
BW_4__TRD.csv,0.0045871559633027525,0.0034403669724770644,0.01834862385321101,,0.02408256880733945,0.4518348623853211,0.3394495412844037,0.15825688073394495
BW_8__TRD.csv,0.00423728813559322,,0.012711864406779662,,0.00847457627118644,0.8389830508474576,0.13559322033898305,
BW_9__TRD.csv,,,0.02631578947368421,0.003289473684210526,0.013157894736842105,0.506578947368421,0.32894736842105265,0.12171052631578948
BW_5__TRD.csv,0.011065006915629323,,0.029045643153526972,0.008298755186721992,0.008298755186721992,0.65283540802213,0.2572614107883817,0.03319502074688797
BW_6__TRD.csv,0.001851851851851852,,0.011111111111111112,0.007407407407407408,0.011111111111111112,0.5185185185185185,0.3537037037037037,0.0962962962962963
BW_7__TRD.csv,0.003067484662576687,,0.002044989775051125,,0.006134969325153374,0.26993865030674846,0.4948875255623722,0.22392638036809817
BW_16__TRD.csv,0.001094776352830779,0.0006255864873318737,0.005161088520487958,0.0017203628401626526,0.0118861432593056,0.480137629027213,0.33781670315921175,0.16155771035345637
BW_11__TRD.csv,0.0015037593984962407,0.0005012531328320802,0.016040100250626566,0.0015037593984962407,0.006516290726817042,0.5448621553884712,0.24611528822055137,0.18295739348370926
BW_12__TRD.csv,0.008519701810436636,0.006389776357827476,0.013844515441959531,0.006389776357827476,0.013844515441959531,0.5026624068157615,0.19169329073482427,0.2566560170394036
BW_13__TRD.csv,0.0018885741265344666,0.0009442870632672333,0.03210576015108593,0.0009442870632672333,0.0066100094428706326,0.8526912181303116,0.0906515580736544,0.014164305949008499
BW_14__TRD.csv,,,0.02564102564102564,,0.008547008547008548,0.7094017094017094,0.1623931623931624,0.09401709401709402
BW_15__TRD.csv,0.0005649717514124294,,0.046045197740112995,,0.003389830508474576,0.8706214689265537,0.0655367231638418,0.01384180790960452
BF__TRD.csv,0.004658385093167702,,0.021739130434782608,0.004658385093167702,0.015527950310559006,0.5372670807453416,0.3695652173913043,0.046583850931677016
BW_10__TRD.csv,0.0042158516020236085,0.0016863406408094434,0.0193929173693086,0.0008431703204047217,0.007588532883642495,0.6197301854974705,0.21500843170320405,0.1315345699831366
iRNormal_088_R__TRD.csv,0.002938295788442703,0.005876591576885406,0.02056807051909892,,0.2605288932419197,0.3731635651322233,0.2546523016650343,0.08227228207639568
LFJ__TRD.csv,0.0022068095838587644,0.0031525851197982345,0.011034047919293822,0.0028373266078184113,0.006620428751576293,0.6976670870113493,0.23833543505674654,0.03814627994955864
SS03F_W_1_HJ__TRD.csv,0.00816326530612245,0.0020408163265306124,0.024489795918367346,,0.004081632653061225,0.3469387755102041,0.5836734693877551,0.030612244897959183
WDM__TRD.csv,0.0024174053182917004,0.0032232070910556,0.008863819500402902,0.0016116035455278,0.004834810636583401,0.46817082997582593,0.43432715551974216,0.07655116841257051
WGF__TRD.csv,0.00881445570736007,0.004847950639048039,0.015425297487880123,0.0017628911414720142,0.006610841780520053,0.27677390921110623,0.629792860290877,0.05597179374173645
WJW__TRD.csv,0.0007867820613690008,0.004720692368214005,0.1038552321007081,0.003147128245476003,,0.10700236034618411,0.3013375295043273,0.47915027537372146
