,TRGV1,TRGV10,TRGV2,TRGV3,TRGV4,TRGV5,TRGV5P,TRGV6,TRGV7,TRGV8,TRGV9
iRNormal_097__TRG.csv,0.0002257591150242691,,0.40196410430071117,0.21943785980358957,0.1362456259171464,0.07811265379839712,0.008014448583361554,,0.02528502088271814,0.02855852805057004,0.10215599954848177
iRNormal_JH__TRG.csv,0.0006087044739778837,0.00020290149132596124,0.16516181393933246,0.07121842345541239,0.2850765953129756,0.10601602921781475,0.0017246626762706706,0.00020290149132596124,0.007101552196408643,0.03966724155422542,0.3230191741909303
iRNormal_KW_R__TRG.csv,,0.0008285004142502071,0.1435376967688484,0.10252692626346313,0.12696768848384424,0.026304888152444077,0.0012427506213753107,,0.01512013256006628,0.04763877381938691,0.5358326429163215
iRNormal_XH__TRG.csv,0.0004267121826328142,0.0003200341369746106,0.5181886067847237,0.052272242372519734,0.26770855557926176,0.0541924471943674,0.00048005120546191593,0.0001600170684873053,0.007094090036270535,0.039044164710902496,0.0601130787283977
HL_W_LS0121__TRG.csv,0.005780346820809248,,0.29060693641618496,0.10838150289017341,0.22760115606936415,0.04552023121387283,0.002890173410404624,,0.03410404624277456,0.06083815028901734,0.22427745664739884
GH03_W_ZXM1225__TRG.csv,0.0003687859566307715,,0.22886856468505679,0.1313615577518808,0.23204012391208143,0.045508187048237204,0.0003687859566307715,,0.02847027585189556,0.041377784333972566,0.2916359345036141
BW_CT0530__TRG.csv,0.003932119205298013,,0.24399834437086093,0.11692880794701986,0.2361341059602649,0.05608443708609272,0.003104304635761589,,0.03187086092715232,0.07698675496688742,0.23096026490066227
BW_CT0806__TRG.csv,0.004616619831393015,,0.2155760738659173,0.1262545162585307,0.21617824167001204,0.061220393416298674,0.0018065034122842231,,0.03633079084704938,0.08972300281011641,0.24829385788839822
DDY__TRG.csv,,,0.2757201646090535,0.13168724279835392,0.0823045267489712,0.03017832647462277,,,0.009602194787379973,0.07956104252400549,0.39094650205761317
GH03_HJ625__TRG.csv,,,0.15220125786163521,0.09056603773584905,0.27672955974842767,0.0859538784067086,0.0012578616352201257,,0.014255765199161425,0.0389937106918239,0.340041928721174
GH03_W_HNY1228__TRG.csv,0.000244081034903588,,0.13082743470832317,0.16109348303636808,0.14132291920917744,0.07932633634366609,0.001708567244325116,,0.07468879668049792,0.09567976568220649,0.3151086160605321
GH03_W_LXZ1225__TRG.csv,0.00015644555694618273,,0.19540050062578224,0.09167709637046308,0.2745619524405507,0.0642991239048811,0.0015644555694618273,,0.025657071339173967,0.05115769712140175,0.29552565707133915
BW_17__TRG.csv,,,0.27641963426371513,0.09547641963426372,0.12974013474494706,0.05736284889316651,0.00019249278152069297,,0.027333974975938403,0.08315688161693936,0.33031761308950913
BW_1__TRG.csv,,,0.13477839670622427,0.15161055945749577,0.2643497214821991,0.1210946960523129,0.0009687575684185032,,0.02700411721966578,0.05085977234197142,0.24933397917171227
BW_2__TRG.csv,0.0007342143906020558,,0.21169848262359275,0.13925599608418993,0.3619676945668135,0.038913362701908955,0.0002447381302006853,,0.027165932452276064,0.13044542339696524,0.08957415565345081
BW_4__TRG.csv,0.00017105713308244953,,0.23845364351693465,0.08809442353746151,0.25538829969209714,0.11392405063291139,0.00034211426616489907,,0.03934314060896339,0.10691070817653096,0.15737256243585357
BW_16__TRG.csv,,,0.2974945054945055,0.08958241758241758,0.1512967032967033,0.03542857142857143,0.0002637362637362637,,0.0494065934065934,0.09494505494505495,0.2815824175824176
BW_8__TRG.csv,0.0005995203836930455,,0.22482014388489208,0.16606714628297362,0.1498800959232614,0.07853717026378897,,,0.03297362110311751,0.145083932853717,0.20203836930455635
BW_9__TRG.csv,,,0.328393135725429,0.09204368174726989,0.15600624024961,0.07332293291731669,0.0015600624024961,,0.0873634945397816,0.07644305772230889,0.18486739469578783
BW_5__TRG.csv,0.00016414970453053183,,0.2944845699277741,0.052199606040709126,0.17695338148391332,0.15036112934996718,0.001149047931713723,,0.07288246881155613,0.08782009192383454,0.1639855548260013
BW_6__TRG.csv,,,0.30244870946393115,0.09199205823957644,0.15221707478491064,0.07743216412971542,,,0.09662475181998677,0.08603573792190602,0.19324950363997354
BW_7__TRG.csv,,,0.2086021505376344,0.09247311827956989,0.16559139784946236,0.01863799283154122,,,0.022222222222222223,0.03870967741935484,0.45376344086021503
BW_10__TRG.csv,,,0.2699671243473216,0.09824018565074454,0.1419454650937923,0.08392960742602978,0.00019338619222587506,,0.08431637981048153,0.1342100174047573,0.18719783407464707
BW_11__TRG.csv,0.000757002271006813,,0.24198839263184457,0.13676507696189755,0.054756497602826144,0.04920514761544285,0.00025233409033560434,,0.01564471360080747,0.080999242997729,0.41963159222811003
BW_12__TRG.csv,,,0.26489721571688785,0.07546187874056727,0.3200624512099922,0.03538901899557637,0.00026021337496747333,,0.060109289617486336,0.10330470986208691,0.1405152224824356
