,TRAV14DV4;TRDJ1,TRAV14DV4;TRDJ2,TRAV14DV4;TRDJ3,TRAV23DV6;TRDJ1,TRAV23DV6;TRDJ2,TRAV23DV6;TRDJ3,TRAV23DV6;TRDJ4,TRAV29DV5;TRDJ1,TRAV29DV5;TRDJ2,TRAV29DV5;TRDJ3,TRAV29DV5;TRDJ4,TRAV36DV7;TRDJ1,TRAV36DV7;TRDJ2,TRAV36DV7;TRDJ3,TRAV36DV7;TRDJ4,TRAV38-2DV8;TRDJ1,TRAV38-2DV8;TRDJ2,TRAV38-2DV8;TRDJ3,TRAV38-2DV8;TRDJ4,TRDV1;TRDJ1,TRDV1;TRDJ2,TRDV1;TRDJ3,TRDV1;TRDJ4,TRDV2;TRDJ1,TRDV2;TRDJ2,TRDV2;TRDJ3,TRDV2;TRDJ4,TRDV3;TRDJ1,TRDV3;TRDJ2,TRDV3;TRDJ3,TRDV3;TRDJ4
iRNormal_097__TRD.csv,0.00010814318157240186,,,,0.00010814318157240186,,,0.002379149994592841,,0.0003244295447172056,,0.00010814318157240186,,,,0.00043257272628960744,,,,0.9650697523521142,0.0034605818103168595,0.0003244295447172056,0.00043257272628960744,0.01805991132259111,0.0003244295447172056,0.0034605818103168595,0.00010814318157240186,0.0049745863523304856,0.00010814318157240186,0.00021628636314480372,
iRNormal_JH__TRD.csv,0.0007183908045977011,,0.0007183908045977011,0.0021551724137931034,,,,0.02442528735632184,,0.0014367816091954023,,0.0007183908045977011,,,,0.0021551724137931034,0.0007183908045977011,0.004310344827586207,,0.23060344827586207,0.00646551724137931,0.0028735632183908046,0.0028735632183908046,0.6199712643678161,0.005028735632183908,0.07974137931034483,,0.01293103448275862,0.0007183908045977011,0.0014367816091954023,
iRNormal_KW_R__TRD.csv,0.0013850415512465374,,,0.0013850415512465374,,,,0.00554016620498615,,,0.0009233610341643582,0.0004616805170821791,,,,0.00554016620498615,,,,0.4025854108956602,0.009233610341643583,0.004155124653739612,0.0023084025854108957,0.1791320406278855,,0.013850415512465374,,0.35964912280701755,0.012927054478301015,0.0004616805170821791,0.0004616805170821791
iRNormal_XH__TRD.csv,0.00013035260379326078,,,0.00032588150948315193,,,6.517630189663039e-05,0.0034543440005214104,6.517630189663039e-05,,,0.00013035260379326078,,,,0.0021508179625888027,,,,0.08055790914423516,0.0012383497360359773,0.0006517630189663039,0.00026070520758652156,0.039822720458841165,6.517630189663039e-05,0.007690803623802385,,0.8629994134132829,0.00026070520758652156,0.00013035260379326078,
HL_W_LS0121__TRD.csv,0.0006779661016949153,,,0.0006779661016949153,,,,0.008813559322033898,,,,0.001694915254237288,,0.00033898305084745765,,0.016271186440677966,,0.00033898305084745765,,0.06610169491525424,0.003389830508474576,0.002033898305084746,0.001694915254237288,0.6491525423728813,0.00033898305084745765,0.04576271186440678,,0.20203389830508475,0.0006779661016949153,,
BW_CT0530__TRD.csv,,,,,,,,0.004135079255685734,,,,0.005513439007580979,,0.002067539627842867,,0.01791867677463818,,,,0.08959338387319091,0.00895933838731909,0.0034458993797381117,0.0013783597518952446,0.6409372846312887,0.002067539627842867,0.057891109579600274,,0.16540317022742937,,0.0006891798759476223,
BW_CT0806__TRD.csv,0.0010775862068965517,,,0.0005387931034482759,0.0005387931034482759,,,0.00646551724137931,,,,0.004310344827586207,,,,0.024245689655172414,,,,0.07219827586206896,0.011853448275862068,0.0021551724137931034,,0.6115301724137931,,0.05818965517241379,,0.20581896551724138,0.0010775862068965517,,
DDY__TRD.csv,,,,,,,,0.03076923076923077,,,,,,,,,,,,0.2,0.003418803418803419,,,0.5470085470085471,0.008547008547008548,0.11282051282051282,,0.09572649572649573,0.0017094017094017094,,
GH03_HJ625__TRD.csv,,,,,,,,0.03529411764705882,,,,,,,,,,,,0.296078431372549,0.013725490196078431,0.013725490196078431,,0.5529411764705883,0.00196078431372549,0.07058823529411765,,0.01568627450980392,,,
GH03_W_HNY1228__TRD.csv,,,,0.0010230179028132991,,,,0.005626598465473146,,,,0.0005115089514066496,,,,0.005115089514066497,0.0010230179028132991,,,0.37851662404092073,0.012276214833759591,0.003069053708439898,0.0035805626598465474,0.5355498721227622,0.001534526854219949,0.023017902813299233,0.001534526854219949,0.02659846547314578,,0.0010230179028132991,
GH03_W_LXZ1225__TRD.csv,,,,0.001771479185119575,0.0004428697962798937,,,0.0044286979627989375,,0.0004428697962798937,,0.0004428697962798937,,,,0.006200177147918512,,0.0008857395925597874,,0.2754650132860939,0.03631532329495128,0.0022143489813994687,0.00487156775907883,0.5974313551815766,0.01682905225863596,0.01815766164747564,,0.03365810451727192,0.0004428697962798937,,
GH03_W_ZXM1225__TRD.csv,0.002524190155658393,,0.00021034917963819942,0.0027345393352965924,,0.00042069835927639884,,0.007993268826251577,0.00042069835927639884,0.00021034917963819942,,0.0006310475389145982,0.00042069835927639884,,,0.006520824568784182,0.0006310475389145982,,,0.27639882204459404,0.00715187210769878,0.005889777029869584,0.0008413967185527977,0.4976861590239798,0.007782919646613378,0.13062684055532184,0.009465713083718973,0.040387042490534285,0.0008413967185527977,0.00021034917963819942,
BW_17__TRD.csv,,,,0.00010316723408645414,,0.00010316723408645414,,0.0026823480862478077,,0.00010316723408645414,0.00010316723408645414,0.00030950170225936243,,,,0.021561951924068914,,0.0005158361704322707,,0.19756525327555968,0.1781698132673063,0.0005158361704322707,0.00299184978850717,0.5652532755596823,0.00030950170225936243,0.01918910554008047,0.00030950170225936243,0.008872382131435055,0.0012380068090374497,0.00010316723408645414,
BW_1__TRD.csv,,,9.143275121148396e-05,9.143275121148396e-05,,,,0.0013714912681722592,,,,0.0001828655024229679,,,,0.0010971930145378074,,9.143275121148396e-05,,0.030172807899789704,0.00045716375605741976,0.0001828655024229679,9.143275121148396e-05,0.10834781018560849,0.0017372222730181951,0.06281430008228947,0.00027429825363445184,0.7922647892475084,0.00027429825363445184,0.00045716375605741976,
BW_2__TRD.csv,,,,0.0006540222367560497,,,,0.001962066710268149,,,,,,,,0.0006540222367560497,,0.0006540222367560497,,0.8996075866579464,0.0029431000654022237,0.0032701111837802484,,0.05853499018966645,0.0003270111183780249,0.021255722694571617,,0.00882930019620667,0.0006540222367560497,0.0006540222367560497,
BW_4__TRD.csv,0.0032527881040892194,,,0.0009293680297397769,,,0.0013940520446096654,0.012081784386617101,,0.00046468401486988845,,,,,,0.01254646840148699,,0.00046468401486988845,0.0009293680297397769,0.39730483271375466,0.016263940520446097,0.004182156133828996,0.0009293680297397769,0.25325278810408924,0.0018587360594795538,0.06319702602230483,,0.2295539033457249,,0.0013940520446096654,
BW_8__TRD.csv,0.0012690355329949238,,,,,,,0.005076142131979695,,0.0012690355329949238,,,,,,0.0025380710659898475,,,,0.9010152284263959,0.0012690355329949238,0.0012690355329949238,,0.0583756345177665,0.02030456852791878,0.007614213197969543,,,,,
BW_9__TRD.csv,,,,,,,,0.019784172661870502,,,,0.0017985611510791368,,,,0.01079136690647482,,,,0.45863309352517984,0.008992805755395683,0.0017985611510791368,,0.22661870503597123,0.00539568345323741,0.12410071942446044,0.0035971223021582736,0.13309352517985612,,0.00539568345323741,
BW_5__TRD.csv,0.005218216318785579,,0.0004743833017077799,,,,,0.020398481973434534,,0.0004743833017077799,,0.004269449715370019,,,,0.003320683111954459,,,,0.7087286527514232,0.007590132827324478,0.0004743833017077799,0.0009487666034155598,0.22912713472485768,0.0023719165085388993,0.0023719165085388993,0.0004743833017077799,0.011385199240986717,0.0018975332068311196,,0.0004743833017077799
BW_6__TRD.csv,0.000792393026941363,,,,,,,0.004754358161648178,,0.001584786053882726,,0.002377179080824089,,0.000792393026941363,,0.002377179080824089,0.000792393026941363,0.002377179080824089,,0.48415213946117275,0.004754358161648178,0.001584786053882726,0.002377179080824089,0.24247226624405704,0.003169572107765452,0.1259904912836767,0.001584786053882726,0.11568938193343899,,0.002377179080824089,
BW_7__TRD.csv,0.0026761819803746653,,,,,,,0.0008920606601248885,,,,,,,,0.004906333630686887,,,,0.2943800178412132,0.0013380909901873326,,,0.3751115075825156,0.0031222123104371097,0.04683318465655665,0.0026761819803746653,0.2662801070472792,0.001784121320249777,,
BW_16__TRD.csv,0.0004757373929590866,,,0.0002973358705994291,,,,0.0024976213130352047,5.9467174119885826e-05,0.00017840152235965747,,0.0008325404376784015,,,,0.008147002854424358,5.9467174119885826e-05,5.9467174119885826e-05,0.00011893434823977165,0.45373453853472884,0.016591341579448145,0.0016056137012369171,0.0021408182683158895,0.22829448144624168,0.002794957183634634,0.0763558515699334,0.00017840152235965747,0.1992745004757374,0.0054115128449096096,0.0008325404376784015,5.9467174119885826e-05
BW_11__TRD.csv,0.0005741626794258373,,,0.00019138755980861245,,,,0.006507177033492823,0.00019138755980861245,,,0.0005741626794258373,,,,0.0036363636363636364,,,,0.45933014354066987,0.08114832535885168,0.0022966507177033493,0.0009569377990430622,0.22755980861244018,0.0009569377990430622,0.007081339712918661,,0.20727272727272728,0.00019138755980861245,0.0015311004784688996,
BW_12__TRD.csv,0.00336417157275021,0.00042052144659377626,0.00042052144659377626,0.0008410428931875525,0.00042052144659377626,0.001261564339781329,,0.006307821698906644,,0.00042052144659377626,,0.002523128679562658,,,,0.008410428931875526,0.00042052144659377626,,,0.43986543313709,0.00672834314550042,0.002523128679562658,0.001261564339781329,0.14592094196804037,,0.030277544154751892,,0.347771236333053,,0.0008410428931875525,
BW_13__TRD.csv,0.0005234231876472127,,,0.00026171159382360636,,,,0.032713949227950796,,,,0.00026171159382360636,,,,0.0023554043444124575,,,,0.400942161737765,0.0005234231876472127,0.4967286050772049,,0.03820989269824653,0.0013085579691180318,0.017796388380005235,,0.008374771002355404,,,
BW_14__TRD.csv,,,,,,,,0.014634146341463415,,,,,,,,0.00975609756097561,,,,0.7707317073170732,0.004878048780487805,,0.004878048780487805,0.0975609756097561,,0.014634146341463415,,0.05853658536585366,0.01951219512195122,0.004878048780487805,
BW_15__TRD.csv,0.0001334311828674361,,,,,,,0.03369137367402762,,,,,,,,0.0010674494629394889,6.671559143371805e-05,,6.671559143371805e-05,0.3993595303222363,0.0006004403229034626,0.5266528787777703,0.0001334311828674361,0.020615117753018882,0.0006671559143371806,0.010207485489358863,,0.006738274734805524,,,
BF__TRD.csv,0.0024937655860349127,,,,,,,0.020781379883624274,,,,0.004156275976724855,,,,0.014131338320864505,,,,0.5935162094763092,0.00914380714879468,,,0.286783042394015,0.005818786367414797,0.02493765586034913,,0.038237738985868665,,,
BW_10__TRD.csv,0.001751927119831815,,,0.001051156271899089,,,,0.011212333566923615,,0.000350385423966363,,0.000350385423966363,,,,0.003153468815697267,,0.002452697967764541,,0.6009110021023125,0.006657323055360897,0.00350385423966363,0.000350385423966363,0.1506657323055361,0.000700770847932726,0.0606166783461808,,0.153468815697267,0.001751927119831815,0.000700770847932726,0.000350385423966363
iRNormal_088_R__TRD.csv,0.0006482982171799027,0.00032414910858995135,,0.0016207455429497568,,0.00032414910858995135,,0.009724473257698542,,,,,,,,0.3578606158833063,,0.07098865478119935,,0.30891410048622364,0.0038897893030794164,0.002593192868719611,,0.13776337115072934,0.0019448946515397082,0.017504051863857374,,0.032090761750405185,0.00032414910858995135,0.05348460291734198,
LFJ__TRD.csv,0.0005994690417059176,,,0.0005994690417059176,,0.0007707459107647512,0.0001712768690588336,0.003853729553823756,8.56384345294168e-05,,8.56384345294168e-05,0.0011989380834118353,,,,0.0017984071251177529,,0.0001712768690588336,,0.8144215123747538,0.017984071251177527,0.0022265992977648368,0.002312237732294254,0.10841825811424168,0.0013702149524706688,0.017812794382118694,0.0002569153035882504,0.025263338186177958,0.0002569153035882504,0.0002569153035882504,8.56384345294168e-05
SS03F_W_1_HJ__TRD.csv,0.008710801393728223,,,0.0017421602787456446,,,,0.02264808362369338,,,,,,,,0.003484320557491289,,,,0.30662020905923343,0.012195121951219513,0.003484320557491289,0.0017421602787456446,0.5644599303135889,,0.04878048780487805,,0.02613240418118467,,,
WDM__TRD.csv,0.0008566533409480297,,,0.0005711022272986865,,0.00028555111364934324,0.00028555111364934324,0.0028555111364934323,0.00028555111364934324,,,,,,0.0008566533409480297,0.0019988577955454027,,,,0.5416904625928041,0.0028555111364934323,0.0028555111364934323,0.0028555111364934323,0.24871501998857795,0.005139920045688178,0.10279840091376356,,0.0845231296402056,,0.0005711022272986865,
WGF__TRD.csv,0.005499340079190497,0.0004399472063352398,,0.002419709634843819,,0.0002199736031676199,0.0002199736031676199,0.007919049714034315,0.0002199736031676199,0.0008798944126704796,,0.0010998680158380994,,,,0.0030796304443466782,,0.0002199736031676199,,0.18829740431148262,0.005939287285525737,0.005939287285525737,0.002199736031676199,0.6781786185657721,0.006819181698196217,0.05521337439507259,0.0002199736031676199,0.030356357237131544,0.002199736031676199,0.002199736031676199,0.0002199736031676199
WJW__TRD.csv,0.0003178639542275906,,,0.003178639542275906,,,,0.09885568976478068,,,,0.0012714558169103624,,,,,,,,0.06865861411315957,0.004132231404958678,0.0022250476795931343,,0.18467895740623014,0.004767959313413859,0.014939605848696759,,0.6169739351557534,,,
HL_W_XQF1225__TRD.csv,0.00020358306188925082,,0.00020358306188925082,0.0016286644951140066,,,,0.00753257328990228,0.00020358306188925082,0.00020358306188925082,0.00020358306188925082,0.0008143322475570033,,,,0.00753257328990228,0.00040716612377850165,0.00020358306188925082,0.00020358306188925082,0.34201954397394135,0.007939739413680782,0.12886807817589577,0.0034609120521172636,0.4165309446254072,0.002239413680781759,0.018322475570032574,,0.05781758957654723,0.0012214983713355048,0.0016286644951140066,0.0006107491856677524
JGR__TRD.csv,0.0150093808630394,,,0.001876172607879925,,,,0.02626641651031895,,,,0.009380863039399626,,0.001876172607879925,,0.005628517823639775,,,,0.41275797373358347,0.01876172607879925,0.001876172607879925,,0.42213883677298314,,0.04127579737335835,,0.0375234521575985,0.005628517823639775,,
