sample,Category,TRGV10;TRGJ1,TRGV10;TRGJP1,TRGV1;TRGJ1,TRGV1;TRGJP,TRGV1;TRGJP2,TRGV2;TRGJ1,TRGV2;TRGJP,TRGV2;TRGJP1,TRGV2;TRGJP2,TRGV3;TRGJ1,TRGV3;TRGJP,TRGV3;TRGJP1,TRGV3;TRGJP2,TRGV4;TRGJ1,TRGV4;TRGJP,TRGV4;TRGJP1,TRGV4;TRGJP2,TRGV5;TRGJ1,TRGV5;TRGJP,TRGV5;TRGJP1,TRGV5;TRGJP2,TRGV5P;TRGJ1,TRGV5P;TRGJP1,TRGV5P;TRGJP2,TRGV6;TRGJ1,TRGV6;TRGJP2,TRGV7;TRGJ1,TRGV7;TRGJP,TRGV7;TRGJP1,TRGV7;TRGJP2,TRGV8;TRGJ1,TRGV8;TRGJP,TRGV8;TRGJP1,TRGV8;TRGJP2,TRGV9;TRGJ1,TRGV9;TRGJP,TRGV9;TRGJP1,TRGV9;TRGJP2
BW_1__TRG.csv,before,,,,,,0.0790748365221603,0.0002421893921046,0.0111407120368127,0.0443206587551465,0.1146766771615403,0.0031484620973601,0.0009687575684185,0.0328166626301767,0.1527004117219665,,0.0072656817631387,0.1043836279970937,0.1173407604746912,0.0002421893921046,0.0013320416565754,0.0021797045289416,0.0007265681763138,,0.0002421893921046,,,0.0247033179946718,,0.001937515136837,0.0003632840881569,0.0479534996367159,,0.0014531363526277,0.0014531363526277,0.0823443933155727,0.1625090821022039,0.0037539355776217,0.0007265681763138
BW_2__TRG.csv,before,,,,,0.000734214390602,0.1664219285364659,0.0002447381302006,0.0034263338228095,0.0416054821341164,0.1348507097405775,,0.0017131669114047,0.0026921194322075,0.3534018600097895,,0.005384238864415,0.0031815956926089,0.0376896720509055,,0.0004894762604013,0.000734214390602,0.0002447381302006,,,,,0.0266764561918746,,,0.0004894762604013,0.1272638277043563,,0.0017131669114047,0.0014684287812041,0.0484581497797356,0.0372001957905041,0.0036710719530102,0.0002447381302006
BW_8__TRG.csv,before,,,0.000599520383693,,,0.1540767386091127,0.0023980815347721,0.014388489208633,0.0539568345323741,0.1354916067146283,,0.0281774580335731,0.0023980815347721,0.1312949640287769,,0.0149880095923261,0.0035971223021582,0.0773381294964028,,0.001199040767386,,,,,,,0.0323741007194244,,0.000599520383693,,0.1366906474820144,0.0017985611510791,0.0035971223021582,0.0029976019184652,0.1840527577937649,0.0161870503597122,0.000599520383693,0.001199040767386
BW_5__TRG.csv,before,,,,,0.0001641497045305,0.1508535784635587,0.0019697964543663,0.1025935653315824,0.0390676296782665,0.0485883125410374,0.0001641497045305,0.0006565988181221,0.002790544977019,0.1529875246224556,0.0004924491135915,0.0083716349310571,0.0151017728168089,0.147242284963887,0.0001641497045305,0.0013131976362442,0.0016414970453053,0.0008207485226526,,0.000328299409061,,,0.0720617202889034,,0.000328299409061,0.0004924491135915,0.0718975705843729,0.000328299409061,0.0026263952724885,0.012967826657912,0.1057124097176625,0.057124097176625,0.0004924491135915,0.0006565988181221
BW_11__TRG.csv,before,,,0.0007570022710068,,,0.1471107746656573,0.002523340903356,0.0166540499621498,0.0757002271006813,0.1155690133737067,0.0005046681806712,0.0007570022710068,0.0199343931365127,0.0524854907898057,,,0.0022710068130204,0.0330557658339641,,0.001261670451678,0.0148877113298006,0.0002523340903356,,,,,0.0131213726974514,0.0005046681806712,,0.0020186727226848,0.050971486247792,,0.0219530658591975,0.0080746908907393,0.3212212969972243,0.0963916225082008,0.001261670451678,0.0007570022710068
BW_12__TRG.csv,before,,,,,,0.1571688784803538,0.0015612802498048,0.0215977101223002,0.0845693468644288,0.0642727036169659,,0.0013010668748373,0.0098881082487639,0.0601092896174863,,,0.2599531615925058,0.0353890189955763,,,,0.0002602133749674,,,,,0.0562060889929742,0.0015612802498048,0.0020817069997397,0.0002602133749674,0.082487639864689,0.0005204267499349,0.004423627374447,0.0158730158730158,0.1027842831121519,0.0304449648711943,0.0031225604996096,0.0041634139994795
BW_13__TRG.csv,before,,,,,,0.1667918858001502,0.0003756574004507,0.003380916604057,0.0740045078888054,0.1908339594290007,,,0.0045078888054094,0.1183320811419985,0.003380916604057,0.0018782870022539,0.0022539444027047,0.0822689706987227,,0.0003756574004507,0.0003756574004507,0.0011269722013523,,,,,0.0142749812171299,,0.0026296018031555,0.0056348610067618,0.0826446280991735,,0.005259203606311,0.0108940646130728,0.2039819684447783,0.0229151014274981,,0.0018782870022539
BW_15__TRG.csv,before,,,,,,0.1708503815105606,0.0001105827712042,0.0019904898816764,0.0847064027424527,0.2285745880791772,,0.0001105827712042,0.0024328209664934,0.0995244940838217,0.0045338936193741,0.0016587415680636,0.0016587415680636,0.0690036492314497,,0.0001105827712042,0.0004423310848169,0.0001105827712042,,,,,0.0090677872387482,,0.0011058277120424,0.0034280659073316,0.0670131593497733,,0.0021010726528806,0.0086254561539312,0.228021674223156,0.0129381842308968,0.0002211655424084,0.0016587415680636
BW_17__TRG.csv,after,,,,,,0.1869104908565928,0.000577478344562,0.0128970163618864,0.0760346487006737,0.0717998075072184,0.0001924927815206,0.0003849855630413,0.0230991337824831,0.124735322425409,,0.0021174205967276,0.0028873917228103,0.0442733397497593,,0.0007699711260827,0.0123195380173243,0.0001924927815206,,,,,0.0230991337824831,,0.0001924927815206,0.0040423484119345,0.0769971126082771,,0.0021174205967276,0.0040423484119345,0.0627526467757459,0.2667949951876804,0.0003849855630413,0.0003849855630413
BW_4__TRG.csv,after,,,0.0001710571330824,,,0.1749914471433458,0.0005131713992473,0.0059869996578857,0.0569620253164556,0.0605542251111871,,0.0085528566541224,0.0189873417721519,0.238966814916182,0.0005131713992473,0.0070133424563804,0.0088949709202873,0.1111871365035922,0.0001710571330824,0.0010263427984946,0.001539514197742,0.0003421142661648,,,,,0.037290455011974,,0.0011973999315771,0.0008552856654122,0.0992131371878207,,0.0023947998631542,0.0053027711255559,0.0841601094765651,0.0656859391036606,0.0063291139240506,0.0011973999315771
