sample,Category,IGHJ1,IGHJ2,IGHJ2P,IGHJ3,IGHJ3P,IGHJ4,IGHJ5,IGHJ6
BW_1__IGH.csv,before,0.0165831367924528,0.0196049528301886,0.0002948113207547,0.0657429245283018,,0.6406987028301887,0.1181456367924528,0.1389298349056603
BW_2__IGH.csv,before,0.0243449274570343,0.0525834039181398,0.0006694171971911,0.0956856744719801,,0.5299461733927157,0.1554277439274297,0.1413426596355091
BW_5__IGH.csv,before,0.0187938523220848,0.0159288339458737,0.0008185766789174,0.0641496825927163,,0.5436518543267624,0.1581356498496491,0.1985215502839959
BW_8__IGH.csv,before,0.0076220608326741,0.0237290573092687,0.0003595311713525,0.042065147048249,,0.4742216150140217,0.1430934061983174,0.3089091824261163
BW_15__IGH.csv,before,0.045807755070324,0.0255264589323179,0.0007187815681094,0.1062728261714196,,0.58660346569275,0.1186766648535239,0.1163940477115549
BW_11__IGH.csv,before,0.019463138310013,0.0455177374620454,0.0008230680379856,0.089271757699836,,0.5375879264910327,0.1288966046714298,0.1784397673276571
BW_12__IGH.csv,before,0.0224186283674683,0.0295402396532676,0.0007648508540834,0.1064502422027704,,0.5711906178295233,0.1233279510495453,0.1463074700433415
BW_13__IGH.csv,before,0.0395752532289038,0.0314192115073238,0.0013781677147268,0.1171141318673043,,0.5845765711488496,0.1155853447302029,0.1103513198026885
BW_4__IGH.csv,after,0.0335608103271373,0.0403373976950058,0.000322126512205,0.1417953184280226,,0.527679018826505,0.1145219403946646,0.1417833878164594
BW_17__IGH.csv,after,0.0136801595550436,0.0316581926458608,0.0003089974437484,0.106407483356274,,0.5128514845922638,0.1583471445827129,0.1767465378240962
BW_9__IGH.csv,after,0.0134992059290629,0.023292747485442,0.0005293806246691,0.0686871360508205,,0.5731868713605082,0.1470354685018528,0.1737691900476442
BW_6__IGH.csv,after,0.0156797077180697,0.0251179783833155,0.0006089206880803,0.0745927842898462,,0.6077789617902268,0.1459126198812604,0.1303090272492008
BW_7__IGH.csv,after,0.0334429824561403,0.0177631578947368,0.000438596491228,0.0464912280701754,,0.6836622807017544,0.1196271929824561,0.0985745614035087
BW_14__IGH.csv,after,0.0092741000594752,0.021108658178849,0.0004637050029737,0.0854225259826009,,0.5471013397042368,0.2389189625104585,0.0977107085614056
BW_16__IGH.csv,after,0.0203482079351826,0.0301615280741359,0.000690643329107,0.0863716485759346,,0.5353619692612178,0.1398707363082537,0.1871952665161682
BW_10__IGH.csv,after,0.0124876135007785,0.0314970980201824,0.0003842342615624,0.1294566118627272,,0.5658860644300188,0.1162409755505672,0.1440474023741632
