sample,Category,TRAV14DV4;TRDJ1,TRAV14DV4;TRDJ2,TRAV14DV4;TRDJ3,TRAV23DV6;TRDJ1,TRAV23DV6;TRDJ2,TRAV23DV6;TRDJ3,TRAV23DV6;TRDJ4,TRAV29DV5;TRDJ1,TRAV29DV5;TRDJ2,TRAV29DV5;TRDJ3,TRAV29DV5;TRDJ4,TRAV36DV7;TRDJ1,TRAV36DV7;TRDJ2,TRAV36DV7;TRDJ3,TRAV36DV7;TRDJ4,TRAV38-2DV8;TRDJ1,TRAV38-2DV8;TRDJ2,TRAV38-2DV8;TRDJ3,TRAV38-2DV8;TRDJ4,TRDV1;TRDJ1,TRDV1;TRDJ2,TRDV1;TRDJ3,TRDV1;TRDJ4,TRDV2;TRDJ1,TRDV2;TRDJ2,TRDV2;TRDJ3,TRDV2;TRDJ4,TRDV3;TRDJ1,TRDV3;TRDJ2,TRDV3;TRDJ3,TRDV3;TRDJ4
BW_1__TRD.csv,before,,,9.143275121148396e-05,9.143275121148396e-05,,,,0.0013714912681722,,,,0.0001828655024229,,,,0.0010971930145378,,9.143275121148396e-05,,0.0301728078997897,0.0004571637560574,0.0001828655024229,9.143275121148396e-05,0.1083478101856084,0.0017372222730181,0.0628143000822894,0.0002742982536344,0.7922647892475084,0.0002742982536344,0.0004571637560574,
BW_2__TRD.csv,before,,,,0.000654022236756,,,,0.0019620667102681,,,,,,,,0.000654022236756,,0.000654022236756,,0.8996075866579464,0.0029431000654022,0.0032701111837802,,0.0585349901896664,0.000327011118378,0.0212557226945716,,0.0088293001962066,0.000654022236756,0.000654022236756,
BW_8__TRD.csv,before,0.0012690355329949,,,,,,,0.0050761421319796,,0.0012690355329949,,,,,,0.0025380710659898,,,,0.901015228426396,0.0012690355329949,0.0012690355329949,,0.0583756345177665,0.0203045685279187,0.0076142131979695,,,,,
BW_5__TRD.csv,before,0.0052182163187855,,0.0004743833017077,,,,,0.0203984819734345,,0.0004743833017077,,0.00426944971537,,,,0.0033206831119544,,,,0.7087286527514232,0.0075901328273244,0.0004743833017077,0.0009487666034155,0.2291271347248576,0.0023719165085388,0.0023719165085388,0.0004743833017077,0.0113851992409867,0.0018975332068311,,0.0004743833017077
BW_11__TRD.csv,before,0.0005741626794258,,,0.0001913875598086,,,,0.0065071770334928,0.0001913875598086,,,0.0005741626794258,,,,0.0036363636363636,,,,0.4593301435406698,0.0811483253588516,0.0022966507177033,0.000956937799043,0.2275598086124401,0.000956937799043,0.0070813397129186,,0.2072727272727272,0.0001913875598086,0.0015311004784688,
BW_12__TRD.csv,before,0.0033641715727502,0.0004205214465937,0.0004205214465937,0.0008410428931875,0.0004205214465937,0.0012615643397813,,0.0063078216989066,,0.0004205214465937,,0.0025231286795626,,,,0.0084104289318755,0.0004205214465937,,,0.43986543313709,0.0067283431455004,0.0025231286795626,0.0012615643397813,0.1459209419680403,,0.0302775441547518,,0.347771236333053,,0.0008410428931875,
BW_13__TRD.csv,before,0.0005234231876472,,,0.0002617115938236,,,,0.0327139492279507,,,,0.0002617115938236,,,,0.0023554043444124,,,,0.400942161737765,0.0005234231876472,0.4967286050772049,,0.0382098926982465,0.001308557969118,0.0177963883800052,,0.0083747710023554,,,
BW_15__TRD.csv,before,0.0001334311828674,,,,,,,0.0336913736740276,,,,,,,,0.0010674494629394,6.671559143371805e-05,,6.671559143371805e-05,0.3993595303222363,0.0006004403229034,0.5266528787777703,0.0001334311828674,0.0206151177530188,0.0006671559143371,0.0102074854893588,,0.0067382747348055,,,
BW_17__TRD.csv,after,,,,0.0001031672340864,,0.0001031672340864,,0.0026823480862478,,0.0001031672340864,0.0001031672340864,0.0003095017022593,,,,0.0215619519240689,,0.0005158361704322,,0.1975652532755596,0.1781698132673063,0.0005158361704322,0.0029918497885071,0.5652532755596823,0.0003095017022593,0.0191891055400804,0.0003095017022593,0.008872382131435,0.0012380068090374,0.0001031672340864,
BW_4__TRD.csv,after,0.0032527881040892,,,0.0009293680297397,,,0.0013940520446096,0.0120817843866171,,0.0004646840148698,,,,,,0.0125464684014869,,0.0004646840148698,0.0009293680297397,0.3973048327137546,0.016263940520446,0.0041821561338289,0.0009293680297397,0.2532527881040892,0.0018587360594795,0.0631970260223048,,0.2295539033457249,,0.0013940520446096,
BW_9__TRD.csv,after,,,,,,,,0.0197841726618705,,,,0.0017985611510791,,,,0.0107913669064748,,,,0.4586330935251798,0.0089928057553956,0.0017985611510791,,0.2266187050359712,0.0053956834532374,0.1241007194244604,0.0035971223021582,0.1330935251798561,,0.0053956834532374,
BW_6__TRD.csv,after,0.0007923930269413,,,,,,,0.0047543581616481,,0.0015847860538827,,0.002377179080824,,0.0007923930269413,,0.002377179080824,0.0007923930269413,0.002377179080824,,0.4841521394611727,0.0047543581616481,0.0015847860538827,0.002377179080824,0.242472266244057,0.0031695721077654,0.1259904912836767,0.0015847860538827,0.1156893819334389,,0.002377179080824,
BW_7__TRD.csv,after,0.0026761819803746,,,,,,,0.0008920606601248,,,,,,,,0.0049063336306868,,,,0.2943800178412132,0.0013380909901873,,,0.3751115075825156,0.0031222123104371,0.0468331846565566,0.0026761819803746,0.2662801070472792,0.0017841213202497,,
BW_16__TRD.csv,after,0.000475737392959,,,0.0002973358705994,,,,0.0024976213130352,5.946717411988583e-05,0.0001784015223596,,0.0008325404376784,,,,0.0081470028544243,5.946717411988583e-05,5.946717411988583e-05,0.0001189343482397,0.4537345385347288,0.0165913415794481,0.0016056137012369,0.0021408182683158,0.2282944814462416,0.0027949571836346,0.0763558515699334,0.0001784015223596,0.1992745004757374,0.0054115128449096,0.0008325404376784,5.946717411988583e-05
BW_14__TRD.csv,after,,,,,,,,0.0146341463414634,,,,,,,,0.0097560975609756,,,,0.7707317073170732,0.0048780487804878,,0.0048780487804878,0.0975609756097561,,0.0146341463414634,,0.0585365853658536,0.0195121951219512,0.0048780487804878,
BW_10__TRD.csv,after,0.0017519271198318,,,0.001051156271899,,,,0.0112123335669236,,0.0003503854239663,,0.0003503854239663,,,,0.0031534688156972,,0.0024526979677645,,0.6009110021023125,0.0066573230553608,0.0035038542396636,0.0003503854239663,0.1506657323055361,0.0007007708479327,0.0606166783461808,,0.153468815697267,0.0017519271198318,0.0007007708479327,0.0003503854239663
