,IGLJ1,IGLJ2,IGLJ3,IGLJ4,IGLJ5,IGLJ6,IGLJ7
BW_15__IGL.csv,0.16736852414063266,0.3934237586916071,0.42843502105572423,0.0003182842033101557,0.001958672020370189,0.0068553520712956615,0.0016403878170600332
BW_17__IGL.csv,0.14552461957605156,0.28965379759452453,0.5594391653930494,,0.0002657983919197289,0.0025250847232374243,0.0025915343212173565
BW_16__IGL.csv,0.155,0.35275956284153004,0.48185792349726775,0.0001912568306010929,0.001557377049180328,0.006366120218579235,0.00226775956284153
LFJ__IGL.csv,0.28432991961237747,0.3015086444224204,0.40397533311309325,0.00016518004625041294,0.0006056601695848475,0.002587820724589803,0.0068274419116837355
iRNormal_JH__IGL.csv,0.18506186726659168,0.510191226096738,0.29777277840269967,0.0005399325084364454,0.00040494938132733406,0.0031496062992125984,0.0028796400449943756
iRNormal_KW_R__IGL.csv,0.0525407005426739,0.3635915145535274,0.5744943265910212,0.000246669955599408,0.000493339911198816,0.00370004933399112,0.00493339911198816
iRNormal_XH__IGL.csv,0.08557389529049449,0.5446209211391397,0.3546489497906502,0.000899685110211426,0.0021800062285892243,0.008200975812311845,0.003875566628603066
HL_W_LS0121__IGL.csv,0.22329528826455955,0.5249634182031021,0.2315481416447176,5.85308750365818e-05,0.0010535557506584723,0.008194322505121452,0.010886742756804214
HL_W_XQF1225__IGL.csv,0.15311985035407294,0.3400881842070102,0.49770631986816904,4.4537478287979335e-05,0.000935287044047566,0.004854585133389748,0.0032512359150224913
BW_CT0806__IGL.csv,0.2593655721859348,0.5278697167628364,0.19067982777305878,8.787088837468147e-05,0.0012887730294953283,0.01019302305146305,0.010515216308836882
DDY__IGL.csv,0.2632842990093065,0.5740018012608826,0.1516061242870009,,,0.006604623236265386,0.004503152206544582
GH03_HJ625__IGL.csv,0.43227834222644546,0.29646955631898253,0.2660624223375484,7.309407207075506e-05,0.0005116585044952854,0.002631386594547182,0.0019735399459103868
GH03_W_HNY1228__IGL.csv,0.2854785478547855,0.3237623762376238,0.38096809680968097,,0.0009900990099009901,0.00539053905390539,0.0034103410341034105
GH03_W_LXZ1225__IGL.csv,0.1447811447811448,0.38773701931596666,0.4576998050682261,3.54421407052986e-05,0.0008151692362218678,0.005422647527910686,0.0035087719298245615
GH03_W_ZXM1225__IGL.csv,0.1553670760588203,0.29261441868150023,0.5439775293275321,,0.0003304510657046869,0.004571239742248169,0.0031392851241945257
BW_1__IGL.csv,0.12990750256937308,0.6133607399794451,0.23144912641315518,,,0.009044193216855087,0.016238437821171636
BW_2__IGL.csv,0.14585596940327697,0.3205702116563084,0.5227954278760485,0.000304228780042592,0.001868833934547351,0.00573688556651745,0.002868442783258725
