,TRDJ1,TRDJ2,TRDJ3,TRDJ4
iRNormal_097__TRD.csv,0.9911322591110631,0.004001297718178869,0.004325727262896074,0.0005407159078620093
iRNormal_JH__TRD.csv,0.8936781609195402,0.01293103448275862,0.09051724137931035,0.0028735632183908046
iRNormal_KW_R__TRD.csv,0.9556786703601108,0.0221606648199446,0.018467220683287166,0.003693444136657433
iRNormal_XH__TRD.csv,0.9895717916965392,0.0016294075474157597,0.00847291924656195,0.00032588150948315193
HL_W_LS0121__TRD.csv,0.9454237288135593,0.004406779661016949,0.04847457627118644,0.001694915254237288
BW_CT0530__TRD.csv,0.923501033769814,0.011026878015161957,0.06409372846312887,0.0013783597518952446
BW_CT0806__TRD.csv,0.9261853448275862,0.013469827586206896,0.0603448275862069,
DDY__TRD.csv,0.8735042735042735,0.013675213675213675,0.11282051282051282,
GH03_HJ625__TRD.csv,0.9,0.01568627450980392,0.08431372549019608,
GH03_W_HNY1228__TRD.csv,0.9529411764705882,0.014833759590792838,0.02710997442455243,0.005115089514066497
GH03_W_LXZ1225__TRD.csv,0.9193976970770593,0.054030115146147036,0.021700620017714792,0.00487156775907883
GH03_W_ZXM1225__TRD.csv,0.8348758939840135,0.01724863273033235,0.13756836348338242,0.010307109802271772
BW_17__TRD.csv,0.7963478799133396,0.1797173217786031,0.020530279583204376,0.0034045187248529867
BW_1__TRD.csv,0.9335283898692511,0.002468684282710067,0.06363719484319283,0.0003657310048459358
BW_2__TRD.csv,0.9702419882275998,0.003924133420536298,0.025833878351863963,
BW_4__TRD.csv,0.9089219330855018,0.01812267657992565,0.06970260223048327,0.0032527881040892194
BW_8__TRD.csv,0.9682741116751269,0.021573604060913704,0.01015228426395939,
BW_9__TRD.csv,0.8507194244604317,0.014388489208633094,0.13129496402877697,0.0035971223021582736
BW_5__TRD.csv,0.9824478178368121,0.011859582542694497,0.003795066413662239,0.0018975332068311196
BW_6__TRD.csv,0.8526148969889065,0.008716323296354992,0.1347068145800317,0.003961965134706815
BW_7__TRD.csv,0.9442462087421944,0.006244424620874219,0.04683318465655665,0.0026761819803746653
BW_16__TRD.csv,0.8935537583254044,0.02491674595623216,0.07903187440532826,0.0024976213130352047
BW_11__TRD.csv,0.905645933014354,0.08248803827751196,0.01090909090909091,0.0009569377990430622
BW_12__TRD.csv,0.9550042052144659,0.00798990748528175,0.03574432296047098,0.001261564339781329
BW_13__TRD.csv,0.4836430253860246,0.0018319811567652448,0.5145249934572101,
BW_14__TRD.csv,0.9512195121951219,0.024390243902439025,0.01951219512195122,0.004878048780487805
BW_15__TRD.csv,0.46160517712989524,0.0013343118286743613,0.5368603642671292,0.00020014677430115418
BF__TRD.csv,0.9600997506234414,0.014962593516209476,0.02493765586034913,
BW_10__TRD.csv,0.9225648213034338,0.009110021023125438,0.06762438682550806,0.000700770847932726
iRNormal_088_R__TRD.csv,0.8486223662884927,0.006482982171799027,0.14489465153970826,
LFJ__TRD.csv,0.9561531215209386,0.019696839941765864,0.021238331763295367,0.0029117067740001713
SS03F_W_1_HJ__TRD.csv,0.9337979094076655,0.012195121951219513,0.05226480836236934,0.0017421602787456446
WDM__TRD.csv,0.8812107367218732,0.008280982295830954,0.10651056539120503,0.003997715591090805
WGF__TRD.csv,0.9168499780026397,0.015618125824901012,0.06467223933128025,0.0028596568411790586
WJW__TRD.csv,0.9739351557533376,0.008900190718372537,0.017164653528289893,
HL_W_XQF1225__TRD.csv,0.8340798045602605,0.012011400651465798,0.1494299674267101,0.004478827361563518
JGR__TRD.csv,0.9305816135084428,0.024390243902439025,0.0450281425891182,
