,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-1,TRBV12-2,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV2,TRBV20-1,TRBV23-1,TRBV24-1,TRBV25-1,TRBV26,TRBV27,TRBV28,TRBV29-1,TRBV3-1,TRBV3-2,TRBV30,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-3,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-1,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-5,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9
iRNormal_097__TRB.csv,0.000787246604999016,0.004477465065931903,0.017393229679197007,0.00041822475890572724,0.005117102932493603,0.0036164140917142296,,7.380436921865775e-05,0.06155284392836056,,0.004674276717181657,0.0027307616610903365,0.01011119858295611,0.006051958275929935,0.0006150364101554812,0.016384569966542018,0.050875811848061406,0.2799399724463688,0.05997835071836253,,0.013949025782326313,0.0006150364101554812,2.460145640621925e-05,0.027652037000590435,0.03729580791182838,0.16436233024995078,0.04681657154103523,,0.009274749065144656,0.01695040346388506,0.009988191300925015,,0.012866561700452667,0.00012300728203109624,0.008339893721708324,0.00228793544577839,0.0030997835071836254,,0.0007134422357803582,0.009865184018893918,0.005682936429836647,0.015105294233418618,0.014293446172013384,0.012546742767171817,0.0001476087384373155,2.460145640621925e-05,9.8405825624877e-05,,0.013899822869513875,0.0025339500098405824,7.380436921865775e-05,,0.012030112182641212,0.0007134422357803582,0.0050186971068687265,0.018721708325132848,0.010086597126549891
iRNormal_JH__TRB.csv,0.0010363290920605676,0.006030859577408025,0.019416777016523692,0.0008060337382693304,0.021863665150555586,0.011140537739651103,,5.7573838447809316e-05,0.047613564396338307,,0.0025476423513155623,0.002490068512867753,0.009039092636306062,0.0032241349530773215,0.0003742299499107606,0.014048016581265473,0.12477690137601474,0.025433243134319765,0.14370430076573204,,0.010967816224307675,0.0006908860613737118,,0.022338649317750016,0.06810985088375843,0.14741781334561574,0.03516322183199954,1.4393459611952329e-05,0.0067793194772295465,0.027908918187575564,0.010492832057113247,4.318037883585699e-05,0.03752374920835972,4.318037883585699e-05,0.007830042028902067,0.0024468881340318958,0.009082273015141919,8.636075767171398e-05,0.0011082963901203294,0.017344118832402555,0.00506649778340722,0.005843744602452646,0.02323104381369106,0.05577465599631527,0.00021590189417928493,7.196729805976164e-05,0.00012954113650757095,,0.01866831711670217,0.004159709827854223,0.00014393459611952329,2.8786919223904658e-05,0.004217283666302032,0.0007196729805976164,0.005944498819736312,0.02377799527894525,0.013011687489204905
iRNormal_KW_R__TRB.csv,0.0023462704076644835,0.00694104995600743,0.022631733307263664,0.0006354482354091309,0.008896275295727833,0.0011731352038322417,4.888063349301007e-05,,0.07307654707205005,,0.005572392218203148,0.004594779548342947,0.014224264346465931,0.004154853846905856,0.0010264933033532115,0.026835467787662527,0.10763515495160818,0.029132857561834,0.0738097565744452,,0.012806725975168638,0.002150747873692443,,0.04648548245185258,0.13280868120050837,0.08192394173428488,0.053622054941832045,4.888063349301007e-05,0.009873887965588034,0.024978003714928147,0.018036953758920716,,0.03240786000586567,,0.017499266790497604,0.0038126894124547854,0.006403362987584319,,0.001417538371297292,0.018134715025906734,0.006012317919640239,0.011486948870857366,0.025662332583830286,0.017303744256525564,0.00014664190047903022,9.776126698602014e-05,0.00024440316746505037,4.888063349301007e-05,0.023316062176165803,0.005376869684231108,9.776126698602014e-05,,0.00718545312347248,0.0011731352038322417,0.00698993058950044,0.03509629484798123,0.014615309414410011
iRNormal_XH__TRB.csv,0.005627849544072948,0.005782199848024316,0.02587148556231003,0.0008192439209726444,0.007575037993920973,0.0006530205167173252,,,0.05738269376899696,,0.00243398556231003,0.002457731762917933,0.01171875,0.005722834346504559,0.0011991831306990882,0.024280490121580546,0.07085866261398176,0.02163278875379939,0.09790558510638298,,0.014960106382978724,0.0010923252279635258,,0.019661854103343465,0.0760234612462006,0.10374715045592706,0.05363079407294833,3.56193009118541e-05,0.009059175531914893,0.021324088145896657,0.015565634498480243,0.07229530775075987,0.02918408054711246,7.12386018237082e-05,0.014888867781155016,0.003775645896656535,0.006755794072948329,2.3746200607902735e-05,0.0014010258358662614,0.013594699848024316,0.04097406914893617,0.0027664323708206685,0.0243161094224924,0.014663278875379939,0.00016622340425531914,0.0001424772036474164,5.936550151975684e-05,,0.043431800911854106,0.00858425151975684,0.00021371580547112462,1.1873100303951368e-05,0.003621295592705167,0.0007361322188449848,0.006732047872340425,0.026880699088145898,0.02768806990881459
HL_W_LS0121__TRB.csv,0.0007695309112980144,0.004411254660539322,0.011857279112113067,0.001409000260123125,0.01736321859013266,0.0005527616405098414,1.0838463539408653e-05,3.251539061822596e-05,0.012605133096332264,0.014057487210613024,0.00169080031214775,0.0051265932541402935,0.007673632185901327,0.010936009711263331,0.0004660539321945721,0.019921095985433106,0.05679354894650134,0.03574525275296974,0.20167129107777682,,0.009884678747940691,0.003609208358623082,,0.037772045434839155,0.13058180872279546,0.07474204456776208,0.03642807595595248,,0.010329055753056447,0.022348911818260642,0.010101448018728865,,0.03121477499349692,4.335385415763461e-05,0.008985086274169773,0.003825977629411255,0.010318217289517038,2.1676927078817306e-05,0.0006828232029827451,0.02308592733894043,0.008107170727477672,0.002937223619179745,0.029177143848088095,0.01505462585623862,0.00019509234370935577,5.4192317697043266e-05,0.00019509234370935577,,0.03622214514870372,0.004974854764588572,0.00033599236972166823,1.0838463539408653e-05,0.0037284314575565768,0.00028180005202462497,0.011998179138125379,0.03751192230989335,0.03214688285788607
BW_CT0806__TRB.csv,0.0010573502362516934,0.004669963543444979,0.013139779498419482,0.0021807848622691175,0.02194001740222264,0.0009802517815250074,,,0.013998876565373982,0.011586796338924807,0.001817320718557598,0.004824160452898351,0.008062295551419163,0.010958994636150365,0.0003634641437115196,0.02001255603405549,0.06935556705913451,0.031103719449737315,0.14162986133292213,,0.009394997411694734,0.004086218100514357,,0.03539920478450982,0.09801416408753978,0.0654786161928783,0.029198286211492074,,0.015992422323306863,0.02295331137863051,0.008932406683334618,,0.06496095513971341,7.709845472668598e-05,0.014802903307523707,0.006443228002158756,0.01969314815018779,2.202812992191028e-05,0.0019164473032061943,0.028504400118951903,0.011818091703104865,0.0038989789961781196,0.03233729472536429,0.016554139636315576,0.00024230942914101308,0.0001101406496095514,0.00012115471457050654,,0.031896732126926085,0.009196744242397541,0.00042954853347725047,4.405625984382056e-05,0.004868216712742172,0.000550703248047757,0.016873547520183274,0.046633551044684064,0.04087319507010452
DDY__TRB.csv,0.0013315579227696406,0.004882379050155349,0.04053854120432016,,0.005030329930463086,0.00207131232430833,,,0.01701435123538985,0.012575824826157716,0.0036987720076934456,0.004290575528924397,0.015090989791389259,0.004586477289539872,0.0019233614440005919,0.019233614440005917,0.07737831040094689,0.02663115845539281,0.12442669033880752,,0.006657789613848202,0.0038467228880011838,,0.050895102825861814,0.12117177097203728,0.08255659121171771,0.06480248557478917,,0.007249593135079154,0.025003698772007695,0.011836070424619026,0.009468856339695221,0.03772747447847315,,0.004438526409232135,0.0032549193667702325,0.011244266903388075,,0.0016274596833851162,0.04808403610001479,0.00887705281846427,0.0038467228880011838,0.027518863737239236,0.021452877644621986,,0.0013315579227696406,,,0.024263944370469005,,,,0.0005918035212309513,0.0014795088030773783,0.012575824826157716,0.027075011096316024,0.020417221482467822
GH03_HJ625__TRB.csv,0.0010270455323519343,0.006961086385940888,0.02162501426452128,0.00011411617026132602,0.012267488303092548,0.007816957662900833,,,0.039255962569896156,0.015405682985279013,0.0025105557457491727,0.0021111491498345316,0.013294533835444482,0.004507588725322378,0.0006846970215679561,0.018030354901289514,0.08467419833390391,0.03760127810110693,0.14863631176537714,,0.016889193198676253,0.0018829168093118796,,0.0322378180988246,0.09391760812507133,0.13579824261097798,0.0609380349195481,,0.005306401917151661,0.02424968618053178,0.014435695538057743,,0.022994408307657196,,0.008672828939860778,0.002909962341663814,0.00947164213169006,,0.0007988131918292822,0.022595001711742554,0.008102248088554148,0.006219331279242269,0.01626155426223896,0.041766518315645325,0.00028529042565331506,,,,0.01551979915554034,0.0026246719160104987,0.00034234851078397807,,0.004222298299669063,0.0011982197877439234,0.006732854045418236,0.016375670432500284,0.010726920004564646
GH03_W_HNY1228__TRB.csv,0.001299336574031612,0.006053379803723746,0.01753340059310893,0.00047387569170564677,0.011418875538842521,0.0004280167537986487,,4.585893790699807e-05,0.020850530435048458,0.01702895227613195,0.0055183588614754345,0.005457213610932771,0.006756550184964383,0.005503072548839769,0.0004280167537986487,0.021140970375126113,0.059830627655996824,0.030282185331254395,0.09248219144577945,,0.022333302760708062,0.004127304411629827,,0.07082148644104069,0.09515729615702101,0.06415665413189031,0.0825613745452322,,0.010853281971322877,0.024549818092879636,0.025665718915283256,0.012443058485432144,0.032330551224433644,4.585893790699807e-05,0.0103029747164389,0.003271270904032529,0.022623742700785716,,0.00033629887798465255,0.05006267388180623,0.01299336574031612,0.006022807178452414,0.03217768809807698,0.02410651502644532,0.0001222905010853282,4.585893790699807e-05,3.057262527133205e-05,,0.023219908893576693,0.003164266715582867,7.643156317833013e-05,,0.0034852792809318537,0.0005044483169769789,0.002950258338683543,0.029563728637378092,0.027362499617842186
GH03_W_LXZ1225__TRB.csv,0.0006736210015781978,0.0038300165518303244,0.019640863774587167,0.0008372146733900458,0.012529350629354478,0.0011451557026829363,,1.9246314330805652e-05,0.03580776781246391,0.015964817737403287,0.0021074714192232187,0.005321605912467762,0.021180568921051617,0.03732822664459756,0.0005196504869317526,0.017927941799145464,0.06767004118711267,0.02339389506909427,0.11608414488625428,,0.013953577889834097,0.002684860849147388,,0.03560568151199046,0.10980984641441165,0.06921936949074252,0.028186227337464877,,0.009998460294853536,0.02379806767004119,0.031390738673544014,0.014665691520073906,0.029543092497786673,7.698525732322261e-05,0.013097116902113246,0.002530890334500943,0.008295161476577235,2.8869471496208475e-05,0.0009430694022094769,0.02398090765618384,0.01680203241079333,0.0030601639785980982,0.04821201739866816,0.015204588321336464,0.00020208630047345932,0.00010585472881943108,0.0002309557719696678,,0.03051503137149236,0.004878940682859233,0.00039454944378151583,,0.004570999653566342,0.0005870125870895723,0.024288848685476733,0.03743408137341699,0.013722622117864429
