,TRAV14DV4,TRAV23DV6,TRAV29DV5,TRAV36DV7,TRAV38-2DV8,TRDV1,TRDV2,TRDV3
iRNormal_097__TRD.csv,0.00010814318157240186,0.00010814318157240186,0.0027035795393100465,0.00010814318157240186,0.00043257272628960744,0.9692873364334379,0.02195306585919758,0.005299015897047691
iRNormal_JH__TRD.csv,0.0014367816091954023,0.0021551724137931034,0.02586206896551724,0.0007183908045977011,0.007183908045977011,0.24281609195402298,0.7047413793103449,0.015086206896551725
iRNormal_KW_R__TRD.csv,0.0013850415512465374,0.0013850415512465374,0.006463527239150508,0.0004616805170821791,0.00554016620498615,0.4182825484764543,0.19298245614035087,0.3734995383194829
iRNormal_XH__TRD.csv,0.00013035260379326078,0.0003910578113797823,0.0035195203024180406,0.00013035260379326078,0.0021508179625888027,0.08270872710682396,0.04757870038454018,0.8633904712246627
HL_W_LS0121__TRD.csv,0.0006779661016949153,0.0006779661016949153,0.008813559322033898,0.002033898305084746,0.016610169491525422,0.07322033898305084,0.6952542372881356,0.20271186440677966
BW_CT0530__TRD.csv,,,0.004135079255685734,0.007580978635423846,0.01791867677463818,0.10337698139214335,0.7008959338387319,0.16609235010337697
BW_CT0806__TRD.csv,0.0010775862068965517,0.0010775862068965517,0.00646551724137931,0.004310344827586207,0.024245689655172414,0.08620689655172414,0.6697198275862069,0.20689655172413793
DDY__TRD.csv,,,0.03076923076923077,,,0.20341880341880342,0.6683760683760683,0.09743589743589744
GH03_HJ625__TRD.csv,,,0.03529411764705882,,,0.3235294117647059,0.6254901960784314,0.01568627450980392
GH03_W_HNY1228__TRD.csv,,0.0010230179028132991,0.005626598465473146,0.0005115089514066496,0.006138107416879796,0.39744245524296673,0.5616368286445013,0.02762148337595908
GH03_W_LXZ1225__TRD.csv,,0.0022143489813994687,0.00487156775907883,0.0004428697962798937,0.0070859167404783,0.31886625332152346,0.6324180690876883,0.034100974313551816
GH03_W_ZXM1225__TRD.csv,0.0027345393352965924,0.003155237694572991,0.008624316365166175,0.001051745898190997,0.00715187210769878,0.2902818679007152,0.645561632309634,0.041438788388725285
