sample,therapy,top20IGK
BW_1,before,0.2259033129816835
BW_2,before,0.3907771220836135
BW_5,before,0.1969698285218146
BW_8,before,0.2365414065260926
BW_11,before,0.1676854818831649
BW_12,before,0.1298287485852074
BW_13,before,0.1970475343079631
BW_15,before,0.1745083554106378
BW_4,after,0.1523237780036954
BW_6,after,0.1249602154486473
BW_7,after,0.2280755022519103
BW_9,after,0.2172325917762931
BW_10,after,0.2158595750415524
BW_14,after,0.3962870028964927
BW_16,after,0.1040680441599725
BW_17,after,0.1882332717349263
