sample,therapy,top20TRD
BW_1,before,0.8508333333333333
BW_2,before,0.9124500665778962
BW_5,before,0.8475159862272503
BW_8,before,0.9266409266409268
BW_11,before,0.8237577639751553
BW_12,before,0.7317286652078775
BW_13,before,0.9009345794392524
BW_15,before,0.9116149616455096
BW_4,after,0.5825958702064897
BW_6,after,0.7529411764705882
BW_7,after,0.7342177493138152
BW_9,after,0.7430278884462151
BW_10,after,0.7109466303077523
BW_14,after,0.676923076923077
BW_16,after,0.655664585191793
BW_17,after,0.8016615837627511
