Gene,log2FC,P-value,FC,significant
TRAV12-2;TRAJ40,1.06182,0.04587,2.08756,Up
TRAV13-1;TRAJ3,0.99557,0.00049,1.99387,Up
TRAV29DV5;TRAJ44,0.98150,0.01261,1.97451,Up
TRAV17;TRAJ57,0.76345,0.01963,1.69754,Up
TRAV5;TRAJ10,0.75463,0.01058,1.68720,Up
TRAV8-1;TRAJ48,0.54440,0.01002,1.45842,Up
TRBV11-3;TRBJ2-7,0.50848,0.01095,1.42255,Up
TRAV2;TRAJ3,0.42324,0.03131,1.34094,Up
TRAV8-2;TRAJ5,0.39249,0.00437,1.31266,Up
TRAV21;TRAJ7,0.35463,0.02001,1.27866,Up
TRAV24;TRAJ49,0.34970,0.03302,1.27429,Up
TRBV25-1;TRBJ2-5,0.33332,0.02185,1.25991,Up
TRAV19;TRAJ4,0.32138,0.02708,1.24953,Up
TRAV8-1;TRAJ36,0.31855,0.00026,1.24708,Up
TRAV13-1;TRAJ33,0.31002,0.02240,1.23972,Up
TRAV17;TRAJ10,0.27708,0.04878,1.21174,Up
TRAV12-1;TRAJ5,0.27110,0.01784,1.20673,Up
TRBV24-1;TRBJ2-7,0.25059,0.04359,1.18969,Up
TRAV10;TRAJ4,0.23596,0.00379,1.17769,Up
TRBV6-1;TRBJ2-5,0.22620,0.00995,1.16975,Up
TRAV8-6;TRAJ3,0.20783,0.00968,1.15495,Up
TRAV5;TRAJ9,0.20194,0.04611,1.15024,Up
TRBV9;TRBJ1-5,0.19531,0.02897,1.14497,Up
TRAV12-2;TRAJ23,0.19198,0.03263,1.14233,Up
TRBV7-7;TRBJ2-1,0.18307,0.01739,1.13529,Up
TRAV12-3;TRAJ43,0.17402,0.00099,1.12820,Up
TRBV28;TRBJ1-1,0.17248,0.01926,1.12699,Up
TRBV18;TRBJ2-7,0.16564,0.02932,1.12167,Up
TRBV11-3;TRBJ2-3,0.15602,0.00453,1.11421,Up
TRAV17;TRAJ29,0.15132,0.03039,1.11059,Up
TRAV5;TRAJ27,0.15072,0.01807,1.11012,Up
TRAV13-2;TRAJ5,0.14942,0.02896,1.10912,Up
TRBV16;TRBJ2-7,0.13977,0.03499,1.10173,Up
TRAV1-2;TRAJ33,0.13514,0.01253,1.09820,Up
TRBV6-9;TRBJ1-6,0.13162,0.00933,1.09552,Up
TRAV19;TRAJ3,0.12873,0.04510,1.09333,Up
TRAV8-1;TRAJ5,0.12740,0.01156,1.09232,Up
TRBV11-3;TRBJ2-5,0.12418,0.04165,1.08989,Up
TRAV10;TRAJ3,0.12386,0.02827,1.08965,Up
TRBV28;TRBJ2-6,0.11587,0.03421,1.08363,Up
TRAV8-1;TRAJ33,0.11539,0.02026,1.08327,Up
TRAV8-1;TRAJ9,0.11431,0.01357,1.08246,Up
TRAV16;TRAJ58,0.11428,0.01065,1.08243,Up
TRBV30;TRBJ1-4,0.10654,0.02629,1.07664,Up
TRAV16;TRAJ40,0.10540,0.03263,1.07579,Up
TRAV6;TRAJ21,0.10507,0.00440,1.07554,Up
TRBV5-5;TRBJ2-5,0.10018,0.03502,1.07191,Up
TRAV8-1;TRAJ8,0.09215,0.00797,1.06596,Up
TRAV5;TRAJ26,0.08754,0.04664,1.06255,Up
TRAV8-2;TRAJ6,0.07703,0.04409,1.05484,Up
TRAV8-2;TRAJ47,0.07331,0.02861,1.05213,Up
TRAV1-1;TRAJ30,0.06932,0.02932,1.04922,Up
TRBV6-4;TRBJ2-6,0.06928,0.02264,1.04920,Up
TRBV6-6;TRBJ1-3,0.06887,0.04877,1.04890,Up
TRAV1-2;TRAJ3,0.06859,0.03149,1.04869,Up
TRAV1-1;TRAJ21,0.06586,0.02383,1.04671,Up
TRAV16;TRAJ47,0.06566,0.02628,1.04656,Up
TRAV13-2;TRAJ50,0.06397,0.02324,1.04534,Up
TRAV20;TRAJ32,0.05636,0.01609,1.03984,Up
TRAV9-2;TRAJ31,0.05567,0.04663,1.03934,Up
TRAV10;TRAJ5,0.04010,0.00901,1.02818,Up
TRAV25;TRAJ8,0.03997,0.02861,1.02809,Up
TRAV20;TRAJ21,0.03886,0.02000,1.02730,Up
TRAV8-2;TRAJ3,0.03735,0.04071,1.02622,Up
TRAV10;TRAJ11,0.03730,0.03931,1.02619,Up
TRAV9-2;TRAJ3,0.03423,0.01321,1.02401,Up
TRBV15;TRBJ1-1,0.03343,0.01080,1.02344,Up
TRBV7-8;TRBJ1-1,0.02607,0.01253,1.01823,Up
TRAV1-2;TRAJ10,0.02302,0.04310,1.01609,Up
TRAV10;TRAJ26,0.02228,0.02143,1.01557,Up
TRAV10;TRAJ7,0.01801,0.00819,1.01256,Up
TRAV22;TRAJ12,0.01795,0.03581,1.01252,Up
TRBV7-4;TRBJ2-2,0.01663,0.02981,1.01159,Up
TRAV41;TRAJ23,0.01415,0.02136,1.00986,Up
TRAV36DV7;TRAJ4,0.01113,0.00609,1.00775,Up
TRAV30;TRAJ16,0.00999,0.04357,1.00695,Up
TRAV2;TRAJ54,0.00721,0.00570,1.00501,Up
TRAV9-1;TRAJ28,0.00531,0.02833,1.00369,Up
TRAV35;TRAJ61,0.00382,0.03943,1.00265,Up
TRAV9-1;TRAJ43,0.00354,0.02506,1.00246,Up
TRAV27;TRAJ60,0.00305,0.01742,1.00211,Up
TRBV6-8;TRBJ2-6,0.00291,0.04684,1.00202,Up
TRAV12-1;TRAJ14,0.00182,0.02669,1.00126,Up
TRAV2;TRAJ56,0.00175,0.02969,1.00121,Up
TRAV39;TRAJ5,0.00140,0.03974,1.00097,Up
TRAV21;TRAJ14,0.00136,0.02669,1.00094,Up
TRAV20;TRAJ60,0.00118,0.02348,1.00082,Up
TRAV18;TRAJ34,0.00108,0.04403,1.00075,Up
TRAV12-3;TRAJ2,0.00089,0.04403,1.00062,Up
TRAV21;TRAJ45,0.00053,0.00599,1.00037,Up
TRAV26-1;TRAJ36,-1.96807,0.04048,0.25559,Down
TRBV7-3;TRBJ2-3,-1.84590,0.01253,0.27818,Down
TRAV27;TRAJ6,-1.79968,0.01304,0.28724,Down
TRBV28;TRBJ1-4,-1.18095,0.04770,0.44106,Down
TRAV12-2;TRAJ47,-0.95840,0.00648,0.51463,Down
