sample,therapy,TRA_ratio_McPASTCR
BW_1,before,0.0225454083576781
BW_2,before,0.0480039428289797
BW_5,before,0.0518520467220877
BW_8,before,0.0949632144878324
BW_11,before,0.0418070538777781
BW_12,before,0.0473086462730081
BW_13,before,0.0545089219879073
BW_15,before,0.0474374558079303
BW_4,after,0.061744661517492
BW_6,after,0.0626192882002919
BW_7,after,0.0480561986110002
BW_9,after,0.0592720391807658
BW_10,after,0.0608161130002615
BW_14,after,0.048057024603357
BW_16,after,0.0879291022767488
BW_17,after,0.061350851361045
