sample,therapy,TRB_ratio_VDJdb
BW_1,before,0.013136104352804
BW_2,before,0.0194895591647331
BW_5,before,0.0183437829784592
BW_8,before,0.0096675312426314
BW_11,before,0.0164368644878378
BW_12,before,0.0273425412810486
BW_13,before,0.0673645112274185
BW_15,before,0.0761666793341947
BW_4,after,0.0476890822042119
BW_6,after,0.025665842205255
BW_7,after,0.0238504512247529
BW_9,after,0.0265371673294585
BW_10,after,0.0354622312074986
BW_14,after,0.0189108979225619
BW_16,after,0.0687125811178564
BW_17,after,0.0205865323640507
