sample,category,iNKT_Sum_log
BW_13__TRA.csv,cancer,1.146128035678238
BW_12__TRA.csv,cancer,0.8450980400142568
BW_11__TRA.csv,cancer,1.6127838567197357
BW_8__TRA.csv,cancer,1.0
BW_5__TRA.csv,cancer,0.9030899869919436
BW_2__TRA.csv,cancer,0.3010299956639812
BW_1__TRA.csv,cancer,0.6989700043360189
BW_15__TRA.csv,cancer,1.6901960800285136
HL_W_XQF1225__TRA.csv,healthy,1.8325089127062364
WJW__TRA.csv,healthy,0.9542425094393248
WDM__TRA.csv,healthy,0.4771212547196624
BF__TRA.csv,healthy,0.9030899869919436
GH03_W_ZXM1225__TRA.csv,healthy,2.100370545117563
GH03_W_LXZ1225__TRA.csv,healthy,1.3617278360175928
HL_W_LS0121__TRA.csv,healthy,1.0413926851582251
iRNormal_XH__TRA.csv,healthy,0.3010299956639812
LFJ__TRA.csv,healthy,1.6532125137753435
