sample,category,iNKT_Sum_log
BW_13__TRA.csv,before,1.146128035678238
BW_12__TRA.csv,before,0.8450980400142568
BW_11__TRA.csv,before,1.6127838567197357
BW_8__TRA.csv,before,1.0
BW_5__TRA.csv,before,0.9030899869919436
BW_2__TRA.csv,before,0.3010299956639812
BW_1__TRA.csv,before,0.6989700043360189
BW_15__TRA.csv,before,1.6901960800285136
BW_10__TRA.csv,after,1.6232492903979006
BW_14__TRA.csv,after,1.0791812460476249
BW_16__TRA.csv,after,1.462397997898956
BW_7__TRA.csv,after,0.0
BW_6__TRA.csv,after,1.6334684555795864
BW_9__TRA.csv,after,1.6127838567197357
BW_17__TRA.csv,after,0.7781512503836436
BW_4__TRA.csv,after,0.6020599913279624
