,IGHJ1,IGHJ2,IGHJ2P,IGHJ3,IGHJ3P,IGHJ4,IGHJ5,IGHJ6
iRNormal_JH__IGH.csv,0.010178053416024808,0.017405221566469942,0.0005251575472641792,0.12996398919675903,,0.5289336801040312,0.1175852755826748,0.19540862258677602
iRNormal_KW_R__IGH.csv,0.018730886850152905,0.01898572884811417,,0.09123343527013252,,0.5741590214067278,0.13786952089704382,0.15902140672782875
iRNormal_XH__IGH.csv,0.018448506211091845,0.03234884448108247,0.0006253730919014185,0.13238011313567755,,0.5035390431791694,0.14244293470536398,0.17021518519571335
HL_W_XQF1225__IGH.csv,0.0165543219666931,0.027656621728786676,0.00046259582342056567,0.08495241871530532,,0.5469534760771875,0.1481958762886598,0.17522468939994712
HL_W_LS0121__IGH.csv,0.014645038418598542,0.020982465357588496,0.0006238917711959021,0.08517764497274578,6.567281802062127e-05,0.5427858409404348,0.13541735075852104,0.20030209496289486
BW_CT0806__IGH.csv,0.01680910782427702,0.018590936327225707,0.0005518937840991516,0.08174335362200007,,0.5175975275158472,0.14213630199627866,0.22257087893027216
DDY__IGH.csv,0.026692708333333332,0.021484375,0.0006510416666666666,0.10481770833333333,,0.5104166666666666,0.10872395833333333,0.22721354166666666
GH03_HJ625__IGH.csv,0.10773401826484018,0.020976027397260275,0.001355593607305936,0.12400114155251142,,0.5402397260273972,0.0985302511415525,0.10716324200913242
GH03_W_HNY1228__IGH.csv,0.02016004924592182,0.02208371806709757,0.00023084025854108956,0.09495229301323484,,0.5289319790704832,0.14158202523853494,0.19205909510618652
GH03_W_LXZ1225__IGH.csv,0.017130405631914182,0.02205833053972511,0.0004693261816962789,0.08109285953737848,,0.5349983238350654,0.15987261146496815,0.18437814280925244
GH03_W_ZXM1225__IGH.csv,0.015550834049093621,0.022919397857239728,0.0004972650422675286,0.08132543736720763,,0.5189186745626327,0.14985760137425974,0.21093078974729895
BW_1__IGH.csv,0.01825340014316392,0.02066929133858268,0.00035790980672870435,0.07381889763779527,,0.6182891911238368,0.1279527559055118,0.14065855404438082
BW_2__IGH.csv,0.02221638655462185,0.04459033613445378,0.0012342436974789915,0.0970063025210084,,0.545640756302521,0.14571953781512606,0.1435924369747899
BW_4__IGH.csv,0.028605929380413057,0.0384535309793471,0.0005621252498334444,0.14479930046635575,,0.5267321785476349,0.11758827448367755,0.14325866089273817
BW_5__IGH.csv,0.02135797509039775,0.01838489353153877,0.0013820811570912012,0.0718039373242266,,0.531860184813178,0.15353957412615507,0.20167135395741262
BW_17__IGH.csv,0.01444043321299639,0.02882929345023208,0.00041258380608561113,0.0959257349149046,,0.5122743682310469,0.1521918514698298,0.1959257349149046
BF__IGH.csv,0.008241758241758242,0.0009157509157509158,,0.13095238095238096,,0.5137362637362637,0.07692307692307693,0.2692307692307692
BW_9__IGH.csv,0.014658258053519686,0.02403272541332879,0.0006817794443497528,0.073120845406511,,0.5800238622805522,0.14913925345150844,0.1583432759502301
BW_CT0530__IGH.csv,0.01833339348226208,0.01862210834025046,0.0008300552167165903,0.08473781081958931,,0.510411779566206,0.15258580244685843,0.21447905012811722
BW_6__IGH.csv,0.01556455240665767,0.024741340530814216,0.0007197480881691408,0.0753936122357175,,0.6063877642825011,0.14251012145748987,0.13468286099865048
BW_7__IGH.csv,0.032705350414468724,0.02049736247174077,0.0006028636021100226,0.05305199698568199,,0.6590806330067822,0.12675207234363225,0.10730972117558403
BW_8__IGH.csv,0.00944558521560575,0.018480492813141684,0.0004106776180698152,0.04702258726899384,,0.4928131416837782,0.14496919917864476,0.28685831622176594
BW_15__IGH.csv,0.038947749563136604,0.0268572598038444,0.0011019977645188206,0.1074290392153776,,0.5819177909667669,0.12098361171895908,0.1227625509673966
BW_11__IGH.csv,0.020671834625323,0.04171086631306949,0.0014279885760913912,0.0948048415612675,,0.5289269685842514,0.13002855977152183,0.18242894056847545
BW_12__IGH.csv,0.023558624031007752,0.028161337209302327,0.0012112403100775194,0.1041969476744186,,0.5613796027131783,0.12820978682170542,0.1532824612403101
BW_13__IGH.csv,0.03822579809734284,0.03230373452580328,0.002158186432776809,0.11814775807593363,,0.5720402631260899,0.11932181149536422,0.11780244824668934
BW_14__IGH.csv,0.012213827188547407,0.02692722831335568,0.000795318979719366,0.09597795830256206,,0.5367835028120207,0.20777708345168439,0.11952508095211044
BW_16__IGH.csv,0.020190413657255418,0.028248671879663345,0.0009401301259475915,0.0852086193517579,,0.539918223601743,0.13751268429535007,0.1879812570882827
BW_10__IGH.csv,0.014469695340887103,0.030014405194470125,0.0007525101588871449,0.1198211175850874,,0.5575885274451206,0.12373417041130055,0.15361957386424716
iRNormal_097__IGH.csv,0.01548830276715702,0.012896118203616098,,0.0889119305294537,,0.6024236925669108,0.1099734301082237,0.1703065258246387
iRNormal_088_R__IGH.csv,0.017470033154807448,0.01938281050752359,0.0004463147156337669,0.10558530986993114,,0.5540040805916858,0.13306554450395308,0.17004590665646518
SS03F_W_1_HJ__IGH.csv,0.010452867072111207,0.02055278019113814,0.0003801042571676803,0.21796264118158123,,0.5932884448305821,0.07463618592528236,0.08272697654213727
WDM__IGH.csv,0.020105820105820106,0.030070546737213405,0.0003527336860670194,0.13130511463844796,,0.5701058201058201,0.11587301587301588,0.1321869488536155
WGF__IGH.csv,0.015578635014836795,0.020194526871084733,8.242664029014178e-05,0.13270689086712825,,0.52324431256182,0.13724035608308605,0.17095285196175403
WJW__IGH.csv,0.0015174506828528073,0.010622154779969651,,0.10773899848254932,,0.6130500758725341,0.08952959028831563,0.17754172989377845
JGR__IGH.csv,0.023305537737866155,0.019955812130282944,0.00042762454564892024,0.09429121231558692,,0.5391632813056803,0.11674150096215523,0.20611503100277956
LFJ__IGH.csv,0.014272903900762218,0.02540726348826782,0.00037363622776864444,0.12770886265132267,,0.5789119713047377,0.10603796144074129,0.14728740098639964
