,IGHV1-14,IGHV1-17,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-67,IGHV1-68,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1-8,IGHV2-10,IGHV2-26,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-19,IGHV3-20,IGHV3-21,IGHV3-22,IGHV3-23,IGHV3-25,IGHV3-30,IGHV3-33,IGHV3-35,IGHV3-37,IGHV3-38,IGHV3-41,IGHV3-42,IGHV3-43,IGHV3-47,IGHV3-48,IGHV3-49,IGHV3-50,IGHV3-52,IGHV3-53,IGHV3-54,IGHV3-57,IGHV3-6,IGHV3-60,IGHV3-62,IGHV3-64,IGHV3-65,IGHV3-66,IGHV3-7,IGHV3-71,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3-75,IGHV3-76,IGHV3-9,IGHV4-28,IGHV4-30-2,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-55,IGHV4-59,IGHV4-61,IGHV4-80,IGHV5-10-1,IGHV5-51,IGHV5-78,IGHV6-1,IGHV7-27,IGHV7-34-1,IGHV7-4-1,IGHV7-56,IGHV7-81
iRNormal_JH__IGH.csv,5.0015004501350405e-05,0.00022506752025607682,0.052740822246674,0.0336851055316595,0.003551065319595879,0.00990297089126738,,0.050290087026107835,0.0019505851755526658,2.5007502250675202e-05,7.502250675202561e-05,0.0155296588976693,5.0015004501350405e-05,0.00030009002700810244,0.004001200360108033,5.0015004501350405e-05,0.0031759527858357508,0.011753526057817345,0.010028008402520756,0.02163148944683405,0.0014504351305391616,0.0249074722416725,,5.0015004501350405e-05,0.0017505251575472643,0.04143743122936881,2.5007502250675202e-05,0.08887666299889967,2.5007502250675202e-05,0.09082724817445234,0.0007252175652695808,2.5007502250675202e-05,,0.00017505251575472642,2.5007502250675202e-05,,0.01950585175552666,0.00010003000900270081,0.0047014104231269385,0.009927978393518055,,2.5007502250675202e-05,0.034185255576673,5.0015004501350405e-05,,,2.5007502250675202e-05,5.0015004501350405e-05,0.009402820846253877,0.00042512753826147844,0.008977693307992397,0.018955686706011804,0.00010003000900270081,0.00500150045013504,0.004201260378113434,0.014254276282884866,2.5007502250675202e-05,,0.01913073922176653,0.0006752025607682304,0.00035010503150945284,5.0015004501350405e-05,0.012128638591577473,0.04801440432129639,0.07824847454236271,0.00012503751125337602,0.11085825747724318,0.0005001500450135041,,0.019680904271281385,0.06481944583375013,,0.018880664199259777,,,0.027283184955486647,2.5007502250675202e-05,
iRNormal_KW_R__IGH.csv,0.00012742099898063202,0.0014016309887869521,0.053007135575942915,0.07212028542303772,0.004077471967380225,0.0011467889908256881,0.00025484199796126404,0.0386085626911315,0.005351681957186544,,,0.023955147808358817,0.006498470948012232,0.00012742099898063202,0.011595310907237514,,0.004204892966360856,0.023318042813455658,0.013124362895005097,0.027522935779816515,0.00445973496432212,0.03249235474006116,,,0.005224260958205913,0.03274719673802243,,0.11595310907237513,,0.08906727828746178,0.013634046890927625,,,,0.00012742099898063202,,0.007900101936799185,,0.018603465851172275,0.006880733944954129,,,0.020387359836901122,,,,,,0.016946992864424058,0.0005096839959225281,0.009174311926605505,0.01962283384301733,,0.0045871559633027525,0.006498470948012232,0.017074413863404688,,,0.016055045871559634,0.00025484199796126404,0.00382262996941896,0.01643730886850153,0.03211009174311927,0.023700305810397553,0.06638634046890927,0.00012742099898063202,0.07670744138634047,,,0.008537206931702344,0.03249235474006116,,0.015035677879714576,,,,,
iRNormal_XH__IGH.csv,8.527814889564797e-05,0.0006253730919014185,0.0722874442138776,0.045538531510276016,0.003666960402512863,0.024787515279001675,0.0005685209926376532,0.06199721424713608,0.004690298189260638,0.00042639074447823987,0.0001989823474231786,0.04809687597714546,0.006253730919014185,0.027004747150288524,0.0003979646948463572,,0.0030415873106114442,0.01625970038943688,0.0037806646010403932,0.017368316325080305,0.00790244179766338,0.02794280678814065,,,0.010347082066005287,0.02686261690212911,5.6852099263765316e-05,0.09553995281275761,,0.07908127007589755,0.006879104010915603,5.6852099263765316e-05,,0.0001421302481594133,5.6852099263765316e-05,,0.00545780152932147,0.0002842604963188266,0.019500270047471503,0.0047471502885244035,8.527814889564797e-05,5.6852099263765316e-05,0.016515534836123825,,5.6852099263765316e-05,,0.00017055629779129595,,0.011285141703857415,5.6852099263765316e-05,0.012535887887660252,0.01932971374968021,0.00031268654595070924,0.0034395520054578015,0.003297421757298388,0.013644503823303676,,2.8426049631882658e-05,5.6852099263765316e-05,0.0033826999061940363,0.0034395520054578015,0.012678018135819666,0.029221979021575372,0.07913812217516132,0.014298302964836977,0.000909633588220245,0.07820006253730918,0.00017055629779129595,2.8426049631882658e-05,0.017425168424344068,0.04042184257653714,2.8426049631882658e-05,0.015236362602689105,,,0.0025867705165013217,,2.8426049631882658e-05
HL_W_XQF1225__IGH.csv,0.0002643404705260375,0.0006278086174993392,0.06106264869151467,0.006608511763150938,0.00591461802802009,0.039188474755485064,0.00046259582342056567,0.029209621993127148,0.0021147237642083,0.00013217023526301876,,0.02768966428760243,,0.00033042558815754694,0.032414750198255356,0.00023129791171028284,0.006575469204335184,0.04318662437219138,0.008062384351044146,0.014637853555379329,0.006178958498546127,0.012556172349986783,,,0.006344171292624901,0.031159132963256675,,0.07622918318794608,,0.06535818133756278,0.021246365318530268,3.304255881575469e-05,,0.0007930214115781126,,,0.006013745704467354,,0.01592651334919376,0.0030399154110494317,,3.304255881575469e-05,0.0161908538197198,,,0.00013217023526301876,6.608511763150938e-05,3.304255881575469e-05,0.0031720856463124504,0.00023129791171028284,0.000859106529209622,0.02894528152260111,0.00033042558815754694,0.005055511498810468,0.005220724292889241,0.022997620935765267,3.304255881575469e-05,,0.03264604810996564,0.004890298704731694,0.003436426116838488,0.04348400740153317,0.0929156753899022,0.05128205128205128,0.0016521279407877346,0.00902061855670103,0.06958762886597938,0.0006608511763150939,,0.00013217023526301876,0.033637324874438275,,0.0260375363468147,,,0.023691514670896113,,3.304255881575469e-05
HL_W_LS0121__IGH.csv,0.0002626912720824851,0.0005910553621855914,0.0509621067840021,0.0050568069875878375,0.009259867340907599,0.0450843895711565,0.00016418204505155317,0.03904249031325934,0.003513495764103238,,,0.01714060550338215,,0.023051159125238065,0.052800945688579494,0.00013134563604124254,0.004071714717278518,0.04124252971695015,0.015794312733959415,0.012346489787876797,0.003513495764103238,0.03549615814014579,,6.567281802062127e-05,0.004038878308268208,0.028272148157877455,6.567281802062127e-05,0.050633742693898996,,0.05739804295002299,0.028699021475011494,,,0.0008865830432783871,0.00022985486307217442,,0.0025612399028042293,3.2836409010310635e-05,0.018322716227753333,0.007847901753464242,,9.85092270309319e-05,0.02226308530899061,,,3.2836409010310635e-05,3.2836409010310635e-05,3.2836409010310635e-05,0.013036054377093322,3.2836409010310635e-05,0.0014776384054639784,0.03369015564457871,0.0001970184540618638,0.004367242398371314,0.003480659355092927,0.017501806002495568,,,0.020424246404413215,0.003053786037958889,0.0030866224469691993,0.04058580153674394,0.030406514743547646,0.06038615616996125,0.0007224009982268339,0.013167400013134564,0.062093649438497406,0.014776384054639784,0.00013134563604124254,0.013692782557299533,0.03595586786629014,,0.015958494779010967,,,0.03070204242464044,,3.2836409010310635e-05
BW_CT0806__IGH.csv,0.00012614715065123466,0.000378441451953704,0.05698697530669526,0.006591188621527011,0.01502727932132833,0.05449556908133338,0.00015768393831404334,0.03651960011353243,0.0030117632217982276,9.4610362988426e-05,3.1536787662808665e-05,0.021113879340250403,,0.02084581664511653,0.01838594720741745,0.00012614715065123466,0.0052666435396890475,0.04274811567693715,0.020751206282128103,0.012425494339146614,0.003216752341606484,0.029502664858557508,1.5768393831404333e-05,0.00012614715065123466,0.003405973067583336,0.023967958623734586,9.4610362988426e-05,0.0487558737267022,,0.06094484215837775,0.023573748777949478,9.4610362988426e-05,1.5768393831404333e-05,0.0005834305717619603,0.00011037875681983034,,0.0029486896464726103,1.5768393831404333e-05,0.02084581664511653,0.005455864265665899,,0.00017345233214544767,0.017707906272667065,,,,4.7305181494213e-05,,0.008593774638115361,0.00015768393831404334,0.0007726512977388123,0.022943013024693305,0.000141915544482639,0.0028225424958213756,0.003500583430571762,0.01561070989309029,,,0.01769213787883566,0.003279825916932101,0.004809360118578322,0.0444037970292346,0.04158125453341323,0.06044025355577281,0.000520356996436343,0.018795925447033963,0.07173042353905831,0.007710744583556719,3.1536787662808665e-05,0.016903718187265444,0.04613832035068908,1.5768393831404333e-05,0.014522690718723391,1.5768393831404333e-05,,0.04005172033176701,,0.00012614715065123466
DDY__IGH.csv,,,0.0546875,0.0032552083333333335,0.0026041666666666665,0.10091145833333333,,0.08528645833333333,,,,0.027994791666666668,,,0.057942708333333336,,,0.024739583333333332,0.010416666666666666,0.010416666666666666,0.016276041666666668,0.031901041666666664,,,,0.036458333333333336,,0.029947916666666668,,0.04296875,0.01171875,,,,,,0.006510416666666667,,0.009765625,0.009114583333333334,,,0.006510416666666667,,,,,,0.022135416666666668,0.0032552083333333335,0.0013020833333333333,0.03515625,,0.0026041666666666665,0.0026041666666666665,0.016927083333333332,,,0.009114583333333334,0.0026041666666666665,,0.001953125,0.022786458333333332,0.045572916666666664,0.0026041666666666665,0.005859375,0.025390625,0.0013020833333333333,,0.009114583333333334,0.035807291666666664,,0.07421875,,,0.10026041666666667,,
GH03_HJ625__IGH.csv,0.00014269406392694063,0.00014269406392694063,0.16160102739726026,0.041880707762557076,0.002069063926940639,0.010273972602739725,,0.023972602739726026,0.0016409817351598173,,,0.0617865296803653,,0.0009275114155251141,0.008276255707762557,,0.009417808219178082,0.01983447488584475,0.002925228310502283,0.014697488584474885,0.001355593607305936,0.019549086757990868,,,0.0004994292237442922,0.016623858447488586,,0.034317922374429224,,0.04987157534246575,,,,0.0010702054794520547,,,0.0046375570776255705,,0.008276255707762557,0.003924086757990867,,,0.016695205479452056,,,,,,0.027325913242009132,,0.012200342465753425,0.013912671232876712,0.0004280821917808219,0.009917237442922375,0.00021404109589041095,0.013056506849315069,,,0.0410958904109589,0.00028538812785388126,0.00021404109589041095,0.00014269406392694063,0.011914954337899544,0.046090182648401826,0.009988584474885844,,0.06670947488584475,0.048016552511415525,0.00021404109589041095,0.004352168949771689,0.1540382420091324,,0.018550228310502282,,,0.0048515981735159815,,7.134703196347032e-05
GH03_W_HNY1228__IGH.csv,0.00023084025854108956,0.00023084025854108956,0.05694059710680209,0.0332409972299169,0.006078793474915359,0.022545398584179747,0.0003077870113881194,0.02693136349646045,0.001615881809787627,,,0.019621421975992613,,0.0023084025854108957,0.008233302554632194,,0.0020006155740227762,0.030009233610341645,0.023007079101261926,0.01577408433364112,0.0024622960911049553,0.03139427516158818,,0.00023084025854108956,0.002077562326869806,0.03516466605109264,7.694675284702985e-05,0.0693290243151739,,0.06332717759310558,7.694675284702985e-05,,,7.694675284702985e-05,7.694675284702985e-05,,0.006848261003385657,,0.018467220683287166,0.013234841489689135,,0.0001538935056940597,0.016466605109264388,,,,,,0.012157586949830717,0.0001538935056940597,0.0052323791935980305,0.03254847645429363,0.0003077870113881194,0.010464758387196061,0.004232071406586642,0.030086180363188674,,,0.015081563558017852,0.0050015389350569405,7.694675284702985e-05,7.694675284702985e-05,0.039935364727608495,0.0724068944290551,0.014696829793782703,0.010003077870113881,0.09156663588796553,0.04362880886426593,7.694675284702985e-05,0.007694675284702986,0.045783317943982764,,0.028778085564789165,,,0.02146814404432133,,
GH03_W_LXZ1225__IGH.csv,0.0002011397921555481,0.00036875628561850484,0.04937981897418706,0.040127388535031845,0.005095541401273885,0.027422058330539727,0.00016761649346295676,0.03965806235333557,0.003754609453570231,0.0001340931947703654,,0.020214549111632583,,0.024036205162588,0.019778746228628897,0.00010056989607777405,0.0048273550117331546,0.03687562856185048,0.019376466644317802,0.015420717398592021,0.0031847133757961785,0.030439155212872947,3.352329869259135e-05,3.352329869259135e-05,0.004492122024807241,0.028863560174321155,3.352329869259135e-05,0.04887696949379819,,0.09205497820985585,0.006000670465973852,3.352329869259135e-05,,0.0008716057660073752,,,0.007576265504525646,0.00010056989607777405,0.016426416359369762,0.008514917867918203,,3.352329869259135e-05,0.01314113308749581,,,6.70465973851827e-05,3.352329869259135e-05,,0.008280254777070064,0.0001340931947703654,0.0008380824673147837,0.01632584646329199,0.00016761649346295676,0.0014750251424740194,0.0029500502849480388,0.011766677841099565,,,0.01739859202145491,0.004659738518270198,0.00496144820650352,0.015957090177673484,0.06808581964465303,0.06557157224270868,0.012001340931947704,0.01592356687898089,0.07814280925243045,0.0049949715051961115,,0.011364398256788468,0.04173650687227623,,0.022292993630573247,0.00010056989607777405,,0.027086825343613813,3.352329869259135e-05,
