,IGLV1-36,IGLV1-40,IGLV1-41,IGLV1-44,IGLV1-47,IGLV1-50,IGLV1-51,IGLV1-62,IGLV10-54,IGLV2-11,IGLV2-14,IGLV2-18,IGLV2-23,IGLV2-28,IGLV2-33,IGLV2-34,IGLV2-5,IGLV2-8,IGLV3-1,IGLV3-10,IGLV3-12,IGLV3-13,IGLV3-16,IGLV3-19,IGLV3-2,IGLV3-21,IGLV3-22,IGLV3-25,IGLV3-26,IGLV3-27,IGLV3-32,IGLV3-6,IGLV3-9,IGLV4-3,IGLV4-60,IGLV4-69,IGLV5-37,IGLV5-45,IGLV5-48,IGLV5-52,IGLV6-57,IGLV7-35,IGLV7-43,IGLV7-46,IGLV8-61,IGLV9-49,IGLVI-70
BW_15__IGL.csv,0.008104005484281657,0.07800411321124277,0.0005141514053471746,0.07296053275878954,0.04279698364508863,0.00046518460483791987,0.18134854568602488,,0.0012731368132406229,0.06328958965821173,0.15052394476544903,0.007369503476642836,0.03398295955342278,,,,0.0011752032122221135,0.06723141709920674,0.04316423464890804,0.01848496719224366,0.00014690040152776418,,0.0025952404269905006,0.047277445891685435,,0.03807168739594555,0.00022035060229164626,0.045490157673097636,,0.006781901870531779,,0.0003917344040740378,0.0024728234257173636,0.00034276760356478307,0.006463617667221624,0.02061502301439624,0.001077269611203604,0.00269317402800901,9.793360101850946e-05,0.0006855352071295661,0.02810694349231221,0.0001958672020370189,0.00631671726569386,0.009132308294976006,0.007222603075115072,0.0027666242287728918,0.00014690040152776418
BW_17__IGL.csv,0.0027908831151571534,0.061399428533457374,0.0013289919595986443,0.056083460695062794,0.0474450129576716,0.00013289919595986445,0.1212705163133763,,0.015017609143464682,0.07435710013954415,0.21037942720446542,0.0027908831151571534,0.028041730347531397,,,,0.004119875074755797,0.03827496843644096,0.05262808160010632,0.007907502159611935,0.0005315967838394578,6.644959797993223e-05,0.004717921456575187,0.09249784038806565,,0.028905575121270517,0.00013289919595986445,0.03594923250714333,,0.003056681507076882,,0.00013289919595986445,0.0021928367333377634,0.0010631935676789156,0.003920526280816001,0.023523157684896007,0.0025250847232374243,0.004917270250514984,0.00019934879393979665,0.0013954415575785767,0.04259419230513655,,0.0068443085919330186,0.006910758189912951,0.010432586882849358,0.0033889294969765434,0.00013289919595986445
BW_16__IGL.csv,0.005437158469945355,0.08650273224043716,0.0005191256830601093,0.08183060109289618,0.0453551912568306,0.000546448087431694,0.11202185792349727,,0.004699453551912569,0.05734972677595628,0.10557377049180328,0.00453551912568306,0.024726775956284152,,,,0.0022404371584699456,0.11300546448087431,0.04592896174863388,0.019972677595628416,8.19672131147541e-05,,0.0033879781420765027,0.0496448087431694,,0.04254098360655738,0.0006010928961748634,0.05144808743169399,,0.0042622950819672135,2.73224043715847e-05,0.0001639344262295082,0.004808743169398907,0.0005737704918032787,0.0307103825136612,0.02516393442622951,0.0014480874316939892,0.013415300546448088,0.001010928961748634,0.003114754098360656,0.023278688524590165,5.46448087431694e-05,0.00773224043715847,0.006229508196721312,0.015846994535519125,0.003989071038251366,0.0002185792349726776
LFJ__IGL.csv,0.0014315604008369122,0.062493117498072896,0.0009360202620856733,0.043827772271776234,0.0370003303600925,5.506001541680432e-05,0.12537165510406342,,0.030393128510075983,0.10268692875234005,0.12922585618323973,0.011837903314612928,0.04410307234886026,,,,0.00203722057042176,0.0918951657306464,0.050710274198876776,0.017894505010461404,0.00022024006166721728,,0.004019381125426715,0.03749587049884374,,0.03380684946591785,5.506001541680432e-05,0.061061557097235986,,0.0050655214183459975,,0.0003303600925008259,0.00242264067833939,0.0009360202620856733,0.001927100539588151,0.02257460632088977,0.0037440810483426934,0.005285761480013214,,0.0014315604008369122,0.033091069265499394,,0.003633961017509085,0.00203722057042176,0.019821605550049554,0.009084902543772711,5.506001541680432e-05
iRNormal_JH__IGL.csv,0.0012148481439820022,0.1173453318335208,0.0007199100112485939,0.02434195725534308,0.016647919010123736,0.00035995500562429695,0.3172553430821147,,0.01813273340832396,0.028166479190101238,0.11707536557930259,0.003734533183352081,0.031901012373453316,,,,0.0030596175478065243,0.051698537682789654,0.019797525309336334,0.015523059617547807,0.0002699662542182227,,0.0008098987626546681,0.08661417322834646,,0.024611923509561304,4.499437570303712e-05,0.025556805399325085,,0.002924634420697413,,0.00013498312710911135,0.00530933633295838,0.00040494938132733406,0.010123734533183352,0.019482564679415074,0.006299212598425197,0.0016647919010123735,0.00040494938132733406,0.00017997750281214847,0.04449943757030371,,0.0008998875140607424,0.0017097862767154106,4.499437570303712e-05,0.0008998875140607424,0.00013498312710911135
iRNormal_KW_R__IGL.csv,0.00246669955599408,0.0710409472126295,0.002713369511593488,0.07252096694622595,0.0402072027627035,,0.2131228416378885,,0.018006906758756783,0.034040453872718306,0.13369511593487912,0.001726689689195856,0.03305377405032067,,,0.000246669955599408,0.0046867291563887515,0.04292057227429699,0.023680315737543166,0.01603354711396152,0.00123334977799704,,0.003453379378391712,0.06882091761223483,,0.06314750863344845,,0.046127281697089295,,0.006906758756783424,,0.0014800197335964479,0.004440059200789344,0.001726689689195856,0.0046867291563887515,0.012086827824370991,0.011593487913172176,0.006906758756783424,0.000246669955599408,0.0029600394671928957,0.022446965959546126,,0.00493339911198816,0.008386778490379871,0.01603354711396152,0.002220029600394672,
iRNormal_XH__IGL.csv,0.0014187342122564794,0.06837606837606838,0.002110799681649884,0.035295338939063635,0.01775147928994083,0.00024222291428769162,0.18114813661372367,3.460327346967023e-05,0.015433059967472924,0.027648015502266515,0.12253019135610228,0.008304785632720855,0.09848091629468148,3.460327346967023e-05,,3.460327346967023e-05,0.003148897885739991,0.06360081663725388,0.035918197861517696,0.015433059967472924,0.00024222291428769162,6.920654693934046e-05,0.0033565175265580123,0.036956296065607804,,0.021869268832831586,0.0010034949306204368,0.04346171147790581,,0.0007612720163327451,3.460327346967023e-05,6.920654693934046e-05,0.005778746669434929,0.00027682618775736183,0.00595176303678328,0.01190352607356656,6.920654693934046e-05,0.003806360081663725,0.00010380982040901069,0.0020415931347105435,0.06045191875151389,,0.04837537631059898,0.009965742759265027,0.04571092425343438,0.0007266687428630748,6.920654693934046e-05
HL_W_LS0121__IGL.csv,0.0044483465027802165,0.08709394205443372,0.0006438396254023998,0.06485220954053263,0.033421129645888205,0.0001170617500731636,0.15194615159496636,,0.05952589991220369,0.03306994439566872,0.10359964881474978,0.006204272753877671,0.038981562774363474,,,,0.0021656423763535266,0.0987415861867135,0.029733684518583554,0.02446590576529119,0.00040971612525607257,,0.0031021363769388353,0.03745976002341235,,0.05285338015803336,5.85308750365818e-05,0.04975124378109453,,0.00556043312847527,,0.000292654375182909,0.005150717003219198,0.000292654375182909,0.007082235879426397,0.010184372256365233,0.004214223002633889,0.04038630377524144,0.0001170617500731636,0.0018144571261340357,0.023880597014925373,0.0001170617500731636,0.004975124378109453,0.0032777290020485805,0.0032777290020485805,0.006672519754170325,5.85308750365818e-05
HL_W_XQF1225__IGL.csv,0.004810047655101768,0.1232797399011268,0.0007125996526076694,0.07036921569500734,0.04832316394245758,0.000267224869727876,0.13575023382176102,,0.01990825279472676,0.04208791698214047,0.11263528259029974,0.007304146439228611,0.047387876898410015,,,,0.002137798957823008,0.05264329933639157,0.028325836191154856,0.015231817574488932,4.4537478287979335e-05,,0.0031176234801585535,0.045250077940587004,,0.03946020576314969,0.00017814991315191734,0.0588340088184207,,0.004810047655101768,,0.00017814991315191734,0.007215071482652652,0.002271411392686946,0.011846969224602504,0.022580501492005522,0.0027613236538547186,0.009263795483899702,0.00022268739143989667,0.0024940987841268426,0.039950118024317464,0.0003117623480158553,0.003919298089342181,0.009085645570747784,0.017369616532311942,0.007437758874092549,0.00022268739143989667
BW_CT0806__IGL.csv,0.0020503207287425676,0.08365308573269675,0.0011130312527459652,0.07466096482235435,0.04106499516710114,0.00029290296124893824,0.09560352655165344,,0.03916112591898304,0.03658357985999239,0.1261825957060426,0.009255733575466447,0.045575700770334786,,2.929029612489382e-05,2.929029612489382e-05,0.0023725139861163996,0.07304999853548519,0.04870976245569843,0.017720629155560764,0.00020503207287425677,2.929029612489382e-05,0.0048036085644825866,0.03725725667086494,,0.06145104127002724,8.787088837468147e-05,0.06432149029026683,,0.005799478632728977,,0.0002636126651240444,0.012770569110453706,0.0036612870156117277,0.008318444099469845,0.03025687589701532,0.004305673530359392,0.005155092117981313,0.00014645148062446912,0.0007615476992472394,0.023871591341788467,5.858059224978764e-05,0.00834773439559474,0.011891860226706892,0.004745027972232799,0.014088632436073929,0.00029290296124893824
