,IGKJ1,IGKJ2,IGKJ3,IGKJ4,IGKJ5
BW_15__IGK.csv,0.35936900259874277,0.2538147404718008,0.09848165463778057,0.17997394964857194,0.10836065264310389
iRNormal_JH__IGK.csv,0.296194873113007,0.3112117287673129,0.15868041481715817,0.1669747807776339,0.06693820252488804
iRNormal_KW_R__IGK.csv,0.3474156961254472,0.24579432138235519,0.11456192433584532,0.1679226611859633,0.12430539697038898
iRNormal_XH__IGK.csv,0.34195764061169326,0.2951086755285667,0.07717443625726664,0.2017532491576258,0.08400599844484763
HL_W_LS0121__IGK.csv,0.3027814120269419,0.28231655117830434,0.10503787695239941,0.20460015183085398,0.10526400801150038
HL_W_XQF1225__IGK.csv,0.3456379364690225,0.30942457885336044,0.0862256155220117,0.16227716877385914,0.09643470038174623
BW_CT0806__IGK.csv,0.33255050647954276,0.2702167392903627,0.1121140097711882,0.19735725199479373,0.08776149246411258
DDY__IGK.csv,0.3470650369699713,0.2981741361098536,0.10902369096121925,0.17315527387958352,0.07258186207937227
GH03_HJ625__IGK.csv,0.43911651992362954,0.27217285001991676,0.06268972432454707,0.14871639904948972,0.07730450668241694
GH03_W_HNY1228__IGK.csv,0.32353440230762703,0.23979808263340968,0.08814795961652669,0.17875625689318742,0.16976329854924918
GH03_W_LXZ1225__IGK.csv,0.362094395280236,0.24720099222311612,0.11385425046929472,0.16968356127648163,0.10716680075087155
GH03_W_ZXM1225__IGK.csv,0.28828091507852993,0.33364511477454306,0.0943528586460891,0.18909544409369033,0.09462566740714759
BW_1__IGK.csv,0.3289648622981956,0.29335232668566,0.10560303893637227,0.18091168091168092,0.09116809116809117
BW_2__IGK.csv,0.5253503268619605,0.18449175846794777,0.08411138006553706,0.11994269624067579,0.08610383836387887
BW_4__IGK.csv,0.3245437142898894,0.2538249090351146,0.11512720471117735,0.2098037496529452,0.0967004223108734
BW_5__IGK.csv,0.36766170008239496,0.2745554106014831,0.10055616588849217,0.17496910189508377,0.08225762153254601
BW_17__IGK.csv,0.3164802604123195,0.24624405308404976,0.10756614639846424,0.223019781320424,0.1066897587847425
BW_9__IGK.csv,0.32912967446865754,0.23177293516276568,0.07011702986279257,0.30098197471078825,0.06799838579499597
BW_CT0530__IGK.csv,0.3415412347904461,0.2617214961694457,0.11183415953132042,0.19594411897251013,0.08895899053627761
BW_6__IGK.csv,0.35558112773302647,0.2542194092827004,0.08422036823935558,0.21442270809359418,0.09155638665132336
BW_7__IGK.csv,0.3599024195957383,0.2615254406053968,0.05585980284775466,0.21796276013143484,0.1047495768196754
BW_8__IGK.csv,0.341372480484679,0.3255854596295002,0.07133286729581731,0.18912384946988234,0.07258534312012117
BW_11__IGK.csv,0.26587924745046043,0.3215444496721802,0.11040163268298943,0.2045130975149245,0.09766157267944542
BW_12__IGK.csv,0.316648887164816,0.27087475149105367,0.1291276729864714,0.20540173592590796,0.07794695243175095
BW_13__IGK.csv,0.3271014203613008,0.2621972802687553,0.1004099547569554,0.1805152429802488,0.12977610163273975
BW_14__IGK.csv,0.1897464653342412,0.22544959346337165,0.26956382424800734,0.2679376777346097,0.0473024392197701
BW_16__IGK.csv,0.34862138759878725,0.2514676364125003,0.09942134392663078,0.21248183826184816,0.08800779380023348
BF__IGK.csv,0.32707562136435747,0.25515600211528294,0.0965097831835008,0.21866737176097303,0.10259122157588578
BW_10__IGK.csv,0.39858006545010816,0.2091741083809418,0.15461756059681625,0.16268234511065505,0.07494592046147873
iRNormal_097__IGK.csv,0.32646163300650854,0.2627727031481326,0.1314003184446493,0.1748372859577083,0.1045280594430012
iRNormal_088_R__IGK.csv,0.3429667677455288,0.26000990160282195,0.10817501082987808,0.19190543969305032,0.09694288012872083
SS03F_W_1_HJ__IGK.csv,0.2778051071061223,0.219936496578865,0.15211305397790797,0.27986226018514376,0.07028308215196101
WDM__IGK.csv,0.2491157467813183,0.18552811532233976,0.29701476113373054,0.19503874994104978,0.07330262682156163
WGF__IGK.csv,0.3176682112525763,0.24917045504377952,0.11449913025683005,0.2201546534913976,0.09850754995541652
WJW__IGK.csv,0.32520083308539127,0.26628979470395714,0.08107706039869086,0.22225528116631954,0.10517703064564118
JGR__IGK.csv,0.3129728907646097,0.2857876126383027,0.09545264438614501,0.20651306033991104,0.09927379187103152
LFJ__IGK.csv,0.3334273425932454,0.2631495452302052,0.10669463442149052,0.21132694070365932,0.08540153705139956
