sample,Category,TRAV14DV4;TRDJ1,TRAV14DV4;TRDJ2,TRAV14DV4;TRDJ3,TRAV23DV6;TRDJ1,TRAV23DV6;TRDJ2,TRAV23DV6;TRDJ3,TRAV23DV6;TRDJ4,TRAV29DV5;TRDJ1,TRAV29DV5;TRDJ2,TRAV29DV5;TRDJ3,TRAV29DV5;TRDJ4,TRAV36DV7;TRDJ1,TRAV36DV7;TRDJ2,TRAV36DV7;TRDJ3,TRAV36DV7;TRDJ4,TRAV38-2DV8;TRDJ1,TRAV38-2DV8;TRDJ2,TRAV38-2DV8;TRDJ3,TRAV38-2DV8;TRDJ4,TRDV1;TRDJ1,TRDV1;TRDJ2,TRDV1;TRDJ3,TRDV1;TRDJ4,TRDV2;TRDJ1,TRDV2;TRDJ2,TRDV2;TRDJ3,TRDV2;TRDJ4,TRDV3;TRDJ1,TRDV3;TRDJ2,TRDV3;TRDJ3,TRDV3;TRDJ4
BW_11__TRD.csv,cancer,0.0015037593984962,,,0.000501253132832,,,,0.0155388471177944,0.000501253132832,,,0.0015037593984962,,,,0.006516290726817,,,,0.4466165413533834,0.0912280701754386,0.0045112781954887,0.0025062656641604,0.2295739348370927,0.0020050125313283,0.0145363408521303,,0.1789473684210526,0.000501253132832,0.0035087719298245,
BW_1__TRD.csv,cancer,,,0.0004454342984409,0.0004454342984409,,,,0.0044543429844097,,,,0.0008908685968819,,,,0.0026726057906458,,0.0004454342984409,,0.0685968819599109,0.0017817371937639,0.0008908685968819,0.0004454342984409,0.2423162583518931,0.0048997772828507,0.1167037861915367,0.0008908685968819,0.5518930957683742,0.0008908685968819,0.0013363028953229,
BW_2__TRD.csv,cancer,,,,0.002820874471086,,,,0.005641748942172,,,,,,,,0.002820874471086,,0.001410437235543,,0.8053596614950634,0.0098730606488011,0.0098730606488011,,0.1029619181946403,0.001410437235543,0.0239774330042313,,0.0282087447108603,0.002820874471086,0.002820874471086,
BW_8__TRD.csv,cancer,0.0042372881355932,,,,,,,0.0084745762711864,,0.0042372881355932,,,,,,0.0084745762711864,,,,0.8305084745762712,0.0042372881355932,0.0042372881355932,,0.0932203389830508,0.0169491525423728,0.0254237288135593,,,,,
BW_5__TRD.csv,cancer,0.0096818810511756,,0.0013831258644536,,,,,0.0276625172890733,,0.0013831258644536,,0.0082987551867219,,,,0.0082987551867219,,,,0.636237897648686,0.0124481327800829,0.0013831258644536,0.0027662517289073,0.2420470262793914,0.0069156293222683,0.0069156293222683,0.0013831258644536,0.0290456431535269,0.0027662517289073,,0.0013831258644536
BW_15__TRD.csv,cancer,0.0005649717514124,,,,,,,0.0460451977401129,,,,,,,,0.0028248587570621,0.0002824858757062,,0.0002824858757062,0.4799435028248587,0.0022598870056497,0.3878531073446327,0.0005649717514124,0.0449152542372881,0.001412429378531,0.0192090395480226,,0.0138418079096045,,,
BW_12__TRD.csv,cancer,0.0063897763578274,0.0010649627263045,0.0010649627263045,0.0021299254526091,0.0010649627263045,0.0031948881789137,,0.0127795527156549,,0.0010649627263045,,0.0063897763578274,,,,0.0127795527156549,0.0010649627263045,,,0.4845580404685836,0.0095846645367412,0.0063897763578274,0.0021299254526091,0.1597444089456869,,0.0319488817891373,,0.2545260915867944,,0.0021299254526091,
BW_13__TRD.csv,cancer,0.0018885741265344,,,0.0009442870632672,,,,0.0321057601510859,,,,0.0009442870632672,,,,0.0066100094428706,,,,0.4702549575070821,0.0018885741265344,0.380547686496695,,0.0604343720491029,0.0047214353163361,0.0254957507082152,,0.0141643059490084,,,
WDM__TRD.csv,healthy,0.0024174053182917,,,0.0016116035455278,,0.0008058017727639,0.0008058017727639,0.008058017727639,0.0008058017727639,,,,,,0.0016116035455278,0.0048348106365834,,,,0.4504431909750201,0.0072522159548751,0.0040290088638195,0.0064464141821112,0.3400483481063658,0.0056406124093473,0.088638195004029,,0.0757453666398066,,0.0008058017727639,
LFJ__TRD.csv,healthy,0.0022068095838587,,,0.0015762925598991,,0.0009457755359394,0.0006305170239596,0.0104035308953341,0.0003152585119798,,0.0003152585119798,0.0028373266078184,,,,0.0059899117276166,,0.0006305170239596,,0.6551071878940732,0.0271122320302648,0.0075662042875157,0.0078814627994955,0.2014501891551071,0.0037831021437578,0.0321563682219419,0.0009457755359394,0.0359394703656998,0.0009457755359394,0.0009457755359394,0.0003152585119798
