sample,Category,TRAV14DV4,TRAV23DV6,TRAV29DV5,TRAV36DV7,TRAV38-2DV8,TRDV1,TRDV2,TRDV3
BW_11__TRD.csv,cancer,0.0015037593984962,0.000501253132832,0.0160401002506265,0.0015037593984962,0.006516290726817,0.5448621553884712,0.2461152882205513,0.1829573934837092
BW_1__TRD.csv,cancer,0.0004454342984409,0.0004454342984409,0.0044543429844097,0.0008908685968819,0.0031180400890868,0.0717149220489977,0.3648106904231626,0.5541202672605791
BW_2__TRD.csv,cancer,,0.002820874471086,0.005641748942172,,0.004231311706629,0.8251057827926658,0.1283497884344146,0.0338504936530324
BW_8__TRD.csv,cancer,0.0042372881355932,,0.0127118644067796,,0.0084745762711864,0.8389830508474576,0.135593220338983,
BW_5__TRD.csv,cancer,0.0110650069156293,,0.0290456431535269,0.0082987551867219,0.0082987551867219,0.65283540802213,0.2572614107883817,0.0331950207468879
BW_15__TRD.csv,cancer,0.0005649717514124,,0.0460451977401129,,0.0033898305084745,0.8706214689265537,0.0655367231638418,0.0138418079096045
BW_12__TRD.csv,cancer,0.0085197018104366,0.0063897763578274,0.0138445154419595,0.0063897763578274,0.0138445154419595,0.5026624068157615,0.1916932907348242,0.2566560170394036
BW_13__TRD.csv,cancer,0.0018885741265344,0.0009442870632672,0.0321057601510859,0.0009442870632672,0.0066100094428706,0.8526912181303116,0.0906515580736544,0.0141643059490084
WDM__TRD.csv,healthy,0.0024174053182917,0.0032232070910556,0.0088638195004029,0.0016116035455278,0.0048348106365834,0.4681708299758259,0.4343271555197421,0.0765511684125705
LFJ__TRD.csv,healthy,0.0022068095838587,0.0031525851197982,0.0110340479192938,0.0028373266078184,0.0066204287515762,0.6976670870113493,0.2383354350567465,0.0381462799495586
BF__TRD.csv,healthy,0.0046583850931677,,0.0217391304347826,0.0046583850931677,0.015527950310559,0.5372670807453416,0.3695652173913043,0.046583850931677
iRNormal_XH__TRD.csv,healthy,0.0003625815808556,0.001087744742567,0.0083393763596809,0.0003625815808556,0.0038071065989847,0.1589920232052211,0.0884699057287889,0.7385786802030457
GH03_W_ZXM1225__TRD.csv,healthy,0.0042229729729729,0.0038006756756756,0.015625,0.0021114864864864,0.0118243243243243,0.3027871621621621,0.6106418918918919,0.0489864864864864
GH03_W_LXZ1225__TRD.csv,healthy,,0.0049115913555992,0.0108055009823182,0.0009823182711198,0.0137524557956778,0.4135559921414538,0.5049115913555993,0.0510805500982318
HL_W_LS0121__TRD.csv,healthy,0.0018050541516245,0.0018050541516245,0.0180505415162454,0.0045126353790613,0.0180505415162454,0.1669675090252707,0.648014440433213,0.1407942238267148
WJW__TRD.csv,healthy,0.000786782061369,0.004720692368214,0.1038552321007081,0.003147128245476,,0.1070023603461841,0.3013375295043273,0.4791502753737214
HL_W_XQF1225__TRD.csv,healthy,0.0008830022075055,0.0030905077262693,0.0172185430463576,0.0013245033112582,0.0154525386313465,0.5152317880794702,0.3673289183222958,0.0794701986754966
