,TRDJ1,TRDJ2,TRDJ3,TRDJ4
iRNormal_097__TRD.csv,0.976881042454813,0.009247583018074821,0.011769651113913409,0.002101723413198823
iRNormal_JH__TRD.csv,0.8751219512195122,0.016585365853658537,0.10536585365853658,0.002926829268292683
iRNormal_KW_R__TRD.csv,0.9410681399631676,0.020257826887661142,0.03222836095764273,0.006445672191528545
iRNormal_XH__TRD.csv,0.9778825235678028,0.003988397389412618,0.017222625090645396,0.0009064539521392314
HL_W_LS0121__TRD.csv,0.9296028880866426,0.011732851985559567,0.05415162454873646,0.004512635379061372
BW_CT0530__TRD.csv,0.9062957540263543,0.021961932650073207,0.06881405563689605,0.0029282576866764276
BW_CT0806__TRD.csv,0.9150943396226415,0.024764150943396228,0.060141509433962265,
DDY__TRD.csv,0.8675675675675676,0.016216216216216217,0.11621621621621622,
GH03_HJ625__TRD.csv,0.8913043478260869,0.021739130434782608,0.08695652173913043,
GH03_W_HNY1228__TRD.csv,0.9331770222743259,0.026963657678780773,0.03048065650644783,0.009378663540445486
GH03_W_LXZ1225__TRD.csv,0.9037328094302554,0.05108055009823183,0.03536345776031434,0.009823182711198428
GH03_W_ZXM1225__TRD.csv,0.8699324324324325,0.024493243243243243,0.09755067567567567,0.008023648648648648
BW_17__TRD.csv,0.8504746835443038,0.11075949367088607,0.03322784810126582,0.005537974683544304
BW_1__TRD.csv,0.8712694877505568,0.0075723830734966595,0.11982182628062361,0.0013363028953229399
BW_2__TRD.csv,0.9478138222849083,0.014104372355430184,0.0380818053596615,
BW_4__TRD.csv,0.8956422018348624,0.021788990825688075,0.0768348623853211,0.005733944954128441
BW_8__TRD.csv,0.9449152542372882,0.0211864406779661,0.03389830508474576,
BW_9__TRD.csv,0.8651315789473685,0.01644736842105263,0.1118421052631579,0.006578947368421052
BW_5__TRD.csv,0.9612724757952974,0.022130013831258646,0.011065006915629323,0.005532503457814661
BW_6__TRD.csv,0.8648148148148148,0.016666666666666666,0.10925925925925926,0.009259259259259259
BW_7__TRD.csv,0.9253578732106339,0.012269938650306749,0.05828220858895705,0.00408997955010225
BW_16__TRD.csv,0.8975602126994057,0.02736940882076947,0.07100406631216766,0.004066312167657179
BW_11__TRD.csv,0.8807017543859649,0.09423558897243108,0.022556390977443608,0.002506265664160401
BW_12__TRD.csv,0.939297124600639,0.012779552715654952,0.04579339723109691,0.002129925452609159
BW_13__TRD.csv,0.5873465533522191,0.0066100094428706326,0.4060434372049103,
BW_14__TRD.csv,0.9316239316239316,0.02564102564102564,0.03418803418803419,0.008547008547008548
BW_15__TRD.csv,0.588135593220339,0.0039548022598870055,0.40706214689265535,0.000847457627118644
BF__TRD.csv,0.9503105590062112,0.021739130434782608,0.027950310559006212,
BW_10__TRD.csv,0.9139966273187183,0.016863406408094434,0.06745362563237774,0.0016863406408094434
iRNormal_088_R__TRD.csv,0.8599412340842312,0.019588638589618023,0.12047012732615084,
LFJ__TRD.csv,0.9155107187894073,0.03215636822194199,0.04224464060529634,0.01008827238335435
SS03F_W_1_HJ__TRD.csv,0.926530612244898,0.014285714285714285,0.05714285714285714,0.0020408163265306124
WDM__TRD.csv,0.8831587429492345,0.0136986301369863,0.09427880741337631,0.008863819500402902
WGF__TRD.csv,0.8973115910092552,0.019391802556192154,0.07800793301013663,0.005288673424416042
WJW__TRD.csv,0.9614476789929189,0.00944138473642801,0.029110936270653028,
HL_W_XQF1225__TRD.csv,0.8763796909492274,0.022958057395143488,0.09183222958057395,0.008830022075055188
JGR__TRD.csv,0.8951310861423221,0.0449438202247191,0.0599250936329588,
