,TRGV10;TRGJ1,TRGV10;TRGJP1,TRGV1;TRGJ1,TRGV1;TRGJP,TRGV1;TRGJP2,TRGV2;TRGJ1,TRGV2;TRGJP,TRGV2;TRGJP1,TRGV2;TRGJP2,TRGV3;TRGJ1,TRGV3;TRGJP,TRGV3;TRGJP1,TRGV3;TRGJP2,TRGV4;TRGJ1,TRGV4;TRGJP,TRGV4;TRGJP1,TRGV4;TRGJP2,TRGV5;TRGJ1,TRGV5;TRGJP,TRGV5;TRGJP1,TRGV5;TRGJP2,TRGV5P;TRGJ1,TRGV5P;TRGJP1,TRGV5P;TRGJP2,TRGV6;TRGJ1,TRGV6;TRGJP2,TRGV7;TRGJ1,TRGV7;TRGJP,TRGV7;TRGJP1,TRGV7;TRGJP2,TRGV8;TRGJ1,TRGV8;TRGJP,TRGV8;TRGJP1,TRGV8;TRGJP2,TRGV9;TRGJ1,TRGV9;TRGJP,TRGV9;TRGJP1,TRGV9;TRGJP2
iRNormal_097__TRG.csv,,,8.252186829509821e-05,,,0.47330417560653576,0.0002063046707377455,0.008541013368542663,0.003754745007426968,0.2363838917313088,,0.0002475656048852946,0.0006189140122132365,0.09972767783462617,8.252186829509821e-05,0.0005363921439181383,0.0005776530780656874,0.0573939593992408,,0.00321835286350883,8.252186829509821e-05,0.00552896517577158,,0.0001237828024426473,,,0.015225284700445619,,8.252186829509821e-05,,0.019392639049348077,4.1260934147549104e-05,0.00016504373659019642,,0.06494471034824228,0.00920118831490345,0.0004538702756230401,8.252186829509821e-05
iRNormal_JH__TRG.csv,,0.00013992863639543832,0.00034982159098859584,6.996431819771916e-05,,0.12768488071083747,0.001259357727558945,0.003498215909885958,0.02343804659623592,0.05471209683061638,0.00013992863639543832,0.0018890365913384174,0.005527181137619814,0.2879731337018121,0.0014692506821521025,0.0047575736374449035,0.0018890365913384174,0.09501154411250262,0.00013992863639543832,0.007836003638144547,0.000419785909186315,0.0005597145455817533,0.0005597145455817533,6.996431819771916e-05,,0.00013992863639543832,0.0039180018190722735,0.00013992863639543832,0.0006996431819771917,0.0002098929545931575,0.021129224095711188,0.0002098929545931575,0.0019590009095361367,0.0069264675015741975,0.17631008185825228,0.16441614776464003,0.004057930455467712,0.0004897502273840342
iRNormal_KW_R__TRG.csv,0.00010467915837956663,0.0003140374751386999,,,,0.054851878990892916,0.0009421124254160996,0.02428556474405946,0.04229037998534492,0.08133570606092327,,0.012980215639066262,0.002198262325970899,0.10101538783628179,,0.01894692766670156,0.0007327541086569664,0.012038103213650161,0.00010467915837956663,0.005024599602219198,0.00020935831675913326,0.0006280749502773998,,,,,0.00868837014550403,,0.0003140374751386999,0.0003140374751386999,0.024076206427300323,0.00020935831675913326,0.005862032869255731,0.000837433267036533,0.37684497016643986,0.2204543075473673,0.0041871663351826655,0.00020935831675913326
iRNormal_XH__TRG.csv,0.0001517297187942545,,0.00017701800525996359,,2.5288286465709084e-05,0.6305381347359903,0.00010115314586283633,0.0016943151932025085,0.012037224357677524,0.022506574954481086,,0.0022506574954481084,0.008218693101355453,0.20764212016993727,2.5288286465709084e-05,0.00040461258345134534,0.01216366579000607,0.03474610560388428,,0.0009862431721626543,0.0002781711511227999,0.00017701800525996359,,5.057657293141817e-05,7.586485939712725e-05,,0.003059882662350799,5.057657293141817e-05,0.00012644143232854542,0.00020230629172567267,0.022253692089823994,7.586485939712725e-05,0.00010115314586283633,0.0004551891563827635,0.0286769168521141,0.010064738013352215,0.00032874772405421806,0.00035403601051992717
HL_W_LS0121__TRG.csv,,,0.008664475649835674,,,0.3123194900906284,4.979583706802111e-05,0.019470172293596256,0.026740364505527338,0.08779006075092122,0.00014938751120406333,0.00029877502240812666,0.0038342794542376257,0.22527636689572753,0.00019918334827208445,0.00179265013444876,0.0018922418085848022,0.04063340304750523,,0.00044816253361219,0.00024897918534010554,0.0011951000896325067,,0.00019918334827208445,,,0.02136241410218106,4.979583706802111e-05,0.0006971417189522956,4.979583706802111e-05,0.03684891943033562,0.00019918334827208445,0.000846529230156359,0.002290608505128971,0.0933671945025396,0.11149287919529928,0.0013942834379045911,0.00019918334827208445
GH03_W_ZXM1225__TRG.csv,,,0.00017466740415126198,,,0.1947250443946319,0.00026200110622689294,0.014904951820907689,0.032400803470059095,0.12672120171174056,0.00011644493610084132,0.005967802975168118,0.011120491397630345,0.1801112049139763,2.911123402521033e-05,0.04867398329015167,0.005734913102966434,0.025122994963756515,5.822246805042066e-05,0.0007568920846554685,0.00046577974440336527,0.00017466740415126198,,2.911123402521033e-05,,,0.014555617012605165,2.911123402521033e-05,0.00023288987220168264,5.822246805042066e-05,0.023288987220168263,0.00011644493610084132,0.0018048965095630405,0.001513784169310937,0.18104276440278302,0.1282932083491019,0.0010188931908823614,0.0004948909784285756
BW_CT0530__TRG.csv,,,0.005962013457116089,,,0.22246827357124607,0.00025551486244783237,0.022996337620304914,0.021974278170513586,0.10220594497913295,0.00034068648326377653,0.0009368878289753854,0.004428924282429095,0.2414615450132016,0.00017034324163188826,0.0037475513159015415,0.0018737756579507707,0.05485052380546802,,0.0007665445873434972,0.00017034324163188826,0.00246997700366238,,,,,0.025466314623967295,0.00017034324163188826,0.0011072310706072737,,0.057661187292394174,8.517162081594413e-05,0.0015330891746869943,0.0035772080742696535,0.06984072906907418,0.15211651477727622,0.0011072310706072737,0.00025551486244783237
BW_CT0806__TRG.csv,,,0.0052881502266350095,,,0.19469026548672566,0.0005396071659831643,0.018130800777034318,0.023634793870062596,0.12292251241096482,0.00010792143319663285,0.0009712928987696956,0.005180228793438377,0.2174616878912152,0.0004316857327865314,0.003561407295488884,0.0023742715303259228,0.056442909561838985,,0.0011871357651629614,0.0004316857327865314,0.001402978631556227,,,,,0.02460608676883229,0.0002158428663932657,0.0024821929635225554,0.00032376429958989856,0.07122814590977768,0.00032376429958989856,0.0018346643643427584,0.004208935894668682,0.08234405352903086,0.15594647096913447,0.001402978631556227,0.00032376429958989856
DDY__TRG.csv,,,,,,0.1918997107039537,,0.04339440694310511,0.03857280617164899,0.12439729990356799,,,0.013500482160077145,0.07521697203471553,,0.006750241080038573,,0.02507232401157184,,,,,,,,,0.009643201542912247,,,,0.06943105110896818,,0.007714561234329798,,0.21407907425265188,0.18032786885245902,,
GH03_HJ625__TRG.csv,,,,,,0.125,0.0002039151712887439,0.0010195758564437193,0.028548123980424143,0.06810766721044045,0.0004078303425774878,0.0010195758564437193,0.007544861337683523,0.25815660685154973,0.003874388254486134,0.005505709624796085,0.0026508972267536707,0.0817699836867863,,0.010807504078303425,0.0004078303425774878,0.0004078303425774878,0.0004078303425774878,,,,0.006729200652528548,,0.0012234910277324632,,0.02202283849918434,0.0004078303425774878,0.0020391517128874386,0.005709624796084829,0.18556280587275692,0.1780179445350734,0.0016313213703099511,0.0008156606851549756
