,TRAV1-1,TRAV1-2,TRAV10,TRAV12-1,TRAV12-2,TRAV12-3,TRAV13-1,TRAV13-2,TRAV14DV4,TRAV16,TRAV17,TRAV18,TRAV19,TRAV2,TRAV20,TRAV21,TRAV22,TRAV23DV6,TRAV24,TRAV25,TRAV26-1,TRAV26-2,TRAV27,TRAV28,TRAV29DV5,TRAV3,TRAV30,TRAV34,TRAV35,TRAV36DV7,TRAV38-1,TRAV38-2DV8,TRAV39,TRAV4,TRAV40,TRAV41,TRAV5,TRAV6,TRAV7,TRAV8-1,TRAV8-2,TRAV8-3,TRAV8-4,TRAV8-5,TRAV8-6,TRAV9-1,TRAV9-2
BW_15__TRA.csv,0.08799485187215482,0.09929213242128847,0.017128647583637215,0.02122808271960976,0.029943354704419604,0.013339053475383528,0.11053380047826743,0.0162626816343717,0.018439513470140063,0.018193229576312257,0.026320598072629913,,0.058329559628508554,0.05171167306210327,0.004862120742665109,0.03086493314583979,0.03334366136759063,0.022332387920966704,0.013664783786575145,0.009875189678321456,0.01723192792621017,0.012330083974863154,0.010598152076332117,,0.04853381636755091,0.01936903655329663,0.0024787282217508403,0.000858021307529137,0.009628905784493649,0.004123269061181686,0.004305995821118447,0.008707327343073465,0.00012711426778209435,0.01142439481691573,0.00030189638598247413,0.003575088781371404,0.04321090640417571,0.007269347188788522,7.944641736380897e-06,0.006053817003122244,0.011352893041288304,0.022094048668875276,0.01424474263333095,,0.008770884476964511,3.972320868190449e-05,0.049701678702798895
LFJ__TRA.csv,0.008424286723076352,0.10102949739218771,0.015250436700157336,0.02060233650069996,0.04152677808198813,0.0168609621030984,0.06682441556510858,0.025297637483120455,0.035419170207757776,0.014977886247351925,0.07602918767576407,4.955462778280207e-05,0.04113034105972572,0.028890347997373604,0.007334084911854706,0.031045974305925494,0.012128495149840806,0.02900184590988491,0.011360398419207374,0.01866970601717068,0.05204474782888787,0.03447763227988454,0.01969796454366382,,0.03431657973959043,0.009762261673212006,0.0037785403684386576,0.001845909884909377,0.013565579355542066,0.0077800765618999245,0.004633357697691993,0.00934104733705819,0.00034688239447961446,0.03598904842726,0.0009910925556560414,0.002923723039185322,0.013367360844410857,0.01610525402941067,,0.018731649301899182,0.013317806216628056,0.027292211251378238,0.020082012908980536,,0.017641447490677534,6.194328472850259e-05,0.04005252790544977
iRNormal_JH__TRA.csv,0.007062619662868696,0.05078391731044732,0.010865053756242552,0.02636265045722931,0.07668465235844636,0.020330972432352823,0.07610223727724297,0.019915918006667647,0.0399724189639706,0.007169730482400353,0.03961091994805125,,0.070847112693971,0.01699045374820924,0.019755251777370163,0.1661623532247051,0.010684304248282879,0.02247988324920671,0.011226552772161898,0.010905220313566924,0.037087121262836566,0.00012049967197311519,0.028759255044250157,,0.032789299629128785,0.005054291796650109,0.0034007685201301397,0.0010041639331092931,0.009686834741394316,0.0062994550737056326,0.004110377699527374,0.018376199975900065,5.355540976582897e-05,0.01544404129122093,0.0003481101634778883,0.004545515403874734,0.00990105638045763,0.01704400915797507,2.0083278662185863e-05,0.012277577688816292,0.009325335725474969,0.020839748825128197,0.016869954076236125,1.3388852441457243e-05,0.01243154949189305,6.694426220728621e-05,0.030218639960368998
iRNormal_KW_R__TRA.csv,0.00930071420957254,0.0632928259247415,0.023425007994883274,0.03360515936467327,0.09918985182816331,0.030966847884020893,0.05433855665707281,0.019187719859290055,0.04975482357957574,0.017135699818782647,0.06212024304445155,,0.03829549088583307,0.02494403581707707,0.0236648544931244,0.023345059162136233,0.012018974522971964,0.02491738620616139,0.029021426287176206,0.009966954482464556,0.049301780194009166,0.00029314572007248696,0.012338769853960133,,0.032619123760793095,0.006875599616245603,0.0034377998081228014,0.0008794371602174608,0.02107984223430338,0.009833706427886153,0.009913655260633194,0.01772199125892762,0.00037309455281952884,0.02662296130476495,0.0006662402728920158,0.013084958959599189,0.012072273744803326,0.015003730945528196,,0.016016416160324058,0.01860142841914508,0.031020147105852255,0.017562093593433536,,0.011565931137405394,,0.024624240486088904
iRNormal_XH__TRA.csv,0.011568839511028087,0.031830695113558155,0.014837937928096222,0.03009373054108085,0.08424278176514928,0.0274473175367876,0.06516894438436076,0.019409759774522334,0.03180611542621178,0.021646511323042638,0.046349097106151475,,0.03823780028184708,0.017050109789270147,0.02034378789368466,0.03305148625176155,0.013510634811391866,0.034042866974732085,0.017213974371579326,0.016009569691606856,0.056688952249860716,0.009397633795431456,0.02324419100055714,8.193229115458984e-06,0.05210893717431914,0.007193655163372989,0.004473503097040606,0.0013764624913971094,0.010544685871595714,0.006734834332907285,0.01411693376593583,0.012298036902303936,0.0001638645823091797,0.018467538426244552,0.0006308786418903419,0.008185035886343525,0.019082030609903974,0.012298036902303936,4.915937469275391e-05,0.01598499000426048,0.01622259364860879,0.022531380067512208,0.01307639366827254,,0.014985416052174483,6.554583292367187e-05,0.08620915675285944
HL_W_LS0121__TRA.csv,0.00856499385777333,0.07185267755584876,0.014411483688975841,0.020166977569498156,0.06582419582328586,0.02388643705355112,0.07887074025205879,0.024546157695982528,0.038206924791846765,0.009816188179626007,0.059181491423631646,,0.03573865962964648,0.01863142090176987,0.011147003958323855,0.04736339232904136,0.014058874380090085,0.02858410300741617,0.017766959370308023,0.01302379544110287,0.04006096728695573,0.008906228672824059,0.020212475544838255,,0.038445789162382275,0.010350789389872151,0.005516629509986806,0.0017744210382637973,0.010862641612448246,0.006210473633923291,0.015605805541653396,0.009133718549524546,0.00018199190136038946,0.018267437099049093,0.0005346012102461441,0.009201965512534693,0.013888256972564721,0.048375722280358524,,0.01718686018472178,0.010965012056963465,0.0233177123617999,0.02944856453887802,,0.013035169934937895,5.687246917512171e-05,0.04681741662496019
BW_CT0806__TRA.csv,0.00982820799391642,0.07913262895922388,0.016510928552499683,0.027018930534271988,0.06569805625007201,0.021868626931363853,0.06562892465808667,0.020797087255591016,0.023988662418914404,0.0158311345646438,0.04464748649053473,,0.027065018262262215,0.024852807318731206,0.014805682616861195,0.04963648304547707,0.009770598333928633,0.021695797951400492,0.016706801396458158,0.01600396354460716,0.03630560772430321,0.00612966782270051,0.017974213916189467,,0.03223836572916547,0.022237328755285685,0.0039865884711548435,0.00173981173163116,0.011648673249530481,0.006106623958705396,0.010519523913769861,0.011395190745584219,0.000230438639951147,0.020290122247698494,0.0008180571718265719,0.009494071965987257,0.017939648120196796,0.039474139023631484,5.760965998778675e-05,0.019068797455957416,0.015854178428638913,0.03249184823311173,0.043241810786832736,,0.01595787581661693,0.00019587284395847495,0.05311610650873939
DDY__TRA.csv,0.001160261058738216,0.04249456127628717,0.025960841189267586,0.045975344452501815,0.06976069615663524,0.023350253807106598,0.0775924583031182,0.03828861493836113,0.029296591733139955,0.013923132704858593,0.06453952139231327,,0.05438723712835388,0.020159535895576505,0.022915155910079768,0.03770848440899202,0.012472806381435823,0.04263959390862944,0.012762871646120376,0.017113850616388687,0.042929659173314,,0.02857142857142857,,0.022189992748368383,0.0024655547498187093,0.0040609137055837565,0.000580130529369108,0.019144307469180565,0.01754894851341552,0.01783901377810007,0.009572153734590283,,0.015373459028281364,0.0007251631617113851,0.005511240029006526,0.014793328498912255,0.01305293691080493,,0.0069615663524292964,0.02001450326323423,0.03234227701232777,0.02131979695431472,,0.00971718636693256,,0.04278462654097172
GH03_HJ625__TRA.csv,0.005171764222351612,0.054183649005034765,0.012056033154091175,0.016303044833373293,0.07990546974004178,0.02154330924410042,0.07202794807685721,0.03764085351234716,0.04575812583484604,0.011268280987772716,0.06332842415316642,,0.08076172209473576,0.019282803027708326,0.005343014693290407,0.10360653491797102,0.009179025242319417,0.03370209268075487,0.008494023358564235,0.01256978456690756,0.044764873103401034,,0.025927321300133574,,0.029729081754974827,0.006336267424735418,0.0033222591362126247,0.0017125047093879508,0.012706784943658594,0.011610781929650307,0.006336267424735418,0.01147378155289927,3.425009418775902e-05,0.011097030516833922,0.00027400075350207214,0.0038360105490290097,0.011371031270335993,0.018323800390451075,,0.012809535226221871,0.012809535226221871,0.01143953145871151,0.017844299071822448,,0.02020755557077782,,0.033907593245881426
GH03_W_HNY1228__TRA.csv,0.025947454080446408,0.10446407812136713,0.019018832829574516,0.028039990699837248,0.083782841199721,0.02442455242966752,0.0751569402464543,0.025831202046035805,0.020960241804231575,0.01231109044408277,0.046396186933271334,1.1625203441060218e-05,0.0519879097884213,0.02020460358056266,0.006649616368286445,0.04906998372471518,0.010555684724482678,0.02027435480120902,0.009893048128342246,0.012462218088816554,0.03572425017437805,0.006568239944199024,0.01872820274354801,,0.025319693094629156,0.009300162752848175,0.005440595210416182,0.001534526854219949,0.014566379911648454,0.008184143222506393,0.013415484770983492,0.008614275749825621,0.00011625203441060219,0.029644268774703556,0.0006161357823761916,0.005277842362241339,0.011415949779121134,0.02504068821204371,2.3250406882120437e-05,0.01970471983259707,0.021460125552197163,0.02016972797023948,0.029074633806091606,,0.01596140432457568,5.812601720530109e-05,0.02659846547314578
GH03_W_LXZ1225__TRA.csv,0.00896483231950627,0.03475978505683934,0.024260911202936847,0.032915388298721336,0.05497721105928671,0.030831574653732242,0.07328816925887173,0.03521201695426251,0.03664851827548903,0.012928511891038715,0.07940660081224396,,0.030361608172096405,0.020031212868214306,0.010392466348626457,0.04775923528472875,0.01002004008016032,0.003741997268874031,0.015925656622980473,0.0122457303988508,0.05447177540922553,0.00016847855002039477,0.025661943355738025,,0.03679039494919042,0.010738290740773582,0.005550924858566691,0.0019951407239257274,0.013522620462163265,0.010862432830262295,0.012467412701509212,0.01787646088637452,0.0001862131342330679,0.021884476918438648,0.0005852412790182134,0.006668203663965098,0.014054657988543459,0.012458545409402876,8.867292106336567e-06,0.019960274531363613,0.014427084257009594,0.027125046553283558,0.030370475464202743,,0.014134463617500488,7.093833685069254e-05,0.07328816925887173
GH03_W_ZXM1225__TRA.csv,0.009457087402664687,0.06363235669380843,0.01320744503986205,0.017924389696955638,0.05003054414982872,0.033791882215572104,0.06459894371370466,0.030026059186056404,0.021450499145537073,0.012086204096782426,0.09516629163090294,,0.031974698618167194,0.01316104886290703,0.009627206718166423,0.05486347924930986,0.010284485891695857,0.03005698997069308,0.02927598765861693,0.011784628946574803,0.043558277464603584,0.03170405425259625,0.031626727291004554,,0.02669326714145421,0.006943961150934496,0.004307111760657589,0.002203818405363398,0.021264914437716997,0.006626920608408534,0.013563149063183861,0.03093078463667927,0.00024744627709343415,0.030234841982353988,0.0005876849080969061,0.007392457528166346,0.010524199472630122,0.01614586958034658,,0.011962480958235709,0.01272801787799352,0.019679711725087187,0.011715034681142274,,0.012573363954810124,8.5059657750868e-05,0.04430061629588389
BW_1__TRA.csv,0.0046255133578898345,0.013199119353063211,0.03474956602735086,0.012013633092002202,0.04697489309454253,0.023064058596892333,0.051886193318938144,0.01517845802108472,0.019147720055887208,0.008044371057199712,0.0784326178076972,,0.3557093865108599,0.015189042719844193,0.020820102459883992,0.019645200897582454,0.008965239849273889,0.0018523222829078285,0.00368347516829671,0.012743977306405859,0.02167746305940133,0.0063719886532029296,0.007800922985731826,,0.016766162835005715,0.009568567678563868,0.0034188576993098778,0.004064524323637749,0.01678733223252466,0.0041703713112324825,0.00502773191074982,0.009780261653753335,0.00025403277022735933,0.011452644057750117,0.00034929505906261906,0.010732884542105931,0.021275244506541342,0.006414327448240823,,0.0273191074982006,0.007631567805580253,0.012659299716330074,0.014882086455819468,,0.006223802870570304,2.116939751894661e-05,0.02942546255133579
BW_2__TRA.csv,0.011015278462296697,0.024667323804829965,0.011163134549038936,0.016707737801872843,0.05623459832429768,0.07343518974864466,0.06384918679152292,0.019270576638738296,0.02607195662888122,0.012074913750616067,0.13691473632331197,,0.04691966485953672,0.021217348447511088,0.00980778708723509,0.03794972893050764,0.02634302612124199,0.030975850172498768,0.010029571217348448,0.02437161163134549,0.05537210448496797,0.006136027599802859,0.015352390340069,,0.01697880729423361,0.010645638245441104,0.004805322819122721,0.0017249876786594382,0.013627402661409561,0.008427796944307541,0.01271562345983243,0.018950221784130115,0.00039428289797930016,0.011237062592410054,0.0008132084770823065,0.024125184820108427,0.012148841793987186,0.012863479546574668,4.928536224741252e-05,0.01448989650073928,0.008871365204534253,0.023878758008871365,0.018408082799408577,,0.011976343026121243,9.857072449482504e-05,0.03689009364218827
BW_4__TRA.csv,0.008647584431319097,0.037664697864606994,0.011782523095562623,0.01855217325458125,0.09410873845221869,0.022641223686203242,0.05612600333181887,0.03845221868847493,0.04357110404361654,0.008859609268514312,0.05327881266091171,1.5144631228229593e-05,0.12111161593215206,0.013478721793124338,0.014463122822959262,0.029834923519612297,0.018431016204755415,0.02049068605179464,0.03851279721338786,0.01779494169316977,0.0290171134332879,0.01152506436468272,0.026593972436771165,,0.020127214902317128,0.026957443586248676,0.003755868544600939,0.0017567772224746328,0.011797667726790853,0.007193699833409057,0.006497046796910495,0.014781160078752083,0.00012115704982583674,0.011010146902922914,0.00030289262456459186,0.008420414962895653,0.013175829168559746,0.008950477055883688,,0.02046039678933818,0.009874299560805695,0.020172648796001818,0.02232318643041042,,0.013584734211721945,6.057852491291837e-05,0.04372255035589884
BW_CT0530__TRA.csv,0.009689503638066421,0.06040631078452561,0.015704920394784237,0.029987032634536417,0.057506663785029895,0.022872991859376125,0.06978964051581298,0.025952741156977162,0.029933001945104818,0.013435631438657157,0.059739932281535915,,0.03890209639074994,0.019865283481017217,0.01595706361213169,0.0422159786758879,0.009113176284129386,0.027177436784093366,0.015092572581226137,0.01593905338232116,0.03645270513651754,0.006591744110654852,0.016749513723795115,,0.03281463871479,0.020297528996469996,0.0038721994092644624,0.001837043440674303,0.013021396153014913,0.006987969166486564,0.012282976730783084,0.012102874432677761,0.0002881636769685181,0.018910741301059002,0.0003962250558317124,0.00801455226568691,0.020225488077227866,0.037047042720265114,,0.02123406094661768,0.01593905338232116,0.03735321662704416,0.03719112455874937,,0.014570275916720698,0.00018010229810532384,0.04635833153231035
BW_17__TRA.csv,0.005688325090295868,0.02334478549225406,0.010558638829111136,0.018034004102641547,0.03674758686651313,0.05783969494468985,0.07962396647411937,0.030895659505921144,0.053472772806785716,0.013289538264054065,0.03575338845471363,1.258479002277847e-05,0.016473490139817016,0.018789091504008256,0.011578006820956192,0.04390833238947408,0.012358263802368458,0.013138520783780723,0.008318546205056569,0.024565510124463574,0.017002051320773714,7.550874013667082e-05,0.01819760637293767,,0.04417261297995243,0.015819081058632535,0.007122991152892614,0.0014346660625967455,0.015366028617812512,0.006619599551981476,0.009136557556537169,0.03206604497803954,0.0003775437006833541,0.10543537081083802,0.0007802569814122652,0.010634147569247807,0.019644857225557193,0.01282390103321126,6.292395011389235e-05,0.018487056543461573,0.012081398421867331,0.029549086973483848,0.025459030216080845,,0.020173418406513887,0.00010067832018222776,0.06298687406400624
