sample,Category,TRAV14DV4;TRDJ1,TRAV14DV4;TRDJ2,TRAV14DV4;TRDJ3,TRAV23DV6;TRDJ1,TRAV23DV6;TRDJ2,TRAV23DV6;TRDJ3,TRAV23DV6;TRDJ4,TRAV29DV5;TRDJ1,TRAV29DV5;TRDJ2,TRAV29DV5;TRDJ3,TRAV29DV5;TRDJ4,TRAV36DV7;TRDJ1,TRAV36DV7;TRDJ2,TRAV36DV7;TRDJ3,TRAV36DV7;TRDJ4,TRAV38-2DV8;TRDJ1,TRAV38-2DV8;TRDJ2,TRAV38-2DV8;TRDJ3,TRAV38-2DV8;TRDJ4,TRDV1;TRDJ1,TRDV1;TRDJ2,TRDV1;TRDJ3,TRDV1;TRDJ4,TRDV2;TRDJ1,TRDV2;TRDJ2,TRDV2;TRDJ3,TRDV2;TRDJ4,TRDV3;TRDJ1,TRDV3;TRDJ2,TRDV3;TRDJ3,TRDV3;TRDJ4
BW_1__TRD.csv,before,,,0.0004454342984409,0.0004454342984409,,,,0.0044543429844097,,,,0.0008908685968819,,,,0.0026726057906458,,0.0004454342984409,,0.0685968819599109,0.0017817371937639,0.0008908685968819,0.0004454342984409,0.2423162583518931,0.0048997772828507,0.1167037861915367,0.0008908685968819,0.5518930957683742,0.0008908685968819,0.0013363028953229,
BW_2__TRD.csv,before,,,,0.002820874471086,,,,0.005641748942172,,,,,,,,0.002820874471086,,0.001410437235543,,0.8053596614950634,0.0098730606488011,0.0098730606488011,,0.1029619181946403,0.001410437235543,0.0239774330042313,,0.0282087447108603,0.002820874471086,0.002820874471086,
BW_8__TRD.csv,before,0.0042372881355932,,,,,,,0.0084745762711864,,0.0042372881355932,,,,,,0.0084745762711864,,,,0.8305084745762712,0.0042372881355932,0.0042372881355932,,0.0932203389830508,0.0169491525423728,0.0254237288135593,,,,,
BW_5__TRD.csv,before,0.0096818810511756,,0.0013831258644536,,,,,0.0276625172890733,,0.0013831258644536,,0.0082987551867219,,,,0.0082987551867219,,,,0.636237897648686,0.0124481327800829,0.0013831258644536,0.0027662517289073,0.2420470262793914,0.0069156293222683,0.0069156293222683,0.0013831258644536,0.0290456431535269,0.0027662517289073,,0.0013831258644536
BW_11__TRD.csv,before,0.0015037593984962,,,0.000501253132832,,,,0.0155388471177944,0.000501253132832,,,0.0015037593984962,,,,0.006516290726817,,,,0.4466165413533834,0.0912280701754386,0.0045112781954887,0.0025062656641604,0.2295739348370927,0.0020050125313283,0.0145363408521303,,0.1789473684210526,0.000501253132832,0.0035087719298245,
BW_12__TRD.csv,before,0.0063897763578274,0.0010649627263045,0.0010649627263045,0.0021299254526091,0.0010649627263045,0.0031948881789137,,0.0127795527156549,,0.0010649627263045,,0.0063897763578274,,,,0.0127795527156549,0.0010649627263045,,,0.4845580404685836,0.0095846645367412,0.0063897763578274,0.0021299254526091,0.1597444089456869,,0.0319488817891373,,0.2545260915867944,,0.0021299254526091,
BW_13__TRD.csv,before,0.0018885741265344,,,0.0009442870632672,,,,0.0321057601510859,,,,0.0009442870632672,,,,0.0066100094428706,,,,0.4702549575070821,0.0018885741265344,0.380547686496695,,0.0604343720491029,0.0047214353163361,0.0254957507082152,,0.0141643059490084,,,
BW_15__TRD.csv,before,0.0005649717514124,,,,,,,0.0460451977401129,,,,,,,,0.0028248587570621,0.0002824858757062,,0.0002824858757062,0.4799435028248587,0.0022598870056497,0.3878531073446327,0.0005649717514124,0.0449152542372881,0.001412429378531,0.0192090395480226,,0.0138418079096045,,,
BW_17__TRD.csv,after,,,,0.0003955696202531,,0.0003955696202531,,0.0087025316455696,,0.0003955696202531,0.0003955696202531,0.0011867088607594,,,,0.0185917721518987,,0.0015822784810126,,0.2634493670886076,0.1091772151898734,0.0011867088607594,0.0039556962025316,0.5367879746835443,0.0007911392405063,0.0292721518987341,0.0011867088607594,0.0213607594936708,0.0007911392405063,0.0003955696202531,
BW_4__TRD.csv,after,0.0045871559633027,,,0.0022935779816513,,,0.0011467889908256,0.0172018348623853,,0.0011467889908256,,,,,,0.0206422018348623,,0.0011467889908256,0.0022935779816513,0.4231651376146789,0.0172018348623853,0.0091743119266055,0.0022935779816513,0.2706422018348624,0.0045871559633027,0.0642201834862385,,0.1571100917431192,,0.0011467889908256,
BW_9__TRD.csv,after,,,,,,,,0.0263157894736842,,,,0.0032894736842105,,,,0.0131578947368421,,,,0.4967105263157895,0.006578947368421,0.0032894736842105,,0.2138157894736842,0.0098684210526315,0.0986842105263157,0.006578947368421,0.1118421052631579,,0.0098684210526315,
BW_6__TRD.csv,after,0.0018518518518518,,,,,,,0.0092592592592592,,0.0018518518518518,,0.0055555555555555,,0.0018518518518518,,0.0055555555555555,0.0018518518518518,0.0037037037037037,,0.4981481481481482,0.0111111111111111,0.0037037037037037,0.0055555555555555,0.2518518518518518,0.0037037037037037,0.0944444444444444,0.0037037037037037,0.0925925925925925,,0.0037037037037037,
BW_7__TRD.csv,after,0.0030674846625766,,,,,,,0.0020449897750511,,,,,,,,0.0061349693251533,,,,0.2668711656441718,0.0030674846625766,,,0.4274028629856851,0.0051124744376278,0.058282208588957,0.0040899795501022,0.2198364008179959,0.0040899795501022,,
BW_16__TRD.csv,after,0.0010947763528307,,,0.0006255864873318,,,,0.004848295276822,0.0001563966218329,0.0001563966218329,,0.0017203628401626,,,,0.0114169533938066,0.0001563966218329,0.0001563966218329,0.0001563966218329,0.4558961526431029,0.0179856115107913,0.0029715358148264,0.0032843290584923,0.2668126368470441,0.0039099155458242,0.0666249609008445,0.0004691898654989,0.1551454488583046,0.0051610885204879,0.0010947763528307,0.0001563966218329
BW_14__TRD.csv,after,,,,,,,,0.0256410256410256,,,,,,,,0.0085470085470085,,,,0.6923076923076923,0.0085470085470085,,0.0085470085470085,0.1367521367521367,,0.0256410256410256,,0.0683760683760683,0.017094017094017,0.0085470085470085,
BW_10__TRD.csv,after,0.0042158516020236,,,0.0016863406408094,,,,0.0185497470489038,,0.0008431703204047,,0.0008431703204047,,,,0.0067453625632377,,0.0008431703204047,,0.602866779089376,0.0118043844856661,0.0042158516020236,0.0008431703204047,0.1543001686340641,0.0008431703204047,0.0598650927487352,,0.1247892074198988,0.0042158516020236,0.0016863406408094,0.0008431703204047
