,TRGV10;TRGJ1,TRGV10;TRGJP1,TRGV1;TRGJ1,TRGV1;TRGJP,TRGV1;TRGJP2,TRGV2;TRGJ1,TRGV2;TRGJP,TRGV2;TRGJP1,TRGV2;TRGJP2,TRGV3;TRGJ1,TRGV3;TRGJP,TRGV3;TRGJP1,TRGV3;TRGJP2,TRGV4;TRGJ1,TRGV4;TRGJP,TRGV4;TRGJP1,TRGV4;TRGJP2,TRGV5;TRGJ1,TRGV5;TRGJP,TRGV5;TRGJP1,TRGV5;TRGJP2,TRGV5P;TRGJ1,TRGV5P;TRGJP1,TRGV5P;TRGJP2,TRGV6;TRGJ1,TRGV6;TRGJP2,TRGV7;TRGJ1,TRGV7;TRGJP,TRGV7;TRGJP1,TRGV7;TRGJP2,TRGV8;TRGJ1,TRGV8;TRGJP,TRGV8;TRGJP1,TRGV8;TRGJP2,TRGV9;TRGJ1,TRGV9;TRGJP,TRGV9;TRGJP1,TRGV9;TRGJP2
iRNormal_097__TRG.csv,,,0.0002257591150242691,,,0.38311321819618466,0.0005643977875606727,0.010610678406140647,0.007675809910825149,0.21740602776837115,,0.0005643977875606727,0.0014674342476577492,0.13353651653685517,0.0002257591150242691,0.0012416751326334802,0.0012416751326334802,0.07371035105542387,,0.004176543627948979,0.0002257591150242691,0.007675809910825149,,0.0003386386725364037,,,0.02505926176769387,,0.0002257591150242691,,0.02799413026300937,0.00011287955751213455,0.0004515182300485382,,0.08116040185122474,0.019753922564623546,0.001015916017609211,0.0002257591150242691
iRNormal_JH__TRG.csv,,0.00020290149132596124,0.0005072537283149031,0.00010145074566298062,,0.1336106320381455,0.0017246626762706706,0.004971086537486051,0.024855432687430252,0.06168205336309222,0.00020290149132596124,0.0024348178959115348,0.0068986507050826824,0.2743228162726996,0.0014203104392817288,0.0066957492137567215,0.002637719387237496,0.09668256061682054,0.00020290149132596124,0.008521862635690372,0.0006087044739778837,0.000811605965303845,0.000811605965303845,0.00010145074566298062,,0.00020290149132596124,0.005579791011463935,0.00020290149132596124,0.0010145074566298062,0.00030435223698894185,0.028406208785634574,0.00030435223698894185,0.002637719387237496,0.00831896114436441,0.13523384396875318,0.18210408846505022,0.004971086537486051,0.0007101552196408644
iRNormal_KW_R__TRG.csv,0.00020712510356255177,0.0006213753106876554,,,,0.07850041425020712,0.001864125932062966,0.02444076222038111,0.03873239436619718,0.08305716652858326,,0.015327257663628831,0.004142502071251036,0.10936205468102735,,0.01615575807787904,0.0014498757249378626,0.01967688483844242,0.00020712510356255177,0.006006628003314002,0.00041425020712510354,0.0012427506213753107,,,,,0.01387738193869097,,0.0006213753106876554,0.0006213753106876554,0.03603976801988401,0.00041425020712510354,0.009527754763877383,0.0016570008285004142,0.30737365368682684,0.22203811101905552,0.006006628003314002,0.00041425020712510354
iRNormal_XH__TRG.csv,0.0003200341369746106,,0.0003733731598037124,,5.3339022829101774e-05,0.49546618305952633,0.0002133560913164071,0.0032003413697461063,0.01930872626413484,0.03728397695754214,,0.0034670364838916153,0.011521228931085982,0.2523469170044805,5.3339022829101774e-05,0.0008534243652656284,0.01445487518668658,0.052218903349690635,,0.001386814593556646,0.0005867292511201195,0.0003733731598037124,,0.00010667804565820355,0.0001600170684873053,,0.006294004693834009,0.00010667804565820355,0.00026669511414550886,0.0004267121826328142,0.037710689140174954,0.0001600170684873053,0.0002133560913164071,0.0009601024109238319,0.04117772562406657,0.017601877533603583,0.000693407296778323,0.0006400682739492212
HL_W_LS0121__TRG.csv,,,0.005780346820809248,,,0.23482658959537572,0.00014450867052023122,0.017341040462427744,0.03829479768786127,0.10072254335260115,0.00043352601156069364,0.0008670520231213873,0.006358381502890174,0.21921965317919076,0.00043352601156069364,0.0039017341040462426,0.004046242774566474,0.04378612716763006,,0.0011560693641618498,0.0005780346820809249,0.0023121387283236996,,0.0005780346820809249,,,0.031936416184971096,0.00014450867052023122,0.0018786127167630057,0.00014450867052023122,0.052890173410404626,0.00028901734104046245,0.002167630057803468,0.005491329479768786,0.09465317919075145,0.12644508670520233,0.002601156069364162,0.0005780346820809249
GH03_W_ZXM1225__TRG.csv,,,0.0003687859566307715,,,0.17318188523381028,0.0005163003392830801,0.015636524561144713,0.0395338545508187,0.11365983183360377,0.0002950287653046172,0.006490632836701578,0.010916064316270837,0.19567782858828736,7.37571913261543e-05,0.029724148104440185,0.006564390028027733,0.0429266853518218,0.0001475143826523086,0.0013276294438707775,0.0011063578698923145,0.0002950287653046172,,7.37571913261543e-05,,,0.02765894674730786,7.37571913261543e-05,0.0005900575306092345,0.0001475143826523086,0.03591975217583714,0.0002950287653046172,0.0024339873137630918,0.0027290160790677093,0.1455966956778286,0.14249889364213011,0.002360230122436938,0.001180115061218469
BW_CT0530__TRG.csv,,,0.003932119205298013,,,0.1870860927152318,0.0006208609271523179,0.021316225165562915,0.034975165562913905,0.10637417218543047,0.0006208609271523179,0.0020695364238410598,0.007864238410596027,0.2251655629139073,0.0004139072847682119,0.006622516556291391,0.003932119205298013,0.05380794701986755,,0.0018625827814569536,0.0004139072847682119,0.003104304635761589,,,,,0.028973509933774833,0.00020695364238410596,0.0026903973509933773,,0.06767384105960265,0.00020695364238410596,0.003104304635761589,0.006001655629139073,0.080091059602649,0.14797185430463577,0.0022764900662251655,0.0006208609271523179
BW_CT0806__TRG.csv,,,0.004616619831393015,,,0.1655961461260538,0.0010036130068245685,0.019269369731031716,0.029706945002007226,0.11822561220393417,0.0002007226013649137,0.0018065034122842231,0.00602167804094741,0.20553994379767163,0.0008028904054596548,0.005620232838217583,0.004215174628663188,0.05841027699718988,,0.002007226013649137,0.0008028904054596548,0.0018065034122842231,,,,,0.030710558008831795,0.0004014452027298274,0.004616619831393015,0.0006021678040947411,0.0792854275391409,0.0006021678040947411,0.003211561621838619,0.0066238458450421514,0.0835006021678041,0.16158169409875553,0.002609393817743878,0.0006021678040947411
DDY__TRG.csv,,,,,,0.18930041152263374,,0.04801097393689986,0.038408779149519894,0.12071330589849108,,,0.010973936899862825,0.07681755829903979,,0.0054869684499314125,,0.03017832647462277,,,,,,,,,0.009602194787379973,,,,0.07133058984910837,,0.00823045267489712,,0.1934156378600823,0.19753086419753085,,
GH03_HJ625__TRG.csv,,,,,,0.12117400419287212,0.0004192872117400419,0.0016771488469601676,0.028930817610062894,0.08050314465408805,0.0008385744234800838,0.0020964360587002098,0.007127882599580713,0.25828092243186584,0.0041928721174004195,0.01090146750524109,0.0033542976939203353,0.07169811320754717,,0.013417190775681341,0.0008385744234800838,0.0008385744234800838,0.0004192872117400419,,,,0.011740041928721174,,0.0025157232704402514,,0.02851153039832285,0.0008385744234800838,0.0041928721174004195,0.005450733752620545,0.1580712788259958,0.17777777777777778,0.0029350104821802936,0.0012578616352201257
