,IGLJ1,IGLJ2,IGLJ3,IGLJ4,IGLJ5,IGLJ6,IGLJ7
BW_15__IGL.csv,0.16746093807633858,0.40379479764521886,0.4210277822860262,0.00019180547973501335,0.0013721468934889418,0.004972188205438423,0.0011803414137539284
BW_17__IGL.csv,0.13936812594349796,0.28361548414923443,0.5744824239810222,,0.00010782833728703904,0.0011861117101574293,0.001240025878800949
BW_16__IGL.csv,0.14811842787167528,0.36319106608489227,0.48151863182707255,0.00011702358861193306,0.0010030593309594263,0.0045304846448334084,0.00152130665195513
LFJ__IGL.csv,0.28857944507949707,0.29412172226263467,0.4085351068620319,0.00013855692957844053,0.0003810315563407115,0.001766600852125117,0.006477536457792095
iRNormal_JH__IGL.csv,0.18243105209397345,0.5047667688117127,0.30725229826353423,0.00040858018386108274,0.00030643513789581204,0.0024174327545114062,0.0024174327545114062
iRNormal_KW_R__IGL.csv,0.05042942083241577,0.3666593261396168,0.5745430521911473,0.00022021581149526536,0.0004404316229905307,0.0033032371724289805,0.004404316229905308
iRNormal_XH__IGL.csv,0.07851513784594157,0.5200732348024518,0.38830365908668774,0.0006898930665746809,0.0017512670151511131,0.007217342850319739,0.0034494653328734047
HL_W_LS0121__IGL.csv,0.22834112526197,0.4981460583588586,0.25968079961309043,3.224246332419797e-05,0.0006448492664839593,0.004868611961953893,0.008286313074318877
HL_W_XQF1225__IGL.csv,0.14407467532467533,0.34299242424242427,0.5066017316017316,2.7056277056277056e-05,0.0006493506493506494,0.0031114718614718615,0.002543290043290043
BW_CT0806__IGL.csv,0.2637542464164388,0.5331841909023117,0.18423233076476925,6.214267959234402e-05,0.0010149971000082856,0.0074985500041428454,0.010253542132736763
DDY__IGL.csv,0.2660025434506147,0.5690970750317932,0.15409071640525646,,,0.005934718100890208,0.004874947011445528
GH03_HJ625__IGL.csv,0.42626050420168066,0.30099789915966385,0.26875,5.252100840336135e-05,0.0003676470588235294,0.0018907563025210084,0.0016806722689075631
GH03_W_HNY1228__IGL.csv,0.29099615354423425,0.3216893005730434,0.3799356307402465,,0.000784990972603815,0.004003453960279457,0.0025904702095925895
GH03_W_LXZ1225__IGL.csv,0.14116299601517573,0.3971700589372211,0.4542699658784509,2.3861223126297455e-05,0.0006203918012837338,0.003793934477081295,0.002958791667660884
GH03_W_ZXM1225__IGL.csv,0.1488594629199097,0.2920920516189899,0.5537585498163685,,0.00026955086087806194,0.0029650594696586812,0.002055325314195222
BW_1__IGL.csv,0.13010899182561309,0.6125340599455041,0.238283378746594,,,0.006267029972752043,0.012806539509536785
BW_2__IGL.csv,0.14425387356036126,0.3129298202005137,0.535897754577844,0.00016571381224625073,0.0013257104979700059,0.0031485624326787636,0.0022785649183859474
BW_4__IGL.csv,0.1831481045769726,0.2987557610064634,0.5007681341951199,5.5361023071706364e-05,0.0005674504864849903,0.003667667778500547,0.013037520933386849
BW_9__IGL.csv,0.07896440129449839,0.3035598705501618,0.609816612729234,,0.0004314994606256742,0.002157497303128371,0.005070118662351672
BW_CT0530__IGL.csv,0.23848149366071103,0.5510979575432058,0.19456319193247834,3.653768862581753e-05,0.0007307537725163506,0.006138331689137345,0.008951733713325295
BW_5__IGL.csv,0.15426908150064683,0.40955567718180913,0.4271942481838989,,0.0012065877201711613,0.0066424519852721665,0.001131953428201811
BW_6__IGL.csv,0.1177785570263873,0.2577364776014728,0.6194880336635399,,0.0006136582800035066,0.0028929604628736743,0.0014903129657228018
BW_7__IGL.csv,0.07658010779029888,0.4002449779519843,0.47853993140617346,4.8995590396864285e-05,0.001910828025477707,0.007349338559529643,0.035325820676139146
BW_8__IGL.csv,0.13538593115244815,0.35779345734445156,0.49796878340816764,8.552490912978404e-05,0.0026512721830233054,0.0039769082745349585,0.0021381227282446015
BW_11__IGL.csv,0.1428761765181724,0.4920582049354283,0.35651950474414,0.00019033661029530725,0.0010278176955946592,0.0047869657489269775,0.002540993747442352
BW_12__IGL.csv,0.0990280961673266,0.4757971316522365,0.41268969175681564,9.472746907148135e-05,0.0007767652463861471,0.00589204857624614,0.005721539131917474
BW_13__IGL.csv,0.1701159364226958,0.375388256175122,0.443994402284596,0.00044372134299659814,0.003117426871309433,0.00508572923896101,0.0018545276643191153
BW_14__IGL.csv,0.1711876390349894,0.2606873717429168,0.5585714532066426,,0.001017434340995706,0.0067599027401748606,0.0017761989342806395
BF__IGL.csv,0.11506172839506174,0.26938271604938274,0.605679012345679,,0.0004938271604938272,0.0032098765432098763,0.006172839506172839
BW_10__IGL.csv,0.10115344474715027,0.2421014109706014,0.6494937583865328,0.00013553992328440342,0.0033884980821100854,0.0032394041664972418,0.0004879437238238523
iRNormal_097__IGL.csv,0.0676002948299463,0.6662103822259661,0.24849952616615772,0.00010529640939243972,0.00010529640939243972,0.0074760450668632196,0.010003158892281773
iRNormal_088_R__IGL.csv,0.07980926088593299,0.3457773873760823,0.5664449742753168,6.274312962730582e-05,0.0007529175555276697,0.005395909147948299,0.0017568076295645626
SS03F_W_1_HJ__IGL.csv,0.5606458880961321,0.22948220469812658,0.2055951933909125,,0.0014186172654066008,0.002023615805065298,0.000834480744356824
WDM__IGL.csv,0.18579530110721038,0.3022324241605905,0.5044558466108561,,0.0012152308938698352,0.004140786749482402,0.002160410477990818
WGF__IGL.csv,0.44182232346241457,0.1872892938496583,0.36712984054669706,2.2779043280182233e-05,0.0006605922551252847,0.002255125284738041,0.0008200455580865604
WJW__IGL.csv,0.22353437368199072,0.30704344158582875,0.4542387178405736,,0.0008435259384226065,0.013496415014761703,0.0008435259384226065
JGR__IGL.csv,0.42954806902218573,0.19858668857847164,0.365784716516023,9.860312243221036e-05,0.0007559572719802794,0.0026622843056696797,0.002563681183237469
