,TRBJ1-1,TRBJ1-2,TRBJ1-3,TRBJ1-4,TRBJ1-5,TRBJ1-6,TRBJ2-1,TRBJ2-2,TRBJ2-3,TRBJ2-4,TRBJ2-5,TRBJ2-6,TRBJ2-7
iRNormal_097__TRB.csv,0.17644164534540444,0.043003345798071246,0.009619169454831726,0.012964967526077543,0.3084038575083645,0.00787246604999016,0.1205225349340681,0.02423243456012596,0.08999212753395001,0.005855146624680181,0.03867348947057666,0.0044036606967132455,0.15801515449714623
iRNormal_JH__TRB.csv,0.12351027693016293,0.09201738729921125,0.011198111578098913,0.016897921584432034,0.08587138004490759,0.01712821693822327,0.14261039783522367,0.015429788704012896,0.15094421095054408,0.00889515804018654,0.04641890724854626,0.017574414186193793,0.2715038286602568
iRNormal_KW_R__TRB.csv,0.13774562518330238,0.10030305992765666,0.015250757649819141,0.02795972235800176,0.08661648254961385,0.012953367875647668,0.18711506501124256,0.02082314986802229,0.11286538273536025,0.008554110861276762,0.05538175774758041,0.013148890409619708,0.2212826278228566
iRNormal_XH__TRB.csv,0.11998955167173252,0.1597881838905775,0.014865121580547112,0.02726063829787234,0.06913706306990881,0.017156629939209727,0.16114171732522797,0.03159431990881459,0.12656724924012158,0.011884973404255319,0.06911331686930092,0.01119633358662614,0.18030490121580547
HL_W_LS0121__TRB.csv,0.14612416543830747,0.07625942946327928,0.013092863955605653,0.016062602965403624,0.10850385849302004,0.028862828405445243,0.20003468308332611,0.029307205410560998,0.1356650481227781,0.012464233070319951,0.05753056446718113,0.011206971299748548,0.16488554582502385
BW_CT0806__TRB.csv,0.12980075556485632,0.06642582577952044,0.014219157864593086,0.021995087727027414,0.09065676869362176,0.030101439538290396,0.20149130439571333,0.04762481689117003,0.11867654995429162,0.01937374026632009,0.06458647693104094,0.017864813366669237,0.17718326302688533
DDY__TRB.csv,0.12827341322680869,0.1458795679834295,0.017162302115697588,0.021452877644621986,0.08758692114218079,0.024855747891699954,0.16600088770528185,0.020121319721852344,0.09335700547418257,0.008433200177541057,0.0868471667406421,0.016422547714158898,0.18360704246190265
GH03_HJ625__TRB.csv,0.0925482140819354,0.0920917494008901,0.01569097341093233,0.015462741070409677,0.10253337897980144,0.022652059796873215,0.1648978660276161,0.022423827456350565,0.13431473239758074,0.011525733196393929,0.0655597398151318,0.01648978660276161,0.24380919776332308
GH03_W_HNY1228__TRB.csv,0.1731327769115534,0.12222935583478553,0.026873337613500872,0.018083707847992906,0.08132318322174326,0.026858051300865205,0.20515760188327373,0.023999510837995657,0.09102999174539117,0.008346326699073649,0.06019749915925281,0.008636766639151304,0.15413189030542052
GH03_W_LXZ1225__TRB.csv,0.11321644405096425,0.09251703298818276,0.03291119750567766,0.019198198544978638,0.06475422456599561,0.02217175410908811,0.17721043920089302,0.03178528811732553,0.14421263328072675,0.01083567496824358,0.08645444397397899,0.01052773393895069,0.19420493475499442
GH03_W_ZXM1225__TRB.csv,0.10761723596063187,0.17167314531469688,0.018683318170540072,0.019899098503018773,0.06815813414936729,0.022826896038375653,0.16370027293027872,0.04291621867504756,0.11076006947316186,0.013919444214705153,0.09030683979819701,0.009933008022496071,0.15960631874948308
BW_CT0530__TRB.csv,0.12169066418950301,0.06550162563864376,0.013016720854621458,0.02005341384115188,0.09347422201579192,0.024222015791918253,0.212401300510915,0.04324198792382722,0.1263585694379935,0.01861356247097074,0.064723641430562,0.01648862052949373,0.1802136553646075
BW_17__TRB.csv,0.11717780698287826,0.07709840178661692,0.021919142717973697,0.03259840638182503,0.07331195029822901,0.03302116552858679,0.20008455182935236,0.0524680862796276,0.12375814500638734,0.014410572654835538,0.07267781157808637,0.01687360420553447,0.16460035475006662
BW_1__TRB.csv,0.06637566191654229,0.05836110486393654,0.015845106417779233,0.016499355973093988,0.05743084377747337,0.006389155813620658,0.41647073255504896,0.027304696285089244,0.08099405041810635,0.008208787389339821,0.047228639774283904,0.03358140295639018,0.16531046185929546
