,IGHV1-14,IGHV1-17,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-67,IGHV1-68,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1-8,IGHV2-10,IGHV2-26,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-19,IGHV3-20,IGHV3-21,IGHV3-22,IGHV3-23,IGHV3-25,IGHV3-30,IGHV3-33,IGHV3-35,IGHV3-37,IGHV3-38,IGHV3-41,IGHV3-42,IGHV3-43,IGHV3-47,IGHV3-48,IGHV3-49,IGHV3-50,IGHV3-52,IGHV3-53,IGHV3-54,IGHV3-57,IGHV3-6,IGHV3-60,IGHV3-62,IGHV3-64,IGHV3-65,IGHV3-66,IGHV3-7,IGHV3-71,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3-75,IGHV3-76,IGHV3-9,IGHV4-28,IGHV4-30-2,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-55,IGHV4-59,IGHV4-61,IGHV4-80,IGHV5-10-1,IGHV5-51,IGHV5-78,IGHV6-1,IGHV7-27,IGHV7-34-1,IGHV7-4-1,IGHV7-56,IGHV7-81
iRNormal_JH__IGH.csv,4.394735107341405e-05,0.00019776307983036324,0.05069326946318311,0.03414709178404272,0.0032301303038959326,0.009932101342591575,,0.049748401415104705,0.00184578874508339,2.1973675536707026e-05,6.592102661012107e-05,0.014151047045639324,4.394735107341405e-05,0.0002636841064404843,0.0036036827880199522,4.394735107341405e-05,0.0033399986815794676,0.012503021380386297,0.01226131094948252,0.020127886791623636,0.0012964468566657144,0.028170252038058407,,4.394735107341405e-05,0.001713946691863148,0.042431167461381265,2.1973675536707026e-05,0.08053352084203125,2.1973675536707026e-05,0.08552154518886373,0.0006811839416379177,2.1973675536707026e-05,,0.00015381572875694917,2.1973675536707026e-05,,0.019688413280889494,8.78947021468281e-05,0.004306840405194577,0.010481443231009252,,2.1973675536707026e-05,0.03526774923641478,4.394735107341405e-05,,,2.1973675536707026e-05,4.394735107341405e-05,0.009778285613834627,0.00037355248412401944,0.00819618097519172,0.016875782812190994,8.78947021468281e-05,0.004680392889318596,0.0037574985167769014,0.012942494891120438,2.1973675536707026e-05,,0.018216177019930124,0.0005932892394910897,0.00030763145751389834,4.394735107341405e-05,0.011426311279087654,0.046430376409061946,0.07297457645740403,0.00010986837768353512,0.10969258827924147,0.0004394735107341405,,0.026500252697268672,0.07774286404886946,,0.02170999143026654,,,0.03021380386297216,2.1973675536707026e-05,
iRNormal_KW_R__IGH.csv,0.00011352026336701102,0.001248722897037121,0.0546032466795323,0.07106368486774889,0.004767851061414462,0.001021682370303099,0.00022704052673402204,0.038483369281416734,0.005221932114882507,,,0.02247701214666818,0.0066976955386536495,0.00011352026336701102,0.0113520263367011,,0.004086729481212396,0.023385174253604268,0.013622431604041321,0.027471903734816665,0.004200249744579407,0.03144511295266205,,,0.004994891588148484,0.03144511295266205,,0.10841185151549551,,0.08786468384606652,0.013622431604041321,,,,0.00011352026336701102,,0.008059938699057781,,0.018163242138721763,0.0074923373822227265,,,0.019866046089226926,,,,,,0.016573958451583607,0.00045408105346804407,0.008627540015892837,0.018276762402088774,,0.004654330798047452,0.0059030536950845725,0.016119877398115563,,,0.015438755817913498,0.00022704052673402204,0.003973209217845385,0.01577931660801453,0.034283119536837325,0.02554205925757748,0.07617209671926439,0.00011352026336701102,0.08184810988761494,,,0.00794641843569077,0.030991031899194006,,0.015438755817913498,,,,,
iRNormal_XH__IGH.csv,7.721212745148504e-05,0.0005919596437947187,0.07000566222267977,0.048875276676790036,0.0033458588562310185,0.024682143408658052,0.000566222267977557,0.06323673238276625,0.004529778143820456,0.00038606063725742524,0.00018016163072013177,0.04637875122252535,0.006074020692850157,0.025480002058990064,0.00036032326144026355,,0.002831111339887785,0.01603438513409173,0.0038348689967570905,0.016806506408606578,0.007875637000051474,0.029726669068821744,,,0.010320687702681835,0.0259947495753333,5.147475163432337e-05,0.09401863386009163,,0.07790703659854842,0.0065372934575590675,5.147475163432337e-05,,0.00012868687908580841,5.147475163432337e-05,,0.0056879600555927315,0.00025737375817161683,0.018247799454367632,0.0050445256601636896,7.721212745148504e-05,5.147475163432337e-05,0.015493900241931332,,5.147475163432337e-05,,0.00015442425490297008,,0.011041334225562362,5.147475163432337e-05,0.011607556493539919,0.018093375199464662,0.0002831111339887785,0.0035002831111339886,0.0030370103464250784,0.012662788902043547,,2.5737375817161683e-05,5.147475163432337e-05,0.0032171719771452102,0.0031399598496937254,0.013126061666752458,0.028722911411952438,0.08166469346785402,0.013666546558912853,0.0008235960261491739,0.07963144077829824,0.00015442425490297008,2.5737375817161683e-05,0.018608122715807897,0.04625006434343954,2.5737375817161683e-05,0.01621454676481186,,,0.002342101199361713,,2.5737375817161683e-05
HL_W_XQF1225__IGH.csv,0.000211109026083693,0.0004691311690748733,0.07857947082004128,0.005606117470444736,0.004761681366109965,0.04405141677613061,0.0005864139613435917,0.03511446800525427,0.001759241884030775,9.382623381497467e-05,,0.02458247325952336,,0.000422218052167386,0.03159598423719272,0.00016419590917620566,0.005301182210546069,0.05416119346969413,0.00811596922499531,0.013206042409457684,0.007506098705197973,0.010531994745730907,,,0.006028335522612122,0.025309626571589416,,0.06856352036029274,,0.05714017639331957,0.020172640270219554,2.3456558453743668e-05,,0.0007975229874272846,,,0.005746856821167198,,0.013534434227810095,0.0024160255207355975,,2.3456558453743668e-05,0.016161568774629386,,,0.00011728279226871833,4.6913116907487336e-05,2.3456558453743668e-05,0.002955526365171702,0.00016419590917620566,0.0009382623381497466,0.028218239819853632,0.000281478701444924,0.005207355976731094,0.005934509288797148,0.026154062675924187,2.3456558453743668e-05,,0.031478701444924,0.004269093638581347,0.003588853443422781,0.03940701820228936,0.09680521673860011,0.04616250703696754,0.0015950459748545693,0.00799868643272659,0.0633327078251079,0.0005395008444361043,,0.00011728279226871833,0.031079939951210358,,0.03785888534434228,,,0.022940514167761307,,2.3456558453743668e-05
HL_W_LS0121__IGH.csv,0.00016147263038914905,0.0004036815759728726,0.049309704505086385,0.0036936864201517843,0.007145163894719845,0.05415388341676086,0.00010092039399321815,0.045454545454545456,0.0033505570805748425,,,0.01511787502018408,,0.02331261101243339,0.09607621508154368,8.073631519457452e-05,0.002926691425803326,0.04507104795737123,0.015561924753754239,0.009547069271758437,0.002926691425803326,0.033848700145325365,,4.036815759728726e-05,0.003996447602131439,0.0247053124495398,4.036815759728726e-05,0.04662522202486678,,0.04632246084288713,0.026986113353786534,,,0.000766994994348458,0.00016147263038914905,,0.002684482480219603,4.036815759728726e-05,0.013281123849507508,0.00678185047634426,,6.055223639593089e-05,0.021152914580978524,,,4.036815759728726e-05,2.018407879864363e-05,2.018407879864363e-05,0.012312288067172614,2.018407879864363e-05,0.0017156466978847085,0.031144033586307122,0.00012110447279186178,0.003370741159373486,0.0030074277409979006,0.016207815275310834,,,0.018670272888745357,0.0021193282738575813,0.0026037461650250285,0.03675520749233005,0.02300984983045374,0.06571936056838366,0.0004642338123688035,0.011444372678830939,0.05806959470369772,0.018044566445987405,8.073631519457452e-05,0.015218795414177297,0.030780720167931534,,0.015642661068948814,,,0.03148716292588406,,2.018407879864363e-05
BW_CT0806__IGH.csv,9.757644504616586e-05,0.00029272933513849756,0.059082537475453424,0.00617171014916999,0.016648980936002047,0.06376620683766938,0.00012197055630770732,0.04082354519618964,0.0026101699049849367,7.318233378462439e-05,2.4394111261541464e-05,0.02268652347323356,,0.019259150840986984,0.018954224450217716,9.757644504616586e-05,0.0047446546403698145,0.047690487516313565,0.024930781709295375,0.01102613829021674,0.002878505128861893,0.02813860734018808,1.2197055630770732e-05,9.757644504616586e-05,0.0038420725236927807,0.022540158805664314,8.537938941539512e-05,0.0440069767158208,,0.05565516484320685,0.021039920963079512,7.318233378462439e-05,1.2197055630770732e-05,0.0005732616146462244,8.537938941539512e-05,,0.002597972849354166,1.2197055630770732e-05,0.02880944539988047,0.005232536865600644,,0.00014636466756924878,0.016648980936002047,,,,3.6591166892312195e-05,,0.0076841450473855615,0.00012197055630770732,0.0006952321709539317,0.02018612706892556,0.00014636466756924878,0.002427214070523376,0.003037066852061912,0.015002378425848,,,0.016892922048617465,0.002866308073231122,0.004708063473477502,0.04240916242818984,0.03875004573895861,0.05749692024345323,0.0005122763364923707,0.018283386390525326,0.06874260553502384,0.006854745264493151,2.4394111261541464e-05,0.017563760108309855,0.04325075926671301,2.4394111261541464e-05,0.015087757815263395,1.2197055630770732e-05,,0.04549501750277483,,9.757644504616586e-05
DDY__IGH.csv,,,0.054253472222222224,0.00390625,0.004774305555555556,0.0993923611111111,,0.08723958333333333,,,,0.03125,,,0.057291666666666664,,,0.026041666666666668,0.011284722222222222,0.013454861111111112,0.019097222222222224,0.029513888888888888,,,,0.034722222222222224,,0.03211805555555555,,0.044270833333333336,0.009114583333333334,,,,,,0.007378472222222222,,0.008246527777777778,0.008246527777777778,,,0.004340277777777778,,,,,,0.019097222222222224,0.0030381944444444445,0.0008680555555555555,0.032552083333333336,,0.006510416666666667,0.001736111111111111,0.016927083333333332,,,0.008680555555555556,0.001736111111111111,,0.0030381944444444445,0.024739583333333332,0.039496527777777776,0.0030381944444444445,0.007378472222222222,0.025607638888888888,0.0008680555555555555,,0.010850694444444444,0.03515625,,0.0763888888888889,,,0.09635416666666667,,
GH03_HJ625__IGH.csv,9.011038522189682e-05,9.011038522189682e-05,0.2099571975670196,0.03910790718630322,0.001757152511826988,0.010092363144852444,,0.02473530074341068,0.001531876548772246,,,0.07465645415634152,,0.000765938274386123,0.0070736652399189005,,0.00964181121874296,0.02009461590448299,0.002523090786213111,0.0127506195088984,0.0011263798152737104,0.018337463392656003,,,0.0004956071187204325,0.013651723361117368,,0.02842982653750845,,0.04397386798828565,,,,0.0009011038522189682,,,0.003829691371930615,,0.006397837350754674,0.0033340842532101826,,,0.013020950664564091,,,,,,0.026312232484793873,,0.010633025456183826,0.011128632574904257,0.0004054967334985357,0.008920928136967786,0.00018022077044379365,0.010723135841405723,,,0.03996395584591124,0.00018022077044379365,0.00018022077044379365,9.011038522189682e-05,0.009596756026132011,0.04091011489074116,0.00792971389952692,,0.05821130885334535,0.048389276864158594,0.00013516557783284524,0.00369452579409777,0.15102500563189908,,0.018607794548321694,,,0.004370353683261996,,4.505519261094841e-05
GH03_W_HNY1228__IGH.csv,0.0001888098684624583,0.0001888098684624583,0.06123733400465731,0.03146831141040972,0.005727232676694569,0.023915916671911387,0.00025174649128327774,0.026370444961923343,0.001321669079237208,,,0.018440430486500094,,0.002895084649757694,0.007489458115677513,,0.001888098684624583,0.03417458619170495,0.029391402857322675,0.015041852854175844,0.0022027817987286804,0.030398388822455786,,0.0001888098684624583,0.002139845175907861,0.032664107244005286,6.293662282081944e-05,0.06451003839133992,,0.06325130593492354,6.293662282081944e-05,,,6.293662282081944e-05,6.293662282081944e-05,,0.006230725659261124,,0.016426458556233873,0.014538359871609289,,0.00012587324564163887,0.015419472591100762,,,,,,0.011454465353389138,0.00012587324564163887,0.0046573100887406385,0.03027251557681415,0.00025174649128327774,0.01000692302851029,0.0037132607464283466,0.031782994524513816,,,0.01334256403801372,0.00446850022027818,6.293662282081944e-05,6.293662282081944e-05,0.039524199131474605,0.07048901755931777,0.01434955000314683,0.009755176537227012,0.0887406381773554,0.04959405878280571,6.293662282081944e-05,0.0077412046069607904,0.04355214299200705,,0.035181572156838065,,,0.022468374347032537,,
GH03_W_LXZ1225__IGH.csv,0.00017624768674911142,0.0003231207590400376,0.05055371148253679,0.039303234145051845,0.004964309843433305,0.027847134506359603,0.00014687307229092618,0.042945686337866815,0.004024322180771377,0.00011749845783274095,,0.01973974091590048,,0.022912199277384485,0.02053285550627148,8.812384337455571e-05,0.004670563698851452,0.03618952501248421,0.019886613988191405,0.014775431072467173,0.0030255852891930795,0.031430837470258204,2.9374614458185237e-05,2.9374614458185237e-05,0.00431806832535323,0.027347766060570454,2.9374614458185237e-05,0.04661751314513997,,0.08606762036248274,0.005757424433804306,2.9374614458185237e-05,,0.0008812384337455571,,,0.00746115207237905,8.812384337455571e-05,0.015186675674881767,0.009223628939870164,,2.9374614458185237e-05,0.011926093470023207,,,5.8749228916370475e-05,2.9374614458185237e-05,,0.008166142819375496,0.00011749845783274095,0.0008812384337455571,0.015862291807420027,0.00014687307229092618,0.0013218576506183355,0.002761213759069412,0.01189671885556502,,,0.01868225479540581,0.004670563698851452,0.004582439855476897,0.014599183385718062,0.063272919542931,0.06888347090444438,0.011367975795317686,0.01615603795200188,0.07928208442264195,0.004876186000058749,,0.013394824192932468,0.0431806832535323,,0.02552653996416297,8.812384337455571e-05,,0.03148958669917457,2.9374614458185237e-05,
