,TRGV1,TRGV10,TRGV2,TRGV3,TRGV4,TRGV5,TRGV5P,TRGV6,TRGV7,TRGV8,TRGV9
iRNormal_097__TRG.csv,8.252186829509821e-05,,0.4858062386532431,0.23725037134840732,0.1009242449249051,0.06069483413104473,0.005652747978214227,,0.015307806568740716,0.01959894372008582,0.07468229080706387
iRNormal_JH__TRG.csv,0.000419785909186315,0.00013992863639543832,0.1558805009445183,0.062268243195970054,0.2960889946127475,0.10340726229622893,0.0011893934093612259,0.00013992863639543832,0.00496746659203806,0.03022458546141468,0.34527391030574406
iRNormal_KW_R__TRG.csv,,0.0004187166335182665,0.12236993614571338,0.09651418402596043,0.12069506961164032,0.01737674029100806,0.0006280749502773998,,0.00931644509578143,0.030985030880351722,0.6016958023657489
iRNormal_XH__TRG.csv,0.00020230629172567267,0.0001517297187942545,0.6443708274327331,0.032975925551284646,0.22023568682986042,0.036010519927169735,0.00022759457819138175,7.586485939712725e-05,0.003439206959336435,0.02288589925146672,0.03942443860004046
HL_W_LS0121__TRG.csv,0.008664475649835674,,0.35857982272682004,0.09207250273877104,0.22916044218703316,0.041330544766457526,0.0013942834379045911,,0.022159147495269396,0.040185240513893036,0.20645354048401554
GH03_W_ZXM1225__TRG.csv,0.00017466740415126198,,0.24229280079182555,0.14392594102063985,0.23454921254111963,0.02640388926086577,0.0002037786381764723,,0.014875840586882478,0.02672411283514308,0.3108497569211959
BW_CT0530__TRG.csv,0.005962013457116089,,0.2676944042245124,0.10791244357380121,0.2472532152286858,0.0557874116344434,0.00246997700366238,,0.026743888936206456,0.06285665616216676,0.2233199897794055
BW_CT0806__TRG.csv,0.0052881502266350095,,0.23699546729980575,0.12918195553636952,0.22382905244981655,0.05806173105978847,0.001402978631556227,,0.02762788689833801,0.07759551046837902,0.24001726742931145
DDY__TRG.csv,,,0.2738669238187078,0.13789778206364514,0.08196721311475409,0.02507232401157184,,,0.009643201542912247,0.07714561234329798,0.3944069431051109
GH03_HJ625__TRG.csv,,,0.15477161500815662,0.07707993474714518,0.2701876019575856,0.0929853181076672,0.0008156606851549756,,0.007952691680261012,0.030179445350734094,0.3660277324632953
GH03_W_HNY1228__TRG.csv,0.00011732957878681215,,0.10630059838085182,0.2036841487739059,0.09280769682036842,0.06546990496304118,0.0009386366302944972,,0.0705150768508741,0.07368297547811803,0.3864836325237592
GH03_W_LXZ1225__TRG.csv,6.232859636000998e-05,,0.16847419596110697,0.07036898529045126,0.3284717028172526,0.04518823236100723,0.0006232859636000997,,0.017701321366242834,0.032535527299925204,0.3365744203440538
BW_17__TRG.csv,,,0.33071466707344976,0.0887041415605217,0.1059415757760659,0.04133933338418122,7.627183281214248e-05,,0.016474715887422775,0.07413622149340249,0.342613072992144
BW_1__TRG.csv,,,0.11654175398714169,0.16229176286719,0.30643270699392605,0.13174439668951798,0.0002841615458388094,,0.02003338898163606,0.04177174723830498,0.22090008169644443
BW_2__TRG.csv,0.0002242822966507177,,0.20918062200956938,0.1364383971291866,0.41694078947368424,0.022802033492822966,0.00014952153110047846,,0.01674641148325359,0.1389055023923445,0.05861244019138756
BW_4__TRG.csv,6.969126768415918e-05,,0.25186424141055125,0.07317583106836713,0.29130949891978536,0.11610565196180919,0.00013938253536831835,,0.024810091295560666,0.10188863335424071,0.1406369781866332
BW_16__TRG.csv,,,0.29604750778816197,0.07831970404984423,0.17873831775700935,0.03202881619937695,0.00014602803738317756,,0.04264018691588785,0.09438278816199377,0.2776966510903427
BW_8__TRG.csv,0.00023573785950023574,,0.2333804809052334,0.14615747289014616,0.1206977840641207,0.06907119283356906,,,0.02333804809052334,0.1669024045261669,0.24021687883074022
BW_9__TRG.csv,,,0.34387180597661327,0.09311390212213079,0.1346903421394543,0.06409701169337376,0.0008661758336942399,,0.09657860545690775,0.07838891294932872,0.18839324382849718
BW_5__TRG.csv,6.43459236857345e-05,,0.35042790039251015,0.033009458850781805,0.1447139823692169,0.1692941252171675,0.000514767389485876,,0.06235120005147674,0.06653368509104948,0.17309053471462582
BW_6__TRG.csv,,,0.3149752475247525,0.09282178217821782,0.1188118811881188,0.059096534653465344,,,0.12252475247524752,0.09436881188118812,0.1974009900990099
BW_7__TRG.csv,,,0.20471014492753623,0.08442028985507247,0.1721014492753623,0.012681159420289856,,,0.013405797101449275,0.03369565217391304,0.4789855072463768
BW_10__TRG.csv,,,0.29015330795349314,0.08488527626299001,0.12316081901430188,0.06821689474225744,0.00010289124395513942,,0.09219055458380492,0.14260726412182323,0.19868299207737422
