sample,therapy,top100IGK
BW_1,before,0.4996496847162446
BW_2,before,0.5160479071736261
BW_5,before,0.4320555676144996
BW_8,before,0.4543821415950053
BW_11,before,0.3228000985950209
BW_12,before,0.3168643275429358
BW_13,before,0.3722146090548343
BW_15,before,0.3301406154473201
BW_4,after,0.3511453780452511
BW_6,after,0.3030970743053005
BW_7,after,0.4141996862506958
BW_9,after,0.4175907431641297
BW_10,after,0.4234872647230582
BW_14,after,0.6304752991294386
BW_16,after,0.2746853387172988
BW_17,after,0.516244789204521
